gene,module,step08C2_support,step08C2_interpretation,step10B_role
ITGAV,integrin_focal_adhesion,TRUE,consistent_sample_level_support,confirmatory_candidate
ITGB1,integrin_focal_adhesion,TRUE,consistent_sample_level_support,confirmatory_candidate
ITGA2,integrin_focal_adhesion,FALSE,not_supported_in_paired_sample_analysis,negative_candidate
PARVA,integrin_focal_adhesion,TRUE,consistent_sample_level_support,confirmatory_candidate
ITGA5,integrin_focal_adhesion,TRUE,consistent_sample_level_support,confirmatory_candidate
FERMT2,integrin_focal_adhesion,TRUE,consistent_sample_level_support,confirmatory_candidate
CFL1,actomyosin_rho,TRUE,consistent_sample_level_support,confirmatory_candidate
LIMK1,actomyosin_rho,TRUE,consistent_sample_level_support,confirmatory_candidate
CNN2,actomyosin_rho,TRUE,consistent_sample_level_support,confirmatory_candidate
CDC42,actomyosin_rho,TRUE,consistent_sample_level_support,confirmatory_candidate
PIEZO2,mechanosensor_channels,FALSE,opposite_or_weak_sample_level_support,mechanosensor_specificity_candidate
TMEM63B,mechanosensor_channels,FALSE,not_strictly_supported,mechanosensor_specificity_candidate
PANX1,mechanosensor_channels,FALSE,not_supported_in_paired_sample_analysis,mechanosensor_specificity_candidate
NF2,hippo_yap_taz,TRUE,consistent_sample_level_support,downstream_mechanotransduction_candidate
TEAD1,hippo_yap_taz,FALSE,not_supported_in_paired_sample_analysis,downstream_mechanotransduction_candidate
