matrix_column,gsm_accession,cell_line,age_background,mechanical_condition,tgfb_condition,batch,analysis_group
YNT1,GSM9056069,GM09503,young_10y,relaxed,present,1,relaxed_present
YNT2,GSM9056070,GM09503,young_10y,relaxed,present,2,relaxed_present
YNC1,GSM9056067,GM09503,young_10y,relaxed,absent,1,relaxed_absent
YNC2,GSM9056068,GM09503,young_10y,relaxed,absent,2,relaxed_absent
ONT1,GSM9056061,GM08401,older_75y,relaxed,present,1,relaxed_present
ONT2,GSM9056062,GM08401,older_75y,relaxed,present,2,relaxed_present
ONC1,GSM9056059,GM08401,older_75y,relaxed,absent,1,relaxed_absent
ONC2,GSM9056060,GM08401,older_75y,relaxed,absent,2,relaxed_absent
YRT1,GSM9056065,GM09503,young_10y,tension,present,1,tension_present
YRT2,GSM9056066,GM09503,young_10y,tension,present,2,tension_present
YRC1,GSM9056063,GM09503,young_10y,tension,absent,1,tension_absent
YRC2,GSM9056064,GM09503,young_10y,tension,absent,2,tension_absent
ORT1,GSM9056057,GM08401,older_75y,tension,present,1,tension_present
ORT2,GSM9056058,GM08401,older_75y,tension,present,2,tension_present
ORC1,GSM9056055,GM08401,older_75y,tension,absent,1,tension_absent
ORC2,GSM9056056,GM08401,older_75y,tension,absent,2,tension_absent

