"source","unit_id","gene","difference"
"PRJNA607098 (12 sample units)","SRS6155880","CDC42",0.16184837752704
"PRJNA607098 (12 sample units)","SRS6155881","CDC42",0.380285080158812
"PRJNA607098 (12 sample units)","SRS6155882","CDC42",0.280137727285085
"PRJNA607098 (12 sample units)","SRS6155883","CDC42",0.366806561005171
"PRJNA607098 (12 sample units)","SRS6155884","CDC42",0.470504570181092
"PRJNA607098 (12 sample units)","SRS6155885","CDC42",0.120023143742685
"PRJNA607098 (12 sample units)","SRS6155886","CDC42",0.0913855641055821
"PRJNA607098 (12 sample units)","SRS6155887","CDC42",0.227930101538767
"PRJNA607098 (12 sample units)","SRS6155888","CDC42",0.299231640786634
"PRJNA607098 (12 sample units)","SRS6155889","CDC42",0.352790533208012
"PRJNA607098 (12 sample units)","SRS6155890","CDC42",0.421275071594573
"PRJNA607098 (12 sample units)","SRS6155891","CDC42",0.67672436054236
"PRJNA607098 (12 sample units)","SRS6155880","CFL1",0.402475382752118
"PRJNA607098 (12 sample units)","SRS6155881","CFL1",0.820712254008785
"PRJNA607098 (12 sample units)","SRS6155882","CFL1",0.856361034079774
"PRJNA607098 (12 sample units)","SRS6155883","CFL1",0.792089496760395
"PRJNA607098 (12 sample units)","SRS6155884","CFL1",1.02152927512245
"PRJNA607098 (12 sample units)","SRS6155885","CFL1",0.480967405341282
"PRJNA607098 (12 sample units)","SRS6155886","CFL1",0.450341135522015
"PRJNA607098 (12 sample units)","SRS6155887","CFL1",0.628988439263073
"PRJNA607098 (12 sample units)","SRS6155888","CFL1",0.609953631124476
"PRJNA607098 (12 sample units)","SRS6155889","CFL1",0.752730722628603
"PRJNA607098 (12 sample units)","SRS6155890","CFL1",0.97427623088786
"PRJNA607098 (12 sample units)","SRS6155891","CFL1",0.845990074382109
"PRJNA607098 (12 sample units)","SRS6155880","CNN2",0.0399259313039188
"PRJNA607098 (12 sample units)","SRS6155881","CNN2",0.215204427229045
"PRJNA607098 (12 sample units)","SRS6155882","CNN2",0.0919764310652263
"PRJNA607098 (12 sample units)","SRS6155883","CNN2",0.122034408052242
"PRJNA607098 (12 sample units)","SRS6155884","CNN2",0.121415236651769
"PRJNA607098 (12 sample units)","SRS6155885","CNN2",0.156484698701674
"PRJNA607098 (12 sample units)","SRS6155886","CNN2",0.133148988168511
"PRJNA607098 (12 sample units)","SRS6155887","CNN2",0.139127549307365
