"sample_id","core_module","competitor_module","residual","residual_positive_samples","gate","core_label","competitor_label"
"SRS6155880","integrin_focal_adhesion","ecm_remodeling",0.0113349892492273,8,"Pass","Integrin/focal adhesion","ECM remodeling"
"SRS6155881","integrin_focal_adhesion","ecm_remodeling",-0.0584062239323753,8,"Pass","Integrin/focal adhesion","ECM remodeling"
"SRS6155882","integrin_focal_adhesion","ecm_remodeling",0.0410179052924487,8,"Pass","Integrin/focal adhesion","ECM remodeling"
"SRS6155883","integrin_focal_adhesion","ecm_remodeling",0.0241041532198239,8,"Pass","Integrin/focal adhesion","ECM remodeling"
"SRS6155884","integrin_focal_adhesion","ecm_remodeling",0.0110628994044655,8,"Pass","Integrin/focal adhesion","ECM remodeling"
"SRS6155885","integrin_focal_adhesion","ecm_remodeling",-0.0364178663269529,8,"Pass","Integrin/focal adhesion","ECM remodeling"
"SRS6155886","integrin_focal_adhesion","ecm_remodeling",0.00845628246639567,8,"Pass","Integrin/focal adhesion","ECM remodeling"
"SRS6155887","integrin_focal_adhesion","ecm_remodeling",0.00561645444099342,8,"Pass","Integrin/focal adhesion","ECM remodeling"
"SRS6155888","integrin_focal_adhesion","ecm_remodeling",-0.0144919001169118,8,"Pass","Integrin/focal adhesion","ECM remodeling"
"SRS6155889","integrin_focal_adhesion","ecm_remodeling",0.00803083115401899,8,"Pass","Integrin/focal adhesion","ECM remodeling"
"SRS6155890","integrin_focal_adhesion","ecm_remodeling",-0.0184451175278279,8,"Pass","Integrin/focal adhesion","ECM remodeling"
"SRS6155891","integrin_focal_adhesion","ecm_remodeling",0.0181375926766945,8,"Pass","Integrin/focal adhesion","ECM remodeling"
"SRS6155880","integrin_focal_adhesion","tgf_fibrosis",-0.0265539378744634,4,"Fail","Integrin/focal adhesion","TGF/fibrosis"
"SRS6155881","integrin_focal_adhesion","tgf_fibrosis",-0.0700072581698456,4,"Fail","Integrin/focal adhesion","TGF/fibrosis"
"SRS6155882","integrin_focal_adhesion","tgf_fibrosis",0.0559062356093935,4,"Fail","Integrin/focal adhesion","TGF/fibrosis"
"SRS6155883","integrin_focal_adhesion","tgf_fibrosis",0.0163480600049392,4,"Fail","Integrin/focal adhesion","TGF/fibrosis"
"SRS6155884","integrin_focal_adhesion","tgf_fibrosis",0.0211398578389427,4,"Fail","Integrin/focal adhesion","TGF/fibrosis"
"SRS6155885","integrin_focal_adhesion","tgf_fibrosis",-0.018199565128812,4,"Fail","Integrin/focal adhesion","TGF/fibrosis"
"SRS6155886","integrin_focal_adhesion","tgf_fibrosis",-0.036280484495309,4,"Fail","Integrin/focal adhesion","TGF/fibrosis"
"SRS6155887","integrin_focal_adhesion","tgf_fibrosis",-0.00326528155718572,4,"Fail","Integrin/focal adhesion","TGF/fibrosis"
"SRS6155888","integrin_focal_adhesion","tgf_fibrosis",-0.0025115468614601,4,"Fail","Integrin/focal adhesion","TGF/fibrosis"
"SRS6155889","integrin_focal_adhesion","tgf_fibrosis",-0.0154021445641961,4,"Fail","Integrin/focal adhesion","TGF/fibrosis"
"SRS6155890","integrin_focal_adhesion","tgf_fibrosis",-0.00683095771744961,4,"Fail","Integrin/focal adhesion","TGF/fibrosis"
"SRS6155891","integrin_focal_adhesion","tgf_fibrosis",0.0856570229154462,4,"Fail","Integrin/focal adhesion","TGF/fibrosis"
"SRS6155880","integrin_focal_adhesion","inflammation_ap1_nfkb",-0.0103918490985413,3,"Fail","Integrin/focal adhesion","Inflammation/AP-1/NF-kB"
"SRS6155881","integrin_focal_adhesion","inflammation_ap1_nfkb",-0.0368630215692812,3,"Fail","Integrin/focal adhesion","Inflammation/AP-1/NF-kB"
