"module","cell_line","role","contrast_value","Direction","FDR","module_label","q_label"
"actomyosin_rho","GM08401","primary",0.760726205018646,"Up",5.07111203685434e-09,"Actomyosin/Rho","5.1e-09"
"actomyosin_rho","GM09503","primary",0.718490896104289,"Up",1.19728102719667e-05,"Actomyosin/Rho","1.2e-05"
"cell_cycle","GM08401","competitor",0.347970898266219,"Up",0.00224610975616335,"Cell cycle","0.002"
"cell_cycle","GM09503","competitor",1.47956106860515,"Up",5.12210893372421e-12,"Cell cycle","5.1e-12"
"ecm_remodeling","GM08401","competitor",0.139538441414549,"Up",0.038459474335547,"ECM remodeling","0.038"
"ecm_remodeling","GM09503","competitor",-0.328937963014289,"Down",0.93891283422577,"ECM remodeling","0.939"
"inflammation_ap1_nfkb","GM08401","competitor",-0.334274426308237,"Down",0.255317349255062,"Inflammation/AP-1/NF-kB","0.255"
"inflammation_ap1_nfkb","GM09503","competitor",-0.737152747465629,"Down",0.0110456791578439,"Inflammation/AP-1/NF-kB","0.011"
"integrin_focal_adhesion","GM08401","primary",0.42314464924912,"Up",0.000266555605719229,"Integrin/focal adhesion","2.7e-04"
"integrin_focal_adhesion","GM09503","primary",0.144804634991413,"Up",0.115126715469746,"Integrin/focal adhesion","0.115"
"tgf_fibrosis","GM08401","competitor",-0.366304884277504,"Down",0.33691387634165,"TGF/fibrosis","0.337"
"tgf_fibrosis","GM09503","competitor",-0.470935963967484,"Down",0.115126715469746,"TGF/fibrosis","0.115"
