"source","evidence_level","support_class","display_text","evidence_boundary"
"PRJNA607098","Module level","Strong module support","Core modules 2/2; both positive in 12/12 samples","ECM remodeling also 12/12"
"PRJNA607098","Candidate level","Partial/conditional","10/15 supported; integrin 5/6; actomyosin 4/4","PIEZO2 not supported"
"GSE130973","Module level","Partial/conditional","Integrin and actomyosin positive in 5/5 subjects","ECM, TGF/fibrosis and inflammation also 5/5"
"GSE130973","Candidate level","Discordant/source-dependent","Integrin 5/6; actomyosin 1/4","PIEZO2 positive only in this source"
"GSE300230","Module level","Strong module support","Actomyosin significant in 2/2 cell lines; integrin in 1/2","Cell cycle significant in both lines"
"GSE300230","Candidate level","Discordant/source-dependent","8/15 positive in both lines; 0/15 q<=0.05 in both","Only two cell lines"
"GSE338388","Module level","Partial/conditional","TEAD inhibition decreased integrin, actomyosin and Hippo/YAP/TAZ","No mechanical condition; competitor modules also decreased"
"GSE338388","Candidate level","Not confirmatory","Candidate coverage 15/15","Module-level regulatory-axis test only"
"GSE276045","Module level","Partial/conditional","Actomyosin stiffness slope significant in 2/2 models","Cell cycle increased in both models"
"GSE276045","Candidate level","Not confirmatory","Candidate coverage 15/15","Not used as candidate confirmation"
