"file","language","size_bytes","sha256"
"scripts/01_download_geo_fascia_datasets.R","R","8706","92ba619365900380f535760495d1858e7dc9849be7671dae00be079b412ce757"
"scripts/02_audit_GSE173252_files.R","R","8625","ac458018b08ef43956314834f3d088f45410a000028acdf45eaf66ac58d1dab3"
"scripts/03_inspect_GSE173252_mesenchyme_rds.R","R","8058","7e4c4883b262c9b480c2feffd2b3cbff8b3e785566fe381a03ef892581057654"
"scripts/04_audit_GSE173252_mesenchyme_metadata.R","R","11306","6f57e73a969ff97ed7ca0dfc58964992f5201cd2c1bd06985dc63bd31c6cbe63"
"scripts/05_reproduce_GSE173252_mesenchyme_clusters.R","R","14986","5eaef176249e9e0c5dd78331d85d3480f7132d311d7b73e03d5b609ba2d0986c"
"scripts/06_score_GSE173252_mechanosensitivity_program_v1.R","R","21285","67aa167631f782e0fffaa07d4ca2dae5b4c19881cd720cba074680c8101d9604"
"scripts/07_audit_GSE173252_mechanosensitivity_specificity.R","R","21358","6b19b1073961c24ff42e228c009ecb74b1e8935c46aec8bd6552a087c59efbb3"
"scripts/08_screen_skin_fibroblast_atlas_marker_ranks.R","R","12266","e8fb7a7bed81127273aa64e54466ee33575edd7eb66f5b430bc55a67b7881118"
"scripts/08B_extract_PRJNA607098_gene_panel_from_remote_zarr.py","Python","16437","7cb19b804cc01707ebadb75d908a4841c8d14261403d407636701fae887201eb"
"scripts/08B_validate_PRJNA607098_gene_panel_via_remote_zarr.R","R","12419","d3c4bc59dff259d31fe577d27c8a635199c014a7e722be14de9febce89d2bafa"
"scripts/08B2_reanalyse_PRJNA607098_myofibroblast_label.R","R","11306","2ec3fda2965c67c088fe59bb547fe3e6e5da578aaa39c70ed743b45ab9b852d1"
"scripts/08C1_audit_PRJNA607098_sample_metadata_remote_zarr.py","Python","11489","88b3c562426ec00c0bf622a50dc2836c9bbd63910f2841f76cbbef09557dc85a"
"scripts/08C1_audit_PRJNA607098_sample_metadata.R","R","3630","0c61fe01c8c9030089f0c044743a88c7ae512ca53a6457da1193ff6e45811b86"
"scripts/08C2_extract_PRJNA607098_sample_level_gene_panel.py","Python","9286","4a34eae8beee1cac261800edbe00dc4c252e5d8eb573d288b862a4ab7bbfb1f9"
"scripts/08C2_test_PRJNA607098_F7_sample_level.R","R","15448","25223c1b2bb706e365f31545ec88fa0c0726aef93e4961bdd3289b48e304042a"
"scripts/09A_audit_GSE273293_PRJNA1206333_sample_recovery.R","R","15715","2641ca30a9c75e57d62fa83651a19a09560b236f1d7f06e7a71250af92ac7e32"
"scripts/09B_inspect_GSE273293_supporting_docx.py","Python","7067","fd32a3c7c82215f9443206a9b5a5347991bdc54e9b48ef4331d775cee6b3244c"
"scripts/10A_audit_skin_fibroblast_atlas_provenance_and_labels.R","R","10533","5eb28b75c4378bddcfb40bb1ade91d51828dd10aa95f96b5f57bfe43d08d96a0"
"scripts/10C_validate_PRJNA607098_frozen_contract.R","R","18288","338f4bf9bd07a4f16bf45579c9414e1e29cb656e0c808c042a190041621b3591"
"scripts/10D_synthesize_evidence_grade.R","R","9583","874d2013aece178e1bba62618a62662d2deb5b03e43692fb881fb2fbcf48ee9c"
"scripts/11A_screen_independent_external_sources.R","R","8704","4a7a195dacb5ee306f112defb5412c07658a915f7854cb5706a7bf0bd44eed0c"
"scripts/11B_audit_selected_GEO_supplementary_inventory.R","R","7494","3108b7b8dbfba339e3140b9da05570428698a3bafa70c1284f81d10d72f72ee5"
"scripts/11C_audit_GSE175817_fibroblast_metadata.R","R","6516","4eb6634e2b8f846bc82a4bf980ece260cdb4a4cdcd2eb6f55a45a00d99e998b7"
"scripts/11C2_reclassify_GSE175817_fibroblast_file.R","R","4979","cf72a19990ab4777fa0ad39ad2d6204d95214c33c5dc4024b5b294ed4d329f86"
"scripts/11D_download_audit_GSE130973_seurat_object.R","R","7475","3d68640709a20eec8f204f1c7d8a51f206197e41957c61f16d24374f7de3ec16"
"scripts/11D2_audit_GSE130973_cluster_fibroblast_state.R","R","7959","3f0ac721f93f556dd0c8786ed4383c3f09fc293656b630577255ce25c1361246"
"scripts/11E_audit_GSE130973_frozen_mechanotransduction_program.R","R","8320","b4337041806cc5def7b5cc67a0f29c4db176add57e698c4a7a4e5cdeb38b6cc2"
"scripts/11F_summarize_GSE130973_external_validation.R","R","6581","5f2c962e41c9522fb3b3ad140b414088c3a1220b609ff5f94b091334a39efb63"
"scripts/12A_synthesize_final_evidence_and_revise_hypothesis.R","R","8871","c2e91389383b6b7808d58d469fc5f57e846fa5415f8b8ee9c55250881663159a"
"scripts/12B_lock_research_direction_and_validation_plan.R","R","9535","9290676ce9051df15eb204a0cb421c2bb98206b9da23fe05328713ac5d46d6af"
"scripts/12C_freeze_claims_and_functional_validation_specification.R","R","9811","0d4792432e04c5a131b1c78774aa80506ffa98262ae5fcbd2df3cd5d44f5a23e"
"scripts/13A_build_manuscript_evidence_pack.R","R","9760","c1e81fad310c230441510e1049057d3617ae271d7960418f3d0b0eeacdd268b9"
"scripts/13B_build_manuscript_foundation_and_outline.R","R","14516","b4c90a2c04a5cefa8dfa1f3ffa8ea6833346003b5c55730ff3cb4ffba4f7fa9e"
"scripts/13C_review_manuscript_foundation.R","R","6454","f298940b0b3cab452c038e2b87e273f401bad61b9d84fecf35a17e6ea882e230"
"scripts/13D_draft_methods_section.R","R","11684","43fc715eae40467cc9e4d7e907717709529dd7f11af3e11f192f2872e588e98b"
"scripts/13D2_review_methods_section.R","R","5468","2cbfe8f5ec4f6f24e159899e2f8877e528280a70a9c4f1a74d4a10a32785db4f"
"scripts/13E_draft_results_section.R","R","11649","2860f86b418664dd48e6f80855960b83388c45f106cdd8bf02d0012956421fae"
"scripts/13E2_review_results_section.R","R","6172","5d95b0fe8de89051f2389eab199c8f7b7e8a541a9e26d3fd8ee8f06c919f0bb3"
"scripts/13F_draft_discussion_section.R","R","12392","d68fcdf89588501cb7ef94b25fc718c5ca56093048fe6793efc2361a0a5a9b9e"
"scripts/13F2_review_discussion_section.R","R","5915","3c2d9355f7593b14fc829dbeec8f7b417ca28a47bc576190afa258228f3c1b9a"
"scripts/13G_integrate_verified_discussion_citations.R","R","7593","d5f39823785c055c8b778d07a7e63797debe58047b97d0dd1c437d09d493c957"
"scripts/14A_assemble_full_manuscript_draft.R","R","9786","e11be1b2768e01de7949a0b34cc0b2afd0e7e4787a9e45a2dc43b219f586fe31"
"scripts/14A_export_full_manuscript_docx.py","Python","16816","9844cf42456613f2fba7c4b2962b79dcf63690c6f0947344cc6570619debddcf"
"scripts/14B_review_full_manuscript.R","R","7851","5e298b8aeeec7d8c7189be7db4bd6461a5a1293f2b0145dc876653190156b24f"
"scripts/14C_generate_figures_tables.R","R","22120","96cea7211c8b2ec17fb966e0ac7af539eea786492f78eea65b04de06ac7d2201"
"scripts/15A_audit_GSE300230_mechanochemical_dataset.R","R","23613","c785a5eb042fd986ac3a8cd7d3f33abdea312a0f06b1077894bb4c80214b1850"
"scripts/15C_analyze_GSE300230_mechanochemical_perturbation.R","R","14150","81500fb11ee746ba4db74d78df40ea3362a6e05b68b1c6455225b971f05dd946"
"scripts/15D_audit_GSE300230_score_sensitivity_and_negative_controls.R","R","13125","1415f1ab24f1922eb08e5ea2754ece1e86908ec5717dc1b786f641434ae4eb9a"
"scripts/17B_audit_S1_source_feasibility.R","R","14821","28eb5a083961a2357d4f931240a41890ff2c30b8cf1e8a11fc3fda35d5f7f38d"
"scripts/17C_analyze_S1_coexpression_level.R","R","19640","05cec4b0e02698153895285c3fc6a035cc171d7d1aad01af4452e49b30a19012"
"scripts/17C_extract_PRJNA607098_S1_coexpression.py","Python","16112","44ad2a64f463bd7d54610399e678ed896c8b5f3401e4ff063ad27232b44d7eb2"
"scripts/17D_audit_GSE338388_TGFb_TEAD_design.R","R","13702","4fba8b3a0f01455c5e0e6466f35a69858db568a8485cacc0eb6a4e91e1616348"
"scripts/17D2_correct_GSE338388_design_labels.R","R","7474","eeb13b3b22d57486b32292904b90c0253dcb750716ec019a8d5153fe220b6976"
"scripts/17D3_audit_GSE338388_processed_matrix.R","R","14765","ea704287282537e4825d6aa1ffffcae117ca871f4f7f2f12b86b95d3e4accf28"
"scripts/17D4_reaudit_GSE338388_matrix_sample_columns.R","R","15537","3f2e78575470b44fe00a4946d73f7f70dc66eaa46183a0201948f38a71c65fbc"
"scripts/17E_analyze_GSE338388_S2_frozen_contract.R","R","20388","fd32efef0783328ea63dc10253953c053ca8af07701d2a2eba193519a213366c"
"scripts/17F_audit_S3_GSE123100_GSE276045_sources.R","R","16410","9ce5dc4c3d7538eb4c5454c597811d9c8b03c544a6acf81da6bae326d7517688"
"scripts/17F_synthesize_second_round_evidence.R","R","17972","c65ed1c9fe71c5ab04a96e58f5221613037999a21c4ec5ab7d001aadefaf9b59"
"scripts/17F2_correct_S3_design_labels.R","R","13283","014549484c8432ec7dbe36f1fb486b36f9f6dd6b0fac55ec204cdce613632257"
"scripts/17G_audit_S3_processed_matrices.R","R","16878","fb311b2c3ebe2eb818415897396b6deb37276af5161fb52188662fed9f3c4b4b"
"scripts/17G2_reaudit_S3_processed_matrices.R","R","16927","ad2f6549a60497a8a250de8ed65df52a15c0a47561b29d324ae98d5500b47a19"
"scripts/17G3_reaudit_S3_processed_matrices_mapping_gate.R","R","17032","5f7cf73db4066a4a9f6016745d26e531aca620dcce490cce639a356e445148df"
"scripts/17H_analyze_S3_stiffness_sources.R","R","23602","de98e18e408dcea3770bca68580dc5b6fd205017f462265c742e6d2ca00976f7"
"scripts/18A_update_manuscript_after_second_round.R","R","16992","b8a89d204ea59e505234e4d82aeb0e06daf721a01b28dbc3d049f1c265f10850"
"scripts/18B_review_second_round_revised_manuscript.R","R","7376","2ce07a480782891d9fef5a9f1f8754f737f84523c2d7ba3791976c27fe17e67f"
"scripts/18C_build_word_manuscript_with_figures.py","Python","13504","05bbc9edf4cec533ee0dacef1b625bc365f512b463b7f020a08f2b7cf0ce6a24"
"scripts/19A_integrate_verified_references.py","Python","16682","e42b570f7e53e4986b5744caab2ad9324e4e77975639cfc46954d1ef39b60caf"
"scripts/20B_generate_reviewer_response_figures.R","R","20723","319c559019363e390920e3c2cb2f8cf03acc36c95c1b94cd33afd18a76b502b2"
"scripts/20C_build_revised_manuscript_word_with_figures.py","Python","3822","754698008ea52b5e110b302d0339382c43e997475aab3a7c595e10235553b4db"
"scripts/21B_generate_evidence_hierarchy_figure.R","R","5643","32a8af0b655e712b59b41829b731be4f538f41ad4ead28c31b57867ca22903d9"
"scripts/21C_build_submission_strengthened_word_with_figures.py","Python","4798","2d3ad496e686e5fabeea8951359cd7ca31707b35a625adbd919f6382e43ecec4"
"scripts/21C_create_render_contact_sheets.py","Python","855","ff02e7b8add4d389938f5e3abc11a07122009afd8be02fc57ce6fbf9501e2621"
"scripts/22A_verify_manuscript_references_crossref.ps1","PowerShell","10444","1310e22291cfabf8d60f23b90d948dfeb4b5174796d608fcdbb4f2bbbe76356a"
"scripts/22C_build_style_polished_word_with_figures.py","Python","4755","bd8399bc2b8c56e1ec12c03eb9a5f783691f5d9e07e9025d026fcbc04a025bdd"
"scripts/23A_prepare_bmc_genomics_manuscript.py","Python","18671","ea75a1df428c1f49bf51a9f8bbc4e4c4a23c9a6db6504114bc9fd603bca65cd0"
