"metadata_column","value","n_cells"
"orig.ident","DD2",4407
"orig.ident","DD3",2982
"orig.ident","Dermis1",2754
"orig.ident","DD1",1962
"orig.ident","SF1",1687
"orig.ident","SF2",1159
"orig.ident","Dermis3",1069
"orig.ident","Dermis2",522
"orig.ident","SF3",446
"source","DD",9351
"source","Dermis",4345
"source","SF",3292
"condition","DD",9351
"condition","Uninjured",7637
"seurat_clusters","0",7808
"seurat_clusters","1",4126
"seurat_clusters","2",3599
"seurat_clusters","3",1455
"ordered_clusters","2",7808
"ordered_clusters","3",4126
"ordered_clusters","0",3599
"ordered_clusters","1",1455
