"seurat_cluster","reproduced_identity","gene","samples_evaluable","sample_ids","median_log2_cpm_difference","mean_log2_cpm_difference","minimum_log2_cpm_difference","positive_sample_fraction","strong_positive_sample_fraction","percent_cluster_cells_expressing","mean_cluster_log_normalized_expression","exploratory_wilcoxon_p","exploratory_bh_fdr","expected_marker_class"
"0","FB","APOD",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",9.69128058930245,10.4744730977019,8.68994968914467,1,1,62.9423201555412,2.20676225814701,0.00915168885265016,0.0417538937388919,"FB"
"1","Myofib","APOD",3,"DD1;DD2;DD3",-9.899150063448,-9.68150924610748,-10.7151751922728,0,0,1.4070351758794,0.0146637196471541,NA,NA,"FB"
"2","VSMC","APOD",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",-9.03227012585489,-10.2138830382495,-13.7676688502932,0,0,2.17084860445447,0.0242508018440554,NA,NA,"FB"
"3","Pericyte","APOD",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",-8.30321218447292,-8.45885960748748,-13.2145776320526,0,0,2.53521126760563,0.0337979506559735,NA,NA,"FB"
"0","FB","CD34",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",5.38079773038255,5.37660907220675,3.46758308284095,1,1,42.799740764744,0.685236588927668,0.00915168885265016,0.0417538937388919,"FB"
"1","Myofib","CD34",3,"DD1;DD2;DD3",-4.43260004390846,-3.94455210866359,-5.3301765741736,0,0,5.0251256281407,0.0286536674996185,0.18144920772142,0.288215063359144,"FB"
"2","VSMC","CD34",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",-5.24670314787364,-5.05026596260607,-8.33053652695036,0,0,2.65012686777558,0.0300667585921242,NA,NA,"FB"
"3","Pericyte","CD34",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",-6.89172625258298,-5.94221285596387,-8.71683416969526,0,0,2.3943661971831,0.0212749097885453,NA,NA,"FB"
"0","FB","FBLN5",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",5.67535703204669,5.44877093201888,2.24684401900587,1,1,45.4439403758911,0.727563946081652,0.00915168885265016,0.0417538937388919,"FB"
"1","Myofib","FBLN5",3,"DD1;DD2;DD3",-1.39176101679212,-1.39432747267223,-1.76714328455511,0,0,23.0150753768844,0.180373410870344,0.18144920772142,0.288215063359144,"FB"
"2","VSMC","FBLN5",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",-7.57455995273014,-7.20774701721116,-9.09095783183617,0,0,0.422892585283338,0.00332971608734612,NA,NA,"FB"
"3","Pericyte","FBLN5",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",-4.69082518200772,-5.5283917872781,-8.21844489528387,0,0,1.54929577464789,0.0170668792459256,NA,NA,"FB"
"0","FB","OSR2",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",3.29193046314463,3.47187777996625,2.45460398535977,1,1,38.9760207388205,0.651009268250508,0.00915168885265016,0.0417538937388919,"FB"
"1","Myofib","OSR2",3,"DD1;DD2;DD3",-3.03899978613061,-2.97236004787831,-3.2060748523209,0,0,19.8743718592965,0.150557032724479,0.18144920772142,0.288215063359144,"FB"
"2","VSMC","OSR2",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",-3.28811015978276,-3.64953871295338,-5.99628762339953,0,0,4.34169720890894,0.0553663685917934,NA,NA,"FB"
