"pseudobulk_group","sample","seurat_cluster","reproduced_identity","singlet_cells","library_size"
"DD1__0","DD1","0","FB",831,2349260.25251866
"DD2__0","DD2","0","FB",1426,7157699.18649563
"DD3__0","DD3","0","FB",568,1923766.15659188
"Dermis1__0","Dermis1","0","FB",1765,5467424.98379701
"Dermis2__0","Dermis2","0","FB",283,606645.954668903
"Dermis3__0","Dermis3","0","FB",389,1614383.17757474
"SF1__0","SF1","0","FB",1199,5729864.87756597
"SF2__0","SF2","0","FB",885,6504502.65085137
"SF3__0","SF3","0","FB",369,2290169.69525231
"DD1__1","DD1","1","Myofib",106,833504.751771542
"DD2__1","DD2","1","Myofib",2216,22181565.6436082
"DD3__1","DD3","1","Myofib",1640,13512556.3900719
"Dermis2__1","Dermis2","1","Myofib",4,12361.6082313419
"SF1__1","SF1","1","Myofib",1,3176.06799447985
"SF2__1","SF2","1","Myofib",13,68914.7910862474
"DD1__2","DD1","2","VSMC",512,1406122.42818261
"DD2__2","DD2","2","VSMC",331,1090646.38574983
"DD3__2","DD3","2","VSMC",389,1178850.46591961
"Dermis1__2","Dermis1","2","VSMC",862,2294646.63582506
"Dermis2__2","Dermis2","2","VSMC",171,366509.533865956
"Dermis3__2","Dermis3","2","VSMC",652,2128434.59444131
"SF1__2","SF1","2","VSMC",367,1665579.15998533
"SF2__2","SF2","2","VSMC",198,1505244.5691408
"SF3__2","SF3","2","VSMC",65,443972.448860167
"DD1__3","DD1","3","Pericyte",487,1491281.66749562
"DD2__3","DD2","3","Pericyte",284,999385.800593251
"DD3__3","DD3","3","Pericyte",337,1138632.08827108
"Dermis1__3","Dermis1","3","Pericyte",51,90889.2168124495
"Dermis2__3","Dermis2","3","Pericyte",64,95019.1624545057
"Dermis3__3","Dermis3","3","Pericyte",25,43085.4678852978
"SF1__3","SF1","3","Pericyte",107,390347.360296792
"SF2__3","SF2","3","Pericyte",53,214217.450766183
"SF3__3","SF3","3","Pericyte",12,42138.6339430442
