"module","gene","source_database","source_id","myofib_percent_cells_expressing","myofib_mean_log_normalized_expression","DD_samples_evaluable","median_log2CPM_myofib_minus_FB","minimum_log2CPM_myofib_minus_FB","positive_fraction_myofib_vs_FB","median_log2CPM_myofib_minus_pooled_other","positive_fraction_myofib_vs_pooled_other","per_sample_myofib_minus_FB","candidate_tier"
"actomyosin_rho","CNN1","Reactome","R-HSA-5627117",23.7185929648241,0.188960962812576,3,3.92367327003759,3.07096541386027,1,-1.88511978097167,0,"DD1:3.924;DD2:3.071;DD3:4.306","A_consistent_DD_myofib_enrichment"
"integrin_focal_adhesion","ITGA8","Reactome","R-HSA-216083",41.6582914572864,0.373860017300772,3,3.14412291165826,2.14662204041668,1,1.29765507705544,1,"DD1:3.384;DD2:3.144;DD3:2.147","A_consistent_DD_myofib_enrichment"
"actomyosin_rho","TAGLN","Reactome","R-HSA-5627117",87.7386934673367,2.37317235360422,3,2.91677917896867,2.53210551921549,1,-0.747122637878277,0.333333333333333,"DD1:2.917;DD2:3.376;DD3:2.532","A_consistent_DD_myofib_enrichment"
"actomyosin_rho","ACTA2","Reactome","R-HSA-5627117",62.4874371859297,0.798825585655452,3,2.39580876832058,2.20229484911382,1,-2.56799861204428,0,"DD1:3.643;DD2:2.396;DD3:2.202","A_consistent_DD_myofib_enrichment"
"actomyosin_rho","TPM1","Reactome","R-HSA-5627117",94.4974874371859,2.18118998172267,3,2.06441943550512,1.56793443800171,1,0.701844900017914,1,"DD1:1.568;DD2:2.064;DD3:2.077","A_consistent_DD_myofib_enrichment"
"actomyosin_rho","TPM2","Reactome","R-HSA-5627117",87.6884422110553,1.53231406080753,3,2.03787264343995,1.85335557154436,1,-1.56995697545507,0,"DD1:2.038;DD2:2.671;DD3:1.853","A_consistent_DD_myofib_enrichment"
"integrin_focal_adhesion","ITGB1","Reactome","R-HSA-216083",98.0150753768844,2.65979143781518,3,1.97265139623291,1.82070374457751,1,1.69001154693475,1,"DD1:1.821;DD2:2.447;DD3:1.973","A_consistent_DD_myofib_enrichment"
"integrin_focal_adhesion","ITGAV","Reactome","R-HSA-216083",75,0.933606556867344,3,1.33633349892363,1.3176149685599,1,1.77174030192993,1,"DD1:1.336;DD2:1.617;DD3:1.318","A_consistent_DD_myofib_enrichment"
"integrin_focal_adhesion","BCAR1","Reactome","R-HSA-216083",44.2964824120603,0.375342958158974,3,1.25337196304295,0.770789515278601,1,0.927402259488837,1,"DD1:1.708;DD2:0.771;DD3:1.253","A_consistent_DD_myofib_enrichment"
"mechanosensor_channels","PIEZO2","GO_MSigDB","GO:0009612",26.9849246231156,0.236336722855751,3,1.23564440072114,0.727994081495894,1,2.17494523756205,1,"DD1:1.236;DD2:0.728;DD3:1.272","A_consistent_DD_myofib_enrichment"
"hippo_yap_taz","TEAD2","Reactome","R-HSA-2032785",29.9497487437186,0.237206339039127,3,1.21892930760919,0.899919046646186,1,0.633520747087591,1,"DD1:1.362;DD2:0.900;DD3:1.219","A_consistent_DD_myofib_enrichment"
"actomyosin_rho","LIMK1","Reactome","R-HSA-5627117",22.6884422110553,0.174307711074529,3,1.1266411990997,0.234822390927329,1,1.95299889756834,1,"DD1:0.235;DD2:1.685;DD3:1.127","A_consistent_DD_myofib_enrichment"
"actomyosin_rho","CNN2","GO_MSigDB","GO:0009612",47.0854271356784,0.431773810634554,3,1.02527691488289,0.527277418531023,1,0.571968620012424,1,"DD1:1.289;DD2:0.527;DD3:1.025","A_consistent_DD_myofib_enrichment"
"hippo_yap_taz","TEAD3","Reactome","R-HSA-2032785",14.0452261306533,0.101063619212271,3,1.01221055841544,0.734722358904817,1,-0.183558138077184,0.333333333333333,"DD1:0.735;DD2:1.315;DD3:1.012","A_consistent_DD_myofib_enrichment"
"actomyosin_rho","PFN1","Reactome","R-HSA-5627117",97.1105527638191,2.37253341002717,3,0.871761768888126,0.730348696306686,1,0.724781747638209,1,"DD1:0.872;DD2:1.090;DD3:0.730","A_consistent_DD_myofib_enrichment"
"actomyosin_rho","CFL1","Reactome","R-HSA-5627117",96.8090452261306,2.42518683312178,3,0.848052950810803,0.647943459671165,1,0.653078607058664,1,"DD1:0.848;DD2:0.918;DD3:0.648","A_consistent_DD_myofib_enrichment"
"mechanosensor_channels","TMEM63B","curated_mechanosensor_core","core_v1",17.5376884422111,0.136433225800105,3,0.781487812044132,0.406095801704242,1,0.829995053365626,1,"DD1:0.406;DD2:0.989;DD3:0.781","A_consistent_DD_myofib_enrichment"
"integrin_focal_adhesion","ITGA5","Reactome","R-HSA-216083",47.8894472361809,0.418451977095476,3,0.770601113596971,0.513891866574166,1,1.47658475179873,1,"DD1:0.514;DD2:0.771;DD3:1.107","A_consistent_DD_myofib_enrichment"
