"gene_set_version","random_seed","module","target_gene","target_expression_bin","control_gene","control_expression_bin"
"v1",20260823,"mechanosensor_channels","PIEZO1",16,"SLC9A3R2",16
"v1",20260823,"mechanosensor_channels","PIEZO1",16,"MRPL48",16
"v1",20260823,"mechanosensor_channels","PIEZO1",16,"PRPF18",16
"v1",20260823,"mechanosensor_channels","PIEZO1",16,"FRMD4A",16
"v1",20260823,"mechanosensor_channels","PIEZO1",16,"TBC1D20",16
"v1",20260823,"mechanosensor_channels","PIEZO1",16,"SERGEF",16
"v1",20260823,"mechanosensor_channels","PIEZO1",16,"ASCC2",16
"v1",20260823,"mechanosensor_channels","PIEZO1",16,"GALK1",16
"v1",20260823,"mechanosensor_channels","PIEZO1",16,"ERBIN",16
"v1",20260823,"mechanosensor_channels","PIEZO1",16,"LINC02001",16
"v1",20260823,"mechanosensor_channels","PIEZO1",16,"PART1",16
"v1",20260823,"mechanosensor_channels","PIEZO1",16,"TMEM101",16
"v1",20260823,"mechanosensor_channels","PIEZO1",16,"NOLC1",16
"v1",20260823,"mechanosensor_channels","PIEZO1",16,"UBE2F",16
"v1",20260823,"mechanosensor_channels","PIEZO1",16,"SSBP3",16
"v1",20260823,"mechanosensor_channels","PIEZO1",16,"AKIP1",16
"v1",20260823,"mechanosensor_channels","PIEZO1",16,"STK38L",16
"v1",20260823,"mechanosensor_channels","PIEZO1",16,"ERRFI1",16
"v1",20260823,"mechanosensor_channels","PIEZO1",16,"GON4L",16
"v1",20260823,"mechanosensor_channels","PIEZO1",16,"NCAPH2",16
"v1",20260823,"mechanosensor_channels","PIEZO2",19,"LIX1L",19
"v1",20260823,"mechanosensor_channels","PIEZO2",19,"SAR1B",19
"v1",20260823,"mechanosensor_channels","PIEZO2",19,"PHF5A",19
"v1",20260823,"mechanosensor_channels","PIEZO2",19,"TTC14",19
"v1",20260823,"mechanosensor_channels","PIEZO2",19,"ACKR3",19
"v1",20260823,"mechanosensor_channels","PIEZO2",19,"FAM210B",19
"v1",20260823,"mechanosensor_channels","PIEZO2",19,"HAT1",19
"v1",20260823,"mechanosensor_channels","PIEZO2",19,"PHF1",19
"v1",20260823,"mechanosensor_channels","PIEZO2",19,"WDR46",19
"v1",20260823,"mechanosensor_channels","PIEZO2",19,"ZNF358",19
"v1",20260823,"mechanosensor_channels","PIEZO2",19,"FAT1",19
"v1",20260823,"mechanosensor_channels","PIEZO2",19,"MRPL37",19
"v1",20260823,"mechanosensor_channels","PIEZO2",19,"MALSU1",19
"v1",20260823,"mechanosensor_channels","PIEZO2",19,"ABTB1",19
"v1",20260823,"mechanosensor_channels","PIEZO2",19,"SESN3",19
"v1",20260823,"mechanosensor_channels","PIEZO2",19,"CSNK1D",19
"v1",20260823,"mechanosensor_channels","PIEZO2",19,"FDX1",19
"v1",20260823,"mechanosensor_channels","PIEZO2",19,"PHGDH",19
"v1",20260823,"mechanosensor_channels","PIEZO2",19,"SNHG18",19
"v1",20260823,"mechanosensor_channels","PIEZO2",19,"CYP27A1",19
"v1",20260823,"mechanosensor_channels","TRPV4",11,"TRMT10B",11
"v1",20260823,"mechanosensor_channels","TRPV4",11,"RAPGEF1",11
"v1",20260823,"mechanosensor_channels","TRPV4",11,"SIPA1",11
"v1",20260823,"mechanosensor_channels","TRPV4",11,"DNAJC11",11
"v1",20260823,"mechanosensor_channels","TRPV4",11,"IMPA2",11
"v1",20260823,"mechanosensor_channels","TRPV4",11,"ASB13",11
"v1",20260823,"mechanosensor_channels","TRPV4",11,"JMY",11
"v1",20260823,"mechanosensor_channels","TRPV4",11,"TRMU",11
"v1",20260823,"mechanosensor_channels","TRPV4",11,"NPTX2",11
"v1",20260823,"mechanosensor_channels","TRPV4",11,"USP46",11
"v1",20260823,"mechanosensor_channels","TRPV4",11,"HELZ2",11
"v1",20260823,"mechanosensor_channels","TRPV4",11,"C20orf194",11
"v1",20260823,"mechanosensor_channels","TRPV4",11,"ZNF880",11
"v1",20260823,"mechanosensor_channels","TRPV4",11,"KIAA0319L",11
"v1",20260823,"mechanosensor_channels","TRPV4",11,"POGLUT1",11
"v1",20260823,"mechanosensor_channels","TRPV4",11,"DHX8",11
"v1",20260823,"mechanosensor_channels","TRPV4",11,"LZTR1",11
"v1",20260823,"mechanosensor_channels","TRPV4",11,"AP001160.1",11
"v1",20260823,"mechanosensor_channels","TRPV4",11,"FXN",11
"v1",20260823,"mechanosensor_channels","TRPV4",11,"NARFL",11
"v1",20260823,"mechanosensor_channels","TRPA1",5,"EIF5AL1",5
"v1",20260823,"mechanosensor_channels","TRPA1",5,"C14orf93",5
"v1",20260823,"mechanosensor_channels","TRPA1",5,"C1QTNF5",5
"v1",20260823,"mechanosensor_channels","TRPA1",5,"DDX58",5
"v1",20260823,"mechanosensor_channels","TRPA1",5,"SLC27A4",5
"v1",20260823,"mechanosensor_channels","TRPA1",5,"CARD6",5
"v1",20260823,"mechanosensor_channels","TRPA1",5,"VAT1L",5
"v1",20260823,"mechanosensor_channels","TRPA1",5,"MATN3",5
"v1",20260823,"mechanosensor_channels","TRPA1",5,"LINC00513",5
"v1",20260823,"mechanosensor_channels","TRPA1",5,"LYVE1",5
"v1",20260823,"mechanosensor_channels","TRPA1",5,"AC018797.2",5
"v1",20260823,"mechanosensor_channels","TRPA1",5,"ZW10",5
"v1",20260823,"mechanosensor_channels","TRPA1",5,"GRID1",5
"v1",20260823,"mechanosensor_channels","TRPA1",5,"TADA2A",5
"v1",20260823,"mechanosensor_channels","TRPA1",5,"GIN1",5
"v1",20260823,"mechanosensor_channels","TRPA1",5,"UBOX5",5
"v1",20260823,"mechanosensor_channels","TRPA1",5,"MPHOSPH9",5
"v1",20260823,"mechanosensor_channels","TRPA1",5,"SLC43A2",5
"v1",20260823,"mechanosensor_channels","TRPA1",5,"PIK3CB",5
"v1",20260823,"mechanosensor_channels","TRPA1",5,"CTPS2",5
"v1",20260823,"mechanosensor_channels","TRPC1",15,"EHMT1",15
"v1",20260823,"mechanosensor_channels","TRPC1",15,"DNMT1",15
"v1",20260823,"mechanosensor_channels","TRPC1",15,"IRS1",15
"v1",20260823,"mechanosensor_channels","TRPC1",15,"DUSP12",15
"v1",20260823,"mechanosensor_channels","TRPC1",15,"ELP6",15
"v1",20260823,"mechanosensor_channels","TRPC1",15,"LYST",15
"v1",20260823,"mechanosensor_channels","TRPC1",15,"ZNF667-AS1",15
"v1",20260823,"mechanosensor_channels","TRPC1",15,"SMC6",15
"v1",20260823,"mechanosensor_channels","TRPC1",15,"ARIH1",15
"v1",20260823,"mechanosensor_channels","TRPC1",15,"CLK4",15
"v1",20260823,"mechanosensor_channels","TRPC1",15,"ACADS",15
"v1",20260823,"mechanosensor_channels","TRPC1",15,"SMYD3",15
"v1",20260823,"mechanosensor_channels","TRPC1",15,"BAMBI",15
"v1",20260823,"mechanosensor_channels","TRPC1",15,"CSE1L",15
"v1",20260823,"mechanosensor_channels","TRPC1",15,"H2AFX",15
"v1",20260823,"mechanosensor_channels","TRPC1",15,"FOXS1",15
"v1",20260823,"mechanosensor_channels","TRPC1",15,"KLHL7",15
"v1",20260823,"mechanosensor_channels","TRPC1",15,"ZDHHC6",15
"v1",20260823,"mechanosensor_channels","TRPC1",15,"SLC35A3",15
"v1",20260823,"mechanosensor_channels","TRPC1",15,"KLHL23",15
"v1",20260823,"mechanosensor_channels","TRPC3",9,"TMEM121",9
"v1",20260823,"mechanosensor_channels","TRPC3",9,"ARHGAP22",9
"v1",20260823,"mechanosensor_channels","TRPC3",9,"AMN1",9
"v1",20260823,"mechanosensor_channels","TRPC3",9,"PEX7",9
"v1",20260823,"mechanosensor_channels","TRPC3",9,"BNIP1",9
"v1",20260823,"mechanosensor_channels","TRPC3",9,"TBC1D25",9
"v1",20260823,"mechanosensor_channels","TRPC3",9,"CFB",9
"v1",20260823,"mechanosensor_channels","TRPC3",9,"PHTF1",9
"v1",20260823,"mechanosensor_channels","TRPC3",9,"FMO3",9
"v1",20260823,"mechanosensor_channels","TRPC3",9,"MAP3K4",9
"v1",20260823,"mechanosensor_channels","TRPC3",9,"HES6",9
"v1",20260823,"mechanosensor_channels","TRPC3",9,"CHAD",9
"v1",20260823,"mechanosensor_channels","TRPC3",9,"ACSS2",9
"v1",20260823,"mechanosensor_channels","TRPC3",9,"PCED1A",9
"v1",20260823,"mechanosensor_channels","TRPC3",9,"APBA3",9
"v1",20260823,"mechanosensor_channels","TRPC3",9,"SLC49A3",9
"v1",20260823,"mechanosensor_channels","TRPC3",9,"DIS3L2",9
"v1",20260823,"mechanosensor_channels","TRPC3",9,"WDR3",9
"v1",20260823,"mechanosensor_channels","TRPC3",9,"CPT2",9
"v1",20260823,"mechanosensor_channels","TRPC3",9,"MFN2",9
"v1",20260823,"mechanosensor_channels","TRPC6",14,"ITCH",14
"v1",20260823,"mechanosensor_channels","TRPC6",14,"RAB3GAP2",14
"v1",20260823,"mechanosensor_channels","TRPC6",14,"MTA3",14
"v1",20260823,"mechanosensor_channels","TRPC6",14,"KLHL9",14
"v1",20260823,"mechanosensor_channels","TRPC6",14,"CRLF1",14
"v1",20260823,"mechanosensor_channels","TRPC6",14,"CDK14",14
"v1",20260823,"mechanosensor_channels","TRPC6",14,"PPM1K",14
"v1",20260823,"mechanosensor_channels","TRPC6",14,"GPKOW",14
"v1",20260823,"mechanosensor_channels","TRPC6",14,"LTV1",14
"v1",20260823,"mechanosensor_channels","TRPC6",14,"PPP6R3",14
"v1",20260823,"mechanosensor_channels","TRPC6",14,"WDFY1",14
"v1",20260823,"mechanosensor_channels","TRPC6",14,"FADS1",14
"v1",20260823,"mechanosensor_channels","TRPC6",14,"FMNL2",14
"v1",20260823,"mechanosensor_channels","TRPC6",14,"ELOA",14
"v1",20260823,"mechanosensor_channels","TRPC6",14,"PNO1",14
"v1",20260823,"mechanosensor_channels","TRPC6",14,"ALKBH4",14
"v1",20260823,"mechanosensor_channels","TRPC6",14,"CDIP1",14
"v1",20260823,"mechanosensor_channels","TRPC6",14,"POMGNT1",14
"v1",20260823,"mechanosensor_channels","TRPC6",14,"PHF23",14
"v1",20260823,"mechanosensor_channels","TRPC6",14,"GPATCH2",14
"v1",20260823,"mechanosensor_channels","ASIC1",11,"PSME4",11
"v1",20260823,"mechanosensor_channels","ASIC1",11,"SP2",11
"v1",20260823,"mechanosensor_channels","ASIC1",11,"KIAA1586",11
"v1",20260823,"mechanosensor_channels","ASIC1",11,"IFT88",11
"v1",20260823,"mechanosensor_channels","ASIC1",11,"SCAF8",11
"v1",20260823,"mechanosensor_channels","ASIC1",11,"PDPR",11
"v1",20260823,"mechanosensor_channels","ASIC1",11,"ATRN",11
"v1",20260823,"mechanosensor_channels","ASIC1",11,"LPCAT1",11
"v1",20260823,"mechanosensor_channels","ASIC1",11,"NR2C1",11
"v1",20260823,"mechanosensor_channels","ASIC1",11,"WRNIP1",11
"v1",20260823,"mechanosensor_channels","ASIC1",11,"TRIM65",11
"v1",20260823,"mechanosensor_channels","ASIC1",11,"FBXO34",11
"v1",20260823,"mechanosensor_channels","ASIC1",11,"ATP10A",11
