"gene_set_version","module","role","gene","source_database","source_id","present_in_GSE173252","detected_in_singlets"
"v1","mechanosensor_channels","primary","PIEZO1","GO_MSigDB","GO:0009612",TRUE,TRUE
"v1","mechanosensor_channels","primary","PIEZO2","GO_MSigDB","GO:0009612",TRUE,TRUE
"v1","mechanosensor_channels","primary","TRPV4","GO_MSigDB","GO:0009612",TRUE,TRUE
"v1","mechanosensor_channels","primary","TRPA1","GO_MSigDB","GO:0009612",TRUE,TRUE
"v1","mechanosensor_channels","primary","TRPC1","GO_MSigDB","GO:0009612",TRUE,TRUE
"v1","mechanosensor_channels","primary","TRPC3","GO_MSigDB","GO:0009612",TRUE,TRUE
"v1","mechanosensor_channels","primary","TRPC6","GO_MSigDB","GO:0009612",TRUE,TRUE
"v1","mechanosensor_channels","primary","ASIC1","GO_MSigDB","GO:0009612",TRUE,TRUE
"v1","mechanosensor_channels","primary","ASIC2","GO_MSigDB","GO:0009612",TRUE,TRUE
"v1","mechanosensor_channels","primary","ASIC3","GO_MSigDB","GO:0009612",TRUE,TRUE
"v1","mechanosensor_channels","primary","KCNK2","GO_MSigDB","GO:0009612",TRUE,TRUE
"v1","mechanosensor_channels","primary","KCNK4","GO_MSigDB","GO:0009612",TRUE,TRUE
"v1","mechanosensor_channels","primary","PKD1","GO_MSigDB","GO:0009612",TRUE,TRUE
"v1","mechanosensor_channels","primary","PKD2","GO_MSigDB","GO:0009612",TRUE,TRUE
"v1","mechanosensor_channels","primary","TMEM63A","curated_mechanosensor_core","core_v1",TRUE,TRUE
"v1","mechanosensor_channels","primary","TMEM63B","curated_mechanosensor_core","core_v1",TRUE,TRUE
"v1","mechanosensor_channels","primary","TMEM150C","GO_MSigDB","GO:0009612",TRUE,TRUE
"v1","mechanosensor_channels","primary","PANX1","curated_mechanosensor_core","core_v1",TRUE,TRUE
"v1","mechanosensor_channels","primary","P2RX4","curated_mechanosensor_core","core_v1",TRUE,TRUE
"v1","mechanosensor_channels","primary","P2RX7","GO_MSigDB","GO:0009612",TRUE,TRUE
"v1","integrin_focal_adhesion","primary","ITGA1","Reactome","R-HSA-216083",TRUE,TRUE
"v1","integrin_focal_adhesion","primary","ITGA2","Reactome","R-HSA-216083",TRUE,TRUE
"v1","integrin_focal_adhesion","primary","ITGA5","Reactome","R-HSA-216083",TRUE,TRUE
"v1","integrin_focal_adhesion","primary","ITGA6","Reactome","R-HSA-216083",TRUE,TRUE
"v1","integrin_focal_adhesion","primary","ITGA8","Reactome","R-HSA-216083",TRUE,TRUE
"v1","integrin_focal_adhesion","primary","ITGA11","Reactome","R-HSA-216083",TRUE,TRUE
"v1","integrin_focal_adhesion","primary","ITGAV","Reactome","R-HSA-216083",TRUE,TRUE
"v1","integrin_focal_adhesion","primary","ITGB1","Reactome","R-HSA-216083",TRUE,TRUE
"v1","integrin_focal_adhesion","primary","ITGB3","Reactome","R-HSA-216083",TRUE,TRUE
"v1","integrin_focal_adhesion","primary","ITGB5","Reactome","R-HSA-216083",TRUE,TRUE
