"sample","source","condition","seurat_cluster","reproduced_identity","module","singlet_cells","mean_cell_score","median_cell_score","sd_cell_score"
"Dermis1","Dermis","Uninjured","0","FB","mechanosensor_channels",1765,-0.0563997901705058,-0.0699995947045266,0.0598384135199887
"Dermis1","Dermis","Uninjured","0","FB","integrin_focal_adhesion",1765,-0.207632221997635,-0.214779141068423,0.12564236859637
"Dermis1","Dermis","Uninjured","0","FB","hippo_yap_taz",1765,-0.105782770346569,-0.125013985472056,0.134425796597847
"Dermis1","Dermis","Uninjured","0","FB","actomyosin_rho",1765,-0.0859828749664246,-0.116161368790755,0.213375843386804
"Dermis1","Dermis","Uninjured","0","FB","ecm_remodeling",1765,0.0848576118777053,-0.0310354719842391,0.468561217911584
"Dermis1","Dermis","Uninjured","0","FB","tgf_fibrosis",1765,-0.14281980720253,-0.161190207385799,0.136744494462863
"Dermis1","Dermis","Uninjured","0","FB","inflammation_ap1_nfkb",1765,0.134166794971919,0.13320908569979,0.25390105232523
"Dermis1","Dermis","Uninjured","0","FB","hypoxia",1765,-0.131904226659313,-0.139891785553461,0.117349924362317
"Dermis1","Dermis","Uninjured","0","FB","cell_cycle",1765,-0.0547937669353569,-0.0690662096532852,0.0636191683310506
"Dermis1","Dermis","Uninjured","0","FB","primary_mechanotransduction_composite",1765,-0.113949414370284,-0.126313941045989,0.086270565849402
"Dermis2","Dermis","Uninjured","0","FB","mechanosensor_channels",283,-0.0578934398616624,-0.0704844492405747,0.0610065380274509
"Dermis2","Dermis","Uninjured","0","FB","integrin_focal_adhesion",283,-0.129107782211443,-0.142923782690847,0.129151662242962
"Dermis2","Dermis","Uninjured","0","FB","hippo_yap_taz",283,-0.0115730493921544,-0.0258215122550657,0.159293418773453
"Dermis2","Dermis","Uninjured","0","FB","actomyosin_rho",283,-0.0537706599627064,-0.0551422423892794,0.219609220719402
"Dermis2","Dermis","Uninjured","0","FB","ecm_remodeling",283,0.339030730058,0.355980218108771,0.502083841654748
"Dermis2","Dermis","Uninjured","0","FB","tgf_fibrosis",283,-0.0614423258785896,-0.0763733982428997,0.138165079623131
"Dermis2","Dermis","Uninjured","0","FB","inflammation_ap1_nfkb",283,-0.033161599091949,-0.0356352581176878,0.20024602789174
"Dermis2","Dermis","Uninjured","0","FB","hypoxia",283,-0.13495214963407,-0.142328162618902,0.125546075739108
"Dermis2","Dermis","Uninjured","0","FB","cell_cycle",283,-0.0605287220377108,-0.0695358704651072,0.0529340515182644
"Dermis2","Dermis","Uninjured","0","FB","primary_mechanotransduction_composite",283,-0.0630862328569916,-0.0667934002194575,0.0859281367532038
"Dermis3","Dermis","Uninjured","0","FB","mechanosensor_channels",389,-0.0722826808805483,-0.0890578069086669,0.0725532697894141
"Dermis3","Dermis","Uninjured","0","FB","integrin_focal_adhesion",389,-0.153474178774449,-0.160934775067342,0.132109330796845
"Dermis3","Dermis","Uninjured","0","FB","hippo_yap_taz",389,-0.118862933161231,-0.145651818022044,0.146561847741909
"Dermis3","Dermis","Uninjured","0","FB","actomyosin_rho",389,-0.0266629899192125,-0.0405452192707778,0.214394117739024
"Dermis3","Dermis","Uninjured","0","FB","ecm_remodeling",389,0.415862481842304,0.416023390814901,0.464201817454772
"Dermis3","Dermis","Uninjured","0","FB","tgf_fibrosis",389,-0.115431785390046,-0.145340120797014,0.15499750908709
"Dermis3","Dermis","Uninjured","0","FB","inflammation_ap1_nfkb",389,-0.240902140315186,-0.26447808639804,0.182747059848945
"Dermis3","Dermis","Uninjured","0","FB","hypoxia",389,-0.14669016188219,-0.169652326821526,0.131294376437585
"Dermis3","Dermis","Uninjured","0","FB","cell_cycle",389,-0.0543926187734423,-0.0824221532041283,0.142197538437304
"Dermis3","Dermis","Uninjured","0","FB","primary_mechanotransduction_composite",389,-0.0928206956838602,-0.0958226366864108,0.092209263250329
"SF1","SF","Uninjured","0","FB","mechanosensor_channels",1199,-0.0577889735917611,-0.0692621155766804,0.0544039006152329
"SF1","SF","Uninjured","0","FB","integrin_focal_adhesion",1199,-0.195612619222918,-0.204288515451434,0.11925811461297
"SF1","SF","Uninjured","0","FB","hippo_yap_taz",1199,-0.0976172642967646,-0.106688093332968,0.120942271451825
"SF1","SF","Uninjured","0","FB","actomyosin_rho",1199,-0.122402636414933,-0.127475337630581,0.158009208309929
"SF1","SF","Uninjured","0","FB","ecm_remodeling",1199,-0.242937539269565,-0.293905860882632,0.306342602049397
"SF1","SF","Uninjured","0","FB","tgf_fibrosis",1199,-0.102376658240931,-0.11532132587205,0.139595487200261
"SF1","SF","Uninjured","0","FB","inflammation_ap1_nfkb",1199,0.225516345371813,0.105797351230521,0.450969192933843
"SF1","SF","Uninjured","0","FB","hypoxia",1199,-0.0632274778673432,-0.0705051247078591,0.121806588898157
"SF1","SF","Uninjured","0","FB","cell_cycle",1199,-0.0583258993917875,-0.0683033767463207,0.048959450677752
"SF1","SF","Uninjured","0","FB","primary_mechanotransduction_composite",1199,-0.118355373381594,-0.122680725253645,0.0684161831965575
"SF2","SF","Uninjured","0","FB","mechanosensor_channels",885,-0.0687596239763236,-0.0763588230031784,0.0665309401638701
