"sample","source","condition","seurat_cluster","reproduced_identity","module","pseudobulk_module_score","singlet_cells","library_size"
"Dermis1","Dermis","Uninjured","0","FB","mechanosensor_channels",0.285173406096341,1765,5467424.98379701
"Dermis2","Dermis","Uninjured","0","FB","mechanosensor_channels",-0.134523248153591,283,606645.954668903
"Dermis3","Dermis","Uninjured","0","FB","mechanosensor_channels",0.360548709802976,389,1614383.17757474
"SF1","SF","Uninjured","0","FB","mechanosensor_channels",0.174789059023515,1199,5729864.87756597
"SF2","SF","Uninjured","0","FB","mechanosensor_channels",0.304556947989921,885,6504502.65085137
"SF3","SF","Uninjured","0","FB","mechanosensor_channels",0.172674953313842,369,2290169.69525231
"DD1","DD","DD","0","FB","mechanosensor_channels",0.278277373940213,831,2349260.25251866
"DD2","DD","DD","0","FB","mechanosensor_channels",0.327708446925966,1426,7157699.18649563
"DD3","DD","DD","0","FB","mechanosensor_channels",0.342018964719664,568,1923766.15659188
"Dermis2","Dermis","Uninjured","1","Myofib","mechanosensor_channels",0.416063890271414,4,12361.6082313419
"SF1","SF","Uninjured","1","Myofib","mechanosensor_channels",0.786003133465423,1,3176.06799447985
"SF2","SF","Uninjured","1","Myofib","mechanosensor_channels",0.417176715027443,13,68914.7910862474
"DD1","DD","DD","1","Myofib","mechanosensor_channels",0.159459855764457,106,833504.751771542
"DD2","DD","DD","1","Myofib","mechanosensor_channels",0.281207068406445,2216,22181565.6436082
"DD3","DD","DD","1","Myofib","mechanosensor_channels",0.142787460024573,1640,13512556.3900719
"Dermis1","Dermis","Uninjured","2","VSMC","mechanosensor_channels",-0.258824908962185,862,2294646.63582506
"Dermis2","Dermis","Uninjured","2","VSMC","mechanosensor_channels",-0.340273442610056,171,366509.533865956
"Dermis3","Dermis","Uninjured","2","VSMC","mechanosensor_channels",-0.352233047434565,652,2128434.59444131
"SF1","SF","Uninjured","2","VSMC","mechanosensor_channels",-0.126814168254513,367,1665579.15998533
"SF2","SF","Uninjured","2","VSMC","mechanosensor_channels",-0.180271242873121,198,1505244.5691408
"SF3","SF","Uninjured","2","VSMC","mechanosensor_channels",-0.464713341438972,65,443972.448860167
"DD1","DD","DD","2","VSMC","mechanosensor_channels",-0.314533458010637,512,1406122.42818261
"DD2","DD","DD","2","VSMC","mechanosensor_channels",-0.224105997483499,331,1090646.38574983
"DD3","DD","DD","2","VSMC","mechanosensor_channels",-0.328117395956215,389,1178850.46591961
"Dermis1","Dermis","Uninjured","3","Pericyte","mechanosensor_channels",-0.276521284945711,51,90889.2168124495
"Dermis2","Dermis","Uninjured","3","Pericyte","mechanosensor_channels",-0.155044966023951,64,95019.1624545057
"Dermis3","Dermis","Uninjured","3","Pericyte","mechanosensor_channels",-0.359939952122618,25,43085.4678852978
"SF1","SF","Uninjured","3","Pericyte","mechanosensor_channels",0.122148160239765,107,390347.360296792
"SF2","SF","Uninjured","3","Pericyte","mechanosensor_channels",-0.375758660129879,53,214217.450766183
"SF3","SF","Uninjured","3","Pericyte","mechanosensor_channels",-0.418454362188724,12,42138.6339430442
"DD1","DD","DD","3","Pericyte","mechanosensor_channels",-0.196979654903733,487,1491281.66749562
"DD2","DD","DD","3","Pericyte","mechanosensor_channels",-0.0264963562885841,284,999385.800593251
"DD3","DD","DD","3","Pericyte","mechanosensor_channels",-0.0369886572314009,337,1138632.08827108
"Dermis1","Dermis","Uninjured","0","FB","integrin_focal_adhesion",-0.344162930755586,1765,5467424.98379701
"Dermis2","Dermis","Uninjured","0","FB","integrin_focal_adhesion",-0.0513361079363872,283,606645.954668903
"Dermis3","Dermis","Uninjured","0","FB","integrin_focal_adhesion",-0.108510324264873,389,1614383.17757474
"SF1","SF","Uninjured","0","FB","integrin_focal_adhesion",-0.169543691066816,1199,5729864.87756597
"SF2","SF","Uninjured","0","FB","integrin_focal_adhesion",0.347034418690716,885,6504502.65085137
"SF3","SF","Uninjured","0","FB","integrin_focal_adhesion",0.249441703440994,369,2290169.69525231
"DD1","DD","DD","0","FB","integrin_focal_adhesion",-0.0179595391738634,831,2349260.25251866
"DD2","DD","DD","0","FB","integrin_focal_adhesion",0.0213587255433582,1426,7157699.18649563
"DD3","DD","DD","0","FB","integrin_focal_adhesion",0.0279766258010162,568,1923766.15659188
"Dermis2","Dermis","Uninjured","1","Myofib","integrin_focal_adhesion",-0.0859071422383563,4,12361.6082313419
"SF1","SF","Uninjured","1","Myofib","integrin_focal_adhesion",0.882390572115435,1,3176.06799447985
