"module","gene","step06_candidate_tier","myofib_percent_cells_expressing","myofib_mean_log_normalized_expression","DD_samples","median_Myofib_minus_FB","minimum_Myofib_minus_FB","positive_fraction_vs_FB","median_Myofib_minus_VSMC","minimum_Myofib_minus_VSMC","positive_fraction_vs_VSMC","median_Myofib_minus_Pericyte","minimum_Myofib_minus_Pericyte","positive_fraction_vs_Pericyte","minimum_difference_over_all_donors_and_identities","specificity_class"
"myofib_positive_control","POSTN","not_in_step06_shortlist",NA,NA,3,7.58381336878275,5.82516260711847,1,12.7690431580037,11.3386667668628,1,6.03569496992232,4.86819974813342,1,4.86819974813342,"robust_Myofib_over_all_three_identities"
"myofib_positive_control","SCX","not_in_step06_shortlist",NA,NA,3,4.33869123261483,3.92006323856223,1,7.91745432046903,6.91298672366274,1,6.06244630050615,5.45922237030233,1,3.92006323856223,"robust_Myofib_over_all_three_identities"
"myofib_positive_control","PDPN","not_in_step06_shortlist",NA,NA,3,2.64146006995022,1.72162605843741,1,8.90277647813612,6.5564519525928,1,6.32860094030445,5.26120975917395,1,1.72162605843741,"robust_Myofib_over_all_three_identities"
"integrin_focal_adhesion","ITGAV","A_consistent_DD_myofib_enrichment",75,0.933606556867344,3,1.33633349892363,1.3176149685599,1,2.59967327028105,2.27605400644011,1,2.34286505122545,1.99266324484952,1,1.3176149685599,"robust_Myofib_over_all_three_identities"
"integrin_focal_adhesion","ITGB1","A_consistent_DD_myofib_enrichment",98.0150753768844,2.65979143781518,3,1.97265139623291,1.82070374457751,1,1.54381363687365,1.34095919045922,1,1.43883425816567,1.00177507415588,1,1.00177507415588,"robust_Myofib_over_all_three_identities"
"integrin_focal_adhesion","ITGA2","B_partial_support",6.03015075376884,0.0509680139618568,3,1.59982984374039,0.870189757035104,1,3.49972580921526,3.21696489867185,1,4.23688973269017,3.21696489867185,1,0.870189757035104,"robust_Myofib_over_all_three_identities"
"mechanosensor_channels","PIEZO2","A_consistent_DD_myofib_enrichment",26.9849246231156,0.236336722855751,3,1.23564440072114,0.727994081495894,1,6.25080855579111,5.64140454795066,1,3.14097243195236,2.35559265163293,1,0.727994081495894,"robust_Myofib_over_all_three_identities"
"myofib_positive_control","FAP","not_in_step06_shortlist",NA,NA,3,1.022240953794,0.716185153869699,1,6.06647987506459,5.60002841075175,1,3.40244905122816,3.19775595189832,1,0.716185153869699,"robust_Myofib_over_all_three_identities"
"integrin_focal_adhesion","PARVA","A_consistent_DD_myofib_enrichment",63.0904522613065,0.631256003768288,3,0.664761007704452,0.655039327906664,1,2.23056232741665,1.47130949482157,1,0.988195813502222,0.780319561801828,1,0.655039327906664,"robust_Myofib_over_all_three_identities"
"mechanosensor_channels","TRPV4","C_no_specific_enrichment",2.8391959798995,0.0171361095016417,3,0.630284380241682,0.619177779340281,1,2.34662442315404,1.87545124762575,1,2.34662442315404,1.43037170653958,1,0.619177779340281,"robust_Myofib_over_all_three_identities"
"hippo_yap_taz","NF2","A_consistent_DD_myofib_enrichment",24.5226130653266,0.186612097490528,3,0.676269203039121,0.66978360313263,1,1.56805697979052,1.4237377202184,1,1.04484592526715,0.533221082259383,1,0.533221082259383,"robust_Myofib_over_all_three_identities"
"integrin_focal_adhesion","ITGA5","A_consistent_DD_myofib_enrichment",47.8894472361809,0.418451977095476,3,0.770601113596971,0.513891866574166,1,3.56838265786217,2.94878423044752,1,1.93178665426397,1.17993126387476,1,0.513891866574166,"robust_Myofib_over_all_three_identities"
