"gene","leave_one_out_comparisons","all_leave_one_out_medians_positive","all_leave_one_out_pairs_positive","minimum_leave_one_out_median","minimum_retained_pair_difference"
"POSTN",9,TRUE,TRUE,5.45194735902787,4.86819974813342
"SCX",9,TRUE,TRUE,4.12937723558853,3.92006323856223
"PDPN",9,TRUE,TRUE,2.18154306419382,1.72162605843741
"ITGAV",9,TRUE,TRUE,1.32697423374176,1.3176149685599
"ITGB1",9,TRUE,TRUE,1.22030466616077,1.00177507415588
"ITGA2",9,TRUE,TRUE,1.23500980038775,0.870189757035104
"PIEZO2",9,TRUE,TRUE,0.981819241108516,0.727994081495894
"FAP",9,TRUE,TRUE,0.86921305383185,0.716185153869699
"PARVA",9,TRUE,TRUE,0.659900167805558,0.655039327906664
"TRPV4",9,TRUE,TRUE,0.624731079790982,0.619177779340281
"NF2",9,TRUE,TRUE,0.673026403085875,0.533221082259383
"ITGA5",9,TRUE,TRUE,0.642246490085569,0.513891866574166
"CFL1",9,TRUE,TRUE,0.515613694560518,0.42326042743637
"LIMK1",9,TRUE,TRUE,0.680731795013513,0.234822390927329
"TMEM63B",9,TRUE,TRUE,0.286351455024047,0.225123747737889
"PANX1",9,TRUE,TRUE,0.273881041036696,0.129370989723882
"CNN2",9,TRUE,TRUE,0.166555280105738,0.125354290794189
"CDC42",9,TRUE,TRUE,0.154935106116702,0.109464210455107
"TEAD1",9,TRUE,TRUE,0.232936754399855,0.0879163468683197
"FERMT2",9,TRUE,TRUE,0.0681511639222467,0.00709043083923788
"TRPA1",9,FALSE,FALSE,0,0
"WWTR1",9,TRUE,FALSE,0.537928670714195,-0.0121193558462016
"TEAD2",9,FALSE,FALSE,-0.0776583237317716,-0.140381350430087
"BCAR1",9,TRUE,FALSE,0.0882117922654224,-0.192749788761355
"PFN1",9,TRUE,FALSE,0.0468849172647863,-0.261668044496115
"RAC1",9,FALSE,FALSE,-0.259312800895664,-0.291861182310873
"PKD1",9,FALSE,FALSE,-0.094199088167358,-0.340503378429694
"PKD2",9,TRUE,FALSE,0.0319058717821901,-0.379671993092543
"ILK",9,FALSE,FALSE,-0.426576421614556,-0.443819903164526
"TPM1",9,FALSE,FALSE,-0.47431503438038,-0.524536067177015
"TLN2",9,FALSE,FALSE,-0.200373607142277,-0.536285026401899
"YAP1",9,FALSE,FALSE,-0.481777500906517,-0.780858645665297
"P2RX4",9,FALSE,FALSE,-0.58978339601738,-0.832561576150314
"TEAD4",9,FALSE,FALSE,-0.847242708260857,-0.997437493959862
"VCL",9,FALSE,FALSE,-0.714250858213969,-1.00029060964078
"ASIC2",9,FALSE,FALSE,-0.529209365389036,-1.05841873077807
"PIEZO1",9,FALSE,FALSE,-0.968378198435515,-1.10233634964847
"ITGA8",9,FALSE,FALSE,-0.578253430109338,-1.24016414815096
"TRPC1",9,FALSE,FALSE,-0.985188987881266,-1.26838222024564
"ASIC1",9,FALSE,FALSE,-0.760737485787375,-1.34937260707211
"TLN1",9,FALSE,FALSE,-1.41495960332462,-1.42202707397311
"KCNK4",9,FALSE,FALSE,-0.905191867523995,-1.56782353184506
"KCNK2",9,FALSE,FALSE,-1.26921768899736,-1.59318071641071
"ASIC3",9,FALSE,FALSE,-1.20035709682502,-1.6439805373496
"TEAD3",9,FALSE,FALSE,-1.43357053758107,-1.83946575882765
"FLNA",9,FALSE,FALSE,-1.6720909519579,-1.85628030029338
"PDGFRA",9,FALSE,FALSE,-1.40449228362244,-1.90057778165856
"P2RX7",9,FALSE,FALSE,-1.83056449923797,-1.94229806905783
"TRPC3",9,FALSE,FALSE,-1.99344895095916,-2.04402593046505
"TMEM150C",9,FALSE,FALSE,-2.08912777345954,-2.23712562506162
"TAGLN",9,FALSE,FALSE,-2.67506793162479,-2.89836436882326
"TMEM63A",9,FALSE,FALSE,-2.11489718120439,-3.00443303464303
"TPM2",9,FALSE,FALSE,-2.99857710013211,-3.02943655947044
"MYL9",9,FALSE,FALSE,-3.37364385829272,-3.40169177171319
"CNN1",9,FALSE,FALSE,-3.84998110099304,-4.31408783114258
"ACTA2",9,FALSE,FALSE,-4.38555165556275,-4.41635887991814
"MYLK",9,FALSE,FALSE,-4.22609167960073,-4.65466182461732
"TRPC6",9,FALSE,FALSE,-5.78291959962231,-5.97693280137247
"APOD",9,FALSE,FALSE,-11.454842913293,-11.8538704993699
