"gene","omitted_DD_sample","comparator_identity","retained_samples","median_difference_after_omission","minimum_difference_after_omission","all_retained_differences_positive"
"CNN1","DD1","FB","DD2;DD3",3.68825789058663,3.07096541386027,TRUE
"CNN1","DD1","VSMC","DD2;DD3",-3.69986206612322,-4.31408783114258,FALSE
"CNN1","DD1","Pericyte","DD2;DD3",-0.953392259032371,-1.42259175337361,FALSE
"CNN1","DD2","FB","DD1;DD3",4.11461181867529,3.92367327003759,TRUE
"CNN1","DD2","VSMC","DD1;DD3",-3.84998110099304,-4.31408783114258,FALSE
"CNN1","DD2","Pericyte","DD1;DD3",-1.51229965081886,-1.60200754826411,FALSE
"CNN1","DD3","FB","DD1;DD2",3.49731934194893,3.07096541386027,TRUE
"CNN1","DD3","VSMC","DD1;DD2",-3.23575533597368,-3.38587437084351,FALSE
"CNN1","DD3","Pericyte","DD1;DD2",-1.04310015647762,-1.60200754826411,FALSE
"ITGA8","DD1","FB","DD2;DD3",2.64537247603747,2.14662204041668,TRUE
"ITGA8","DD1","VSMC","DD2;DD3",0.188530408009682,0.0836572879322857,TRUE
"ITGA8","DD1","Pericyte","DD2;DD3",2.99386842241299,2.67425596684029,TRUE
"ITGA8","DD2","FB","DD1;DD3",2.76520964193254,2.14662204041668,TRUE
"ITGA8","DD2","VSMC","DD1;DD3",-0.578253430109338,-1.24016414815096,FALSE
"ITGA8","DD2","Pericyte","DD1;DD3",2.01669822507983,1.35914048331937,TRUE
"ITGA8","DD3","FB","DD1;DD2",3.26396007755333,3.14412291165826,TRUE
"ITGA8","DD3","VSMC","DD1;DD2",-0.473380310031942,-1.24016414815096,FALSE
"ITGA8","DD3","Pericyte","DD1;DD2",2.33631068065253,1.35914048331937,TRUE
"TAGLN","DD1","FB","DD2;DD3",2.95412480375124,2.53210551921549,TRUE
"TAGLN","DD1","VSMC","DD2;DD3",-2.22358133910048,-2.45177149442632,FALSE
"TAGLN","DD1","Pericyte","DD2;DD3",-1.09646539192254,-1.31967656405359,FALSE
"TAGLN","DD2","FB","DD1;DD3",2.72444234909208,2.53210551921549,TRUE
"TAGLN","DD2","VSMC","DD1;DD3",-2.44687777629895,-2.89836436882326,FALSE
"TAGLN","DD2","Pericyte","DD1;DD3",-1.66109259123856,-2.44893096268562,FALSE
"TAGLN","DD3","FB","DD1;DD2",3.14646163362783,2.91677917896867,TRUE
"TAGLN","DD3","VSMC","DD1;DD2",-2.67506793162479,-2.89836436882326,FALSE
"TAGLN","DD3","Pericyte","DD1;DD2",-1.8843037633696,-2.44893096268562,FALSE
"ACTA2","DD1","FB","DD2;DD3",2.2990518087172,2.20229484911382,TRUE
"ACTA2","DD1","VSMC","DD2;DD3",-4.38555165556275,-4.41635887991814,FALSE
"ACTA2","DD1","Pericyte","DD2;DD3",-2.69866595641913,-3.13480478935723,FALSE
"ACTA2","DD2","FB","DD1;DD3",2.92247786977714,2.20229484911382,TRUE
"ACTA2","DD2","VSMC","DD1;DD3",-4.10281127634244,-4.35474443120735,FALSE
"ACTA2","DD2","Pericyte","DD1;DD3",-2.54837884685457,-2.83423057022812,FALSE
"ACTA2","DD3","FB","DD1;DD2",3.01923482938052,2.39580876832058,TRUE
"ACTA2","DD3","VSMC","DD1;DD2",-4.13361850069784,-4.41635887991814,FALSE
"ACTA2","DD3","Pericyte","DD1;DD2",-2.98451767979267,-3.13480478935723,FALSE
"TPM1","DD1","FB","DD2;DD3",2.07051652085897,2.06441943550512,TRUE
"TPM1","DD1","VSMC","DD2;DD3",-0.365109997577419,-0.424094001583745,FALSE
"TPM1","DD1","Pericyte","DD2;DD3",0.726338540616723,0.453629507383939,TRUE
"TPM1","DD2","FB","DD1;DD3",1.82227402210727,1.56793443800171,TRUE
"TPM1","DD2","VSMC","DD1;DD3",-0.47431503438038,-0.524536067177015,FALSE
"TPM1","DD2","Pericyte","DD1;DD3",0.423713353993305,-0.151620865862897,FALSE
"TPM1","DD3","FB","DD1;DD2",1.81617693675341,1.56793443800171,TRUE
"TPM1","DD3","VSMC","DD1;DD2",-0.415331030374054,-0.524536067177015,FALSE
"TPM1","DD3","Pericyte","DD1;DD2",0.151004320760521,-0.151620865862897,FALSE
"TPM2","DD1","FB","DD2;DD3",2.26225182483386,1.85335557154436,TRUE
"TPM2","DD1","VSMC","DD2;DD3",-2.80927453439986,-3.02943655947044,FALSE
"TPM2","DD1","Pericyte","DD2;DD3",-0.98561576606668,-1.09631696294983,FALSE
"TPM2","DD2","FB","DD1;DD3",1.94561410749215,1.85335557154436,TRUE
"TPM2","DD2","VSMC","DD1;DD3",-2.99857710013211,-3.02943655947044,FALSE
"TPM2","DD2","Pericyte","DD1;DD3",-1.31040266618051,-1.52448836941119,FALSE
"TPM2","DD3","FB","DD1;DD2",2.35451036078165,2.03787264343995,TRUE
"TPM2","DD3","VSMC","DD1;DD2",-2.77841507506153,-2.96771764079379,FALSE
"TPM2","DD3","Pericyte","DD1;DD2",-1.19970146929736,-1.52448836941119,FALSE
"ITGB1","DD1","FB","DD2;DD3",2.20994251569659,1.97265139623291,TRUE
"ITGB1","DD1","VSMC","DD2;DD3",1.70717720943771,1.54381363687365,TRUE
"ITGB1","DD1","Pericyte","DD2;DD3",1.57170895688769,1.43883425816567,TRUE
"ITGB1","DD2","FB","DD1;DD3",1.89667757040521,1.82070374457751,TRUE
"ITGB1","DD2","VSMC","DD1;DD3",1.44238641366644,1.34095919045922,TRUE
"ITGB1","DD2","Pericyte","DD1;DD3",1.22030466616077,1.00177507415588,TRUE
"ITGB1","DD3","FB","DD1;DD2",2.13396868986889,1.82070374457751,TRUE
"ITGB1","DD3","VSMC","DD1;DD2",1.60574998623049,1.34095919045922,TRUE
"ITGB1","DD3","Pericyte","DD1;DD2",1.35317936488279,1.00177507415588,TRUE
"ITGAV","DD1","FB","DD2;DD3",1.46714103528547,1.3176149685599,TRUE
"ITGAV","DD1","VSMC","DD2;DD3",2.43786363836058,2.27605400644011,TRUE
"ITGAV","DD1","Pericyte","DD2;DD3",2.17779416440299,1.99266324484952,TRUE
"ITGAV","DD2","FB","DD1;DD3",1.32697423374176,1.3176149685599,TRUE
"ITGAV","DD2","VSMC","DD1;DD3",2.75639138780717,2.27605400644011,TRUE
"ITGAV","DD2","Pericyte","DD1;DD3",2.16776414803748,1.99266324484952,TRUE
"ITGAV","DD3","FB","DD1;DD2",1.47650030046733,1.33633349892363,TRUE
"ITGAV","DD3","VSMC","DD1;DD2",2.91820101972764,2.59967327028105,TRUE
"ITGAV","DD3","Pericyte","DD1;DD2",2.35289506759095,2.34286505122545,TRUE
"BCAR1","DD1","FB","DD2;DD3",1.01208073916078,0.770789515278601,TRUE
"BCAR1","DD1","VSMC","DD2;DD3",0.803499701293844,0.523273590826121,TRUE
"BCAR1","DD1","Pericyte","DD2;DD3",0.403243228831035,-0.192749788761355,FALSE
"BCAR1","DD2","FB","DD1;DD3",1.48061181465484,1.25337196304295,TRUE
"BCAR1","DD2","VSMC","DD1;DD3",0.875862112406217,0.667998413050867,TRUE
"BCAR1","DD2","Pericyte","DD1;DD3",0.684204809857812,0.3691733732922,TRUE
"BCAR1","DD3","FB","DD1;DD2",1.23932059077267,0.770789515278601,TRUE
"BCAR1","DD3","VSMC","DD1;DD2",0.595636001938494,0.523273590826121,TRUE
"BCAR1","DD3","Pericyte","DD1;DD2",0.0882117922654224,-0.192749788761355,FALSE
"PIEZO2","DD1","FB","DD2;DD3",0.999885293372882,0.727994081495894,TRUE
"PIEZO2","DD1","VSMC","DD2;DD3",6.35384611974747,6.25080855579111,TRUE
"PIEZO2","DD1","Pericyte","DD2;DD3",2.74828254179264,2.35559265163293,TRUE
"PIEZO2","DD2","FB","DD1;DD3",1.2537104529855,1.23564440072114,TRUE
"PIEZO2","DD2","VSMC","DD1;DD3",6.04914411582724,5.64140454795066,TRUE
"PIEZO2","DD2","Pericyte","DD1;DD3",3.35994575484697,3.14097243195236,TRUE
"PIEZO2","DD3","FB","DD1;DD2",0.981819241108516,0.727994081495894,TRUE
"PIEZO2","DD3","VSMC","DD1;DD2",5.94610655187089,5.64140454795066,TRUE
"PIEZO2","DD3","Pericyte","DD1;DD2",2.96725586468726,2.35559265163293,TRUE
"TEAD2","DD1","FB","DD2;DD3",1.05942417712769,0.899919046646186,TRUE
"TEAD2","DD1","VSMC","DD2;DD3",0.705960843417018,0.639051014710087,TRUE
"TEAD2","DD1","Pericyte","DD2;DD3",0.135430893774624,-0.014935297033456,FALSE
"TEAD2","DD2","FB","DD1;DD3",1.29059435526947,1.21892930760919,TRUE
"TEAD2","DD2","VSMC","DD1;DD3",0.337958332971255,0.0368656512324241,TRUE
"TEAD2","DD2","Pericyte","DD1;DD3",-0.0776583237317716,-0.140381350430087,FALSE
"TEAD2","DD3","FB","DD1;DD2",1.13108922478797,0.899919046646186,TRUE
"TEAD2","DD3","VSMC","DD1;DD2",0.404868161678187,0.0368656512324241,TRUE
"TEAD2","DD3","Pericyte","DD1;DD2",0.0727078670763084,-0.140381350430087,FALSE
"LIMK1","DD1","FB","DD2;DD3",1.4059698950575,1.1266411990997,TRUE
"LIMK1","DD1","VSMC","DD2;DD3",4.34365552307849,3.35438144279638,TRUE
"LIMK1","DD1","Pericyte","DD2;DD3",3.45973480656402,2.76834418667,TRUE
