"module","DD_samples","sample_ids","median_myofib_identity_rank","rank1_fraction","median_myofib_minus_best_other","minimum_myofib_minus_best_other","module_specificity_class"
"ecm_remodeling",3,"DD1;DD2;DD3",1,1,0.446259062120316,0.255591535513826,"Myofib_dominant_all_DD"
"cell_cycle",3,"DD1;DD2;DD3",1,0.666666666666667,0.093700431414778,-0.599309595696679,"Myofib_dominant_two_of_three_DD"
"integrin_focal_adhesion",3,"DD1;DD2;DD3",1,1,0.0888417525058573,0.0590780518469721,"Myofib_dominant_all_DD"
"hypoxia",3,"DD1;DD2;DD3",2,0.333333333333333,-0.0081724307073103,-0.0188144997813255,"Not_Myofib_dominant"
"primary_mechanotransduction_composite",3,"DD1;DD2;DD3",2,0.333333333333333,-0.0117721482892436,-0.0351167362702281,"Not_Myofib_dominant"
"tgf_fibrosis",3,"DD1;DD2;DD3",2,0.333333333333333,-0.066721074576169,-0.135050820815135,"Not_Myofib_dominant"
"mechanosensor_channels",3,"DD1;DD2;DD3",2,0,-0.118817518175756,-0.199231504695091,"Not_Myofib_dominant"
"actomyosin_rho",3,"DD1;DD2;DD3",3,0,-0.59509692974366,-0.662764647275985,"Not_Myofib_dominant"
"hippo_yap_taz",3,"DD1;DD2;DD3",4,0,-0.285979333794222,-0.349340607965851,"Not_Myofib_dominant"
"inflammation_ap1_nfkb",3,"DD1;DD2;DD3",4,0,-1.11514236750147,-1.28252526087463,"Not_Myofib_dominant"
