"sample","source","seurat_cluster","reproduced_identity","singlet_cells","gene","percent_cells_expressing","mean_log_normalized_expression"
"Dermis1","Dermis","0","FB",1765,"CNN1",0.793201133144476,0.00790691230905584
"Dermis1","Dermis","0","FB",1765,"ITGA8",0.906515580736544,0.0133097833153113
"Dermis1","Dermis","0","FB",1765,"TAGLN",18.1303116147309,0.29735607175978
"Dermis1","Dermis","0","FB",1765,"ACTA2",20.7365439093484,0.262956748801685
"Dermis1","Dermis","0","FB",1765,"TPM1",48.2152974504249,0.870348468771104
"Dermis1","Dermis","0","FB",1765,"TPM2",30.1416430594901,0.436797084923922
"Dermis1","Dermis","0","FB",1765,"ITGB1",46.2322946175637,0.787863341347514
"Dermis1","Dermis","0","FB",1765,"ITGAV",8.95184135977337,0.128263080175096
"Dermis1","Dermis","0","FB",1765,"BCAR1",5.4957507082153,0.070116426376742
"Dermis1","Dermis","0","FB",1765,"PIEZO2",0.623229461756374,0.00847898345746782
"Dermis1","Dermis","0","FB",1765,"TEAD2",5.77903682719547,0.0718799817772993
"Dermis1","Dermis","0","FB",1765,"LIMK1",2.43626062322946,0.0383931979823212
"Dermis1","Dermis","0","FB",1765,"CNN2",18.300283286119,0.263561372979811
"Dermis1","Dermis","0","FB",1765,"TEAD3",3.28611898016997,0.0412536741236006
"Dermis1","Dermis","0","FB",1765,"PFN1",73.7677053824363,1.47624877523827
"Dermis1","Dermis","0","FB",1765,"CFL1",73.0878186968839,1.53804281749032
"Dermis1","Dermis","0","FB",1765,"TMEM63B",2.32294617563739,0.0320539819478003
"Dermis1","Dermis","0","FB",1765,"ITGA5",11.5580736543909,0.17036619670776
"Dermis1","Dermis","0","FB",1765,"MYLK",4.70254957507082,0.0518979564727139
"Dermis1","Dermis","0","FB",1765,"ILK",29.2351274787535,0.427908049052437
"Dermis1","Dermis","0","FB",1765,"MYL9",44.8725212464589,0.743804991045066
"Dermis1","Dermis","0","FB",1765,"NF2",4.41926345609065,0.0594598535524747
"Dermis1","Dermis","0","FB",1765,"PARVA",19.1501416430595,0.269126492270987
"Dermis1","Dermis","0","FB",1765,"PKD2",5.26912181303116,0.0772483901979726
"Dermis1","Dermis","0","FB",1765,"VCL",13.0878186968839,0.187995163026037
"Dermis1","Dermis","0","FB",1765,"TEAD4",0.679886685552408,0.00783869293812027
"Dermis1","Dermis","0","FB",1765,"ITGA2",0.226628895184136,0.00313617068662547
"Dermis1","Dermis","0","FB",1765,"WWTR1",15.3541076487252,0.218076817960611
