"metric","value"
"metadata_gate_passed","TRUE"
"run_count","14"
"experiment_count","14"
"sra_sample_count","14"
"biosample_count","14"
"GMC_sample_count","10"
"control_sample_count","4"
"male_sample_count","8"
"female_sample_count","6"
"estimated_total_raw_size_GiB","617.25"
"smallest_run_size_GiB","19.80"
"largest_run_size_GiB","60.30"
"local_GEO_sample_count","1"
"local_GEO_supports_donor_level_inference","FALSE"
"proceed_to_full_raw_download","FALSE"
"proceed_to_step09B_processed_data_recovery","TRUE"
