"source_id","source_type","url_or_path","observed_content","sample_resolved_processed_expression","status","next_action"
"LOCAL_GEO_TAR","local processed archive","./data/raw/GSE273293/GSE273293_RAW.tar","3 files; one GSM8425828_GMC01 matrix triplet","FALSE","audited","retain for pooled descriptive mapping only"
"LOCAL_GEO_METADATA","local GEO metadata","./data/metadata/GSE273293/GSE273293_series_matrix_sample_metadata_01.csv","1 row; GSM8425828; GMC01","FALSE","audited","do not use for 14-sample inference"
"GSE273293","NCBI GEO","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE273293","one GEO sample and one small pooled matrix archive","FALSE","audited","no additional processed object found"
"PRJNA1141379","NCBI BioProject/SRA","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1141379","1 BioSample and 1 SRA experiment; linked to GSE273293","FALSE","audited","not a 14-sample processed source"
"PRJNA1206333","NCBI BioProject/SRA","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1206333","14 one-to-one raw runs; estimated 617.25 GiB","FALSE","metadata_pass_raw_only","do not download full raw archive"
"ARTICLE_DATA_STATEMENT","publisher and PMC article","https://doi.org/10.1186/s12967-024-05889-y","data statement points to GSE273293 only","FALSE","audited","record repository mismatch transparently"
"ARTICLE_CODE_STATEMENT","publisher and PMC article","https://pmc.ncbi.nlm.nih.gov/articles/PMC11834283/","states code will be deposited at GitHub but gives no repository URL","FALSE","repository_not_found","request code and processed object from corresponding authors"
"TARGETED_CODE_SEARCH","web/GitHub discovery","queries: GSE273293; PRJNA1206333; DOI; exact title; author names","no matching study-specific public repository located on 2026-08-24","FALSE","not_found_after_targeted_search","repeat only if authors provide a repository name or URL"
"SUPPLEMENTARY_MATERIAL_1","Springer/PMC supporting information","https://link.springer.com/article/10.1186/s12967-024-05889-y","DOCX; approximately 8.5 MB; content not downloaded or inspected","UNKNOWN","pending_user_SI_confirmation","download and inspect only after explicit SI approval"
"SUPPLEMENTARY_MATERIAL_2","Springer/PMC supporting information","https://link.springer.com/article/10.1186/s12967-024-05889-y","DOCX; approximately 185.4 KB; content not downloaded or inspected","UNKNOWN","pending_user_SI_confirmation","download and inspect only after explicit SI approval"
"PMC_OA_PACKAGE","PMC open-access package inventory","https://www.ncbi.nlm.nih.gov/pmc/utils/oa/oa.fcgi?id=PMC11834283","OA package and PDF links exist; package not downloaded","UNKNOWN","available_not_downloaded","use only if SI download is explicitly approved"

