source_id,source_type,url_or_path,observed_content,sample_resolved_processed_expression,status,next_action
LOCAL_GEO_TAR,local processed archive,./data/raw/GSE273293/GSE273293_RAW.tar,3 files; one GSM8425828_GMC01 matrix triplet,FALSE,audited,retain for pooled descriptive mapping only
LOCAL_GEO_METADATA,local GEO metadata,./data/metadata/GSE273293/GSE273293_series_matrix_sample_metadata_01.csv,1 row; GSM8425828; GMC01,FALSE,audited,do not use for 14-sample inference
GSE273293,NCBI GEO,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE273293,one GEO sample and one pooled matrix archive,FALSE,audited,no additional processed object found
PRJNA1141379,NCBI BioProject/SRA,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1141379,1 BioSample and 1 SRA experiment linked to GSE273293,FALSE,audited,not a 14-sample processed source
PRJNA1206333,NCBI BioProject/SRA,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1206333,14 one-to-one raw runs; estimated 617.25 GiB,FALSE,metadata_pass_raw_only,do not download full raw archive
ARTICLE_DATA_STATEMENT,publisher and PMC article,https://doi.org/10.1186/s12967-024-05889-y,data statement points to GSE273293 only,FALSE,audited,record repository mismatch transparently
ARTICLE_CODE_STATEMENT,publisher and PMC article,https://pmc.ncbi.nlm.nih.gov/articles/PMC11834283/,states code will be deposited at GitHub but gives no repository URL,FALSE,repository_not_found,request code and processed object from corresponding authors
TARGETED_CODE_SEARCH,web/GitHub discovery,queries: GSE273293; PRJNA1206333; DOI; exact title; author names,no matching study-specific public repository located on 2026-08-24,FALSE,not_found_after_targeted_search,repeat only if authors provide a repository name or URL
SUPPLEMENTARY_MATERIAL_1,Springer supporting information,./data/metadata/GSE273293/supporting_information/12967_2024_5889_MOESM1_ESM.docx,24 supplementary figures; 27 rendered pages; sample labels visible in Figure S3; no external links or data attachments,FALSE,downloaded_verified_inspected,use as visual/descriptive evidence only
SUPPLEMENTARY_MATERIAL_2,Springer supporting information,./data/metadata/GSE273293/supporting_information/12967_2024_5889_MOESM2_ESM.docx,11 supplementary tables; clinical metadata and per-sample cell/subcluster counts; no barcode map or expression object,FALSE,downloaded_verified_inspected,use for sample-composition audit only
SUPPLEMENTARY_STRUCTURE_AUDIT,DOCX OOXML and rendered-PDF audit,./results/07_deep_fascia_recovery/GSE273293/09B_processed_data_recovery_audit/supporting_information_extraction,zero external URL relationships; zero embedded spreadsheet/RDS/H5AD objects; keyword search found no barcode sample-ID repository or processed-object reference,FALSE,completed,retain audit trail
PMC_OA_PACKAGE,PMC open-access package inventory,https://www.ncbi.nlm.nih.gov/pmc/utils/oa/oa.fcgi?id=PMC11834283,not required because both official Springer SI files were obtained directly,FALSE,superseded_by_direct_SI_download,no action
