document,block_type,location,matched_terms,text
12967_2024_5889_MOESM1_ESM.docx,paragraph,10,sample,Supplementary Figure 3. Integration of multiple samples using Harmony.
12967_2024_5889_MOESM1_ESM.docx,paragraph,11,sample,"(A) UMAP embedding of all cells, colored by individual subject sample, showing the integration across all samples. (B) UMAP embedding of cells from each sample individually, colored by individual subject sample, demonstrating the sample-specific distribution."
12967_2024_5889_MOESM1_ESM.docx,paragraph,21,code; sample,Heatmap of top 10 differentially expressed genes and their expression levels (coded by colors) in macrophage subclusters. Columns denote cells; rows denote genes. Top color-bars denote sample source and cell type.
12967_2024_5889_MOESM1_ESM.docx,paragraph,52,code; sample,Heatmap of top 10 differentially expressed genes and their expression levels (coded by colors) in fibroblast subclusters. Columns denote cells; rows denote genes. Top color-bars denote sample source and cell type.
12967_2024_5889_MOESM2_ESM.docx,paragraph,7,sample,Supplementary Table 2. The clinical information of both the GMC patients and control tissue samples.
12967_2024_5889_MOESM2_ESM.docx,paragraph,8,sample,This table provides the list of clinical information for both GMC and control samples.
12967_2024_5889_MOESM2_ESM.docx,paragraph,10,sample,Supplementary Table 3. Number of cells and ratio of cells across different clusters in individual sample.
12967_2024_5889_MOESM2_ESM.docx,paragraph,11,sample,This table lists out the number of cells and the ratio of cells across different clusters in each individual sample.
12967_2024_5889_MOESM2_ESM.docx,paragraph,19,sample,Supplementary Table 5. The proportion of each cell type in individual sample.
12967_2024_5889_MOESM2_ESM.docx,paragraph,20,sample,This table provides the list of the proportion of each cell type in each individual sample.
12967_2024_5889_MOESM2_ESM.docx,paragraph,37,sample,Supplementary Table 8. Number of cells and ratio of cells across macrophage subclusters in individual sample.
12967_2024_5889_MOESM2_ESM.docx,paragraph,38,sample,This table lists out the number of cells and the ratio of cells across macrophage subclusters in each individual sample.
12967_2024_5889_MOESM2_ESM.docx,paragraph,47,sample,Supplementary Table 10. Number of cells and ratio of cells across fibroblast subclusters in individual sample.
12967_2024_5889_MOESM2_ESM.docx,paragraph,48,sample,This table lists out the number of cells and the ratio of cells across fibroblast subclusters in each individual sample.
