"source_accession","status","gsm_samples","donor_like_samples","fibroblast_like_samples","single_cell_like_samples","disease_or_control_like_samples","priority_score","priority_class","error_message"
"GSE175817","metadata_audit_completed",6,6,6,6,6,10,"high_priority_manual_object_audit",""
"GSE130973","metadata_audit_completed",5,5,0,5,5,7,"medium_priority_manual_object_audit",""
"GSE132802","metadata_audit_completed",14,13,0,14,14,7,"medium_priority_manual_object_audit",""
"GSE138669","metadata_audit_completed",22,22,0,22,22,7,"medium_priority_manual_object_audit",""
"GSE144236","metadata_audit_completed",29,29,0,29,29,7,"medium_priority_manual_object_audit",""
"GSE154775","metadata_audit_completed",9,9,0,9,9,7,"medium_priority_manual_object_audit",""
"GSE158924","metadata_audit_completed",6,6,0,6,6,7,"medium_priority_manual_object_audit",""
"GSE163973","metadata_audit_completed",6,6,0,6,6,7,"medium_priority_manual_object_audit",""
"GSE166796","metadata_audit_completed",12,12,0,12,12,7,"medium_priority_manual_object_audit",""
"GSE169147","metadata_audit_completed",6,6,0,6,6,7,"medium_priority_manual_object_audit",""
"GSE173706","metadata_audit_completed",33,33,0,33,33,7,"medium_priority_manual_object_audit",""
"GSE175990","metadata_audit_completed",4,4,0,4,4,7,"medium_priority_manual_object_audit",""
"GSE181907","metadata_audit_completed",5,5,0,5,5,7,"medium_priority_manual_object_audit",""
"GSE186476","metadata_audit_completed",29,29,0,29,29,7,"medium_priority_manual_object_audit",""
"GSE202352","metadata_audit_completed",12,12,0,12,12,7,"medium_priority_manual_object_audit",""
"GSE212450","metadata_audit_completed",23,0,23,23,23,7,"medium_priority_manual_object_audit",""
"GSE215120","metadata_audit_completed",11,11,0,11,11,7,"medium_priority_manual_object_audit",""
"GSE228421","metadata_audit_completed",20,20,0,20,20,7,"medium_priority_manual_object_audit",""
"GSE229279","metadata_audit_completed",12,12,0,12,12,7,"medium_priority_manual_object_audit",""
"GSE233280","metadata_audit_completed",12,12,0,12,12,7,"medium_priority_manual_object_audit",""
"GSE234987","metadata_audit_completed",7,7,0,7,7,7,"medium_priority_manual_object_audit",""
"GSE123813","metadata_audit_completed",86,86,0,86,0,6,"medium_priority_manual_object_audit",""
"GSE181297","metadata_audit_completed",7,0,0,7,7,4,"low_priority_or_insufficient_metadata",""
"GSE181316","metadata_audit_completed",8,0,0,8,8,4,"low_priority_or_insufficient_metadata",""
"GSE189889","metadata_audit_completed",9,0,0,9,9,4,"low_priority_or_insufficient_metadata",""
"GSE249279","metadata_audit_completed",42,0,0,42,42,4,"low_priority_or_insufficient_metadata",""
"GSE163028","metadata_audit_completed",3,0,0,3,3,3,"low_priority_or_insufficient_metadata",""
