"source_accession","gsm_accession","title","source_name","organism","characteristics","library_strategy","supplementary_file","all_metadata_text","donor_like","fibroblast_like","single_cell_like","disease_or_control_like"
"GSE202352","GSM6111844","Subject 1 Hip","hip","Homo sapiens","tissue: recombined epidermis + dermis | subject id: Subject 1","RNA-Seq","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6111nnn/GSM6111844/suppl/GSM6111844_Sample_721_Subject1_hip.filtered_feature_bc_matrix.tar.gz","channel_count=1 | characteristics_ch1=tissue: recombined epidermis + dermis | subject id: Subject 1 | contact_address=Sprague Hall | contact_city=Irvine | contact_country=USA | contact_email=wiedemaj@uci.edu | contact_institute=UCI | contact_name=Julie,,Wiedemann | contact_state=California | contact_zip/postal_code=92697 | data_processing=Raw sequencing data were demultiplexed and processed using Cellranger (10× Genomics version 3.0.2) using hg19 reference provided by 10× Genomics | Preliminary analysis and visualization of the single cell datasets were performed using Seurat. We performed integrated analysis of the 12 datasets from 3 sites, normalizing separately for each dataset, selected 2000 informative features, and performed integration using the FindIntegrationAnchors function. | Assembly: hg19 | Supplementary files format and content: TAR file containing Cell Ranger outputs for each dataset. Contains filtered feature-barcode matrix in MEX format and tsv files of cell barcodes and features | data_row_count=0 | extract_protocol_ch1=Generation of single-cell suspensions for scRNA-seq was performed as previously described (Gudjonsson et. al. (2020), JCI insight). Dermal and epidermal fractions were either combined or sequenced independently. | Libraries were constructed by the University of Michigan Advanced Genomics Core on the 10× Genomics Chromium system and sequenced on the Illumina NovaSeq 6000 sequencer to generate 150 bp paired-end reads. | geo_accession=GSM6111844 | instrument_model=Illumina NovaSeq 6000 | last_update_date=Jan 12 2023 | library_selection=cDNA | library_source=transcriptomic single cell | library_strategy=RNA-Seq | molecule_ch1=total RNA | organism_ch1=Homo sapiens | platform_id=GPL24676 | relation=BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN28104906 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX15182490 | series_id=GSE202352 | source_name_ch1=hip | status=Public on Jan 11 2023 | submission_date=May 05 2022 | supplementary_file_1=ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6111nnn/GSM6111844/suppl/GSM6111844_Sample_721_Subject1_hip.filtered_feature_bc_matrix.tar.gz | taxid_ch1=9606 | title=Subject 1 Hip | type=SRA",TRUE,FALSE,TRUE,TRUE
"GSE202352","GSM6111845","Subject 1 Sole","sole","Homo sapiens","tissue: recombined epidermis + dermis | subject id: Subject 1","RNA-Seq","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6111nnn/GSM6111845/suppl/GSM6111845_Sample_721_Subject1_sole.filtered_feature_bc_matrix.tar.gz","channel_count=1 | characteristics_ch1=tissue: recombined epidermis + dermis | subject id: Subject 1 | contact_address=Sprague Hall | contact_city=Irvine | contact_country=USA | contact_email=wiedemaj@uci.edu | contact_institute=UCI | contact_name=Julie,,Wiedemann | contact_state=California | contact_zip/postal_code=92697 | data_processing=Raw sequencing data were demultiplexed and processed using Cellranger (10× Genomics version 3.0.2) using hg19 reference provided by 10× Genomics | Preliminary analysis and visualization of the single cell datasets were performed using Seurat. We performed integrated analysis of the 12 datasets from 3 sites, normalizing separately for each dataset, selected 2000 informative features, and performed integration using the FindIntegrationAnchors function. | Assembly: hg19 | Supplementary files format and content: TAR file containing Cell Ranger outputs for each dataset. Contains filtered feature-barcode matrix in MEX format and tsv files of cell barcodes and features | data_row_count=0 | extract_protocol_ch1=Generation of single-cell suspensions for scRNA-seq was performed as previously described (Gudjonsson et. al. (2020), JCI insight). Dermal and epidermal fractions were either combined or sequenced independently. | Libraries were constructed by the University of Michigan Advanced Genomics Core on the 10× Genomics Chromium system and sequenced on the Illumina NovaSeq 6000 sequencer to generate 150 bp paired-end reads. | geo_accession=GSM6111845 | instrument_model=Illumina NovaSeq 6000 | last_update_date=Jan 12 2023 | library_selection=cDNA | library_source=transcriptomic single cell | library_strategy=RNA-Seq | molecule_ch1=total RNA | organism_ch1=Homo sapiens | platform_id=GPL24676 | relation=BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN28104905 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX15182491 | series_id=GSE202352 | source_name_ch1=sole | status=Public on Jan 11 2023 | submission_date=May 05 2022 | supplementary_file_1=ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6111nnn/GSM6111845/suppl/GSM6111845_Sample_721_Subject1_sole.filtered_feature_bc_matrix.tar.gz | taxid_ch1=9606 | title=Subject 1 Sole | type=SRA",TRUE,FALSE,TRUE,TRUE
"GSE202352","GSM6111846","Subject 2 Hip","hip","Homo sapiens","tissue: recombined epidermis + dermis | subject id: Subject 2","RNA-Seq","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6111nnn/GSM6111846/suppl/GSM6111846_Sample_721_Subject2_hip.filtered_feature_bc_matrix.tar.gz","channel_count=1 | characteristics_ch1=tissue: recombined epidermis + dermis | subject id: Subject 2 | contact_address=Sprague Hall | contact_city=Irvine | contact_country=USA | contact_email=wiedemaj@uci.edu | contact_institute=UCI | contact_name=Julie,,Wiedemann | contact_state=California | contact_zip/postal_code=92697 | data_processing=Raw sequencing data were demultiplexed and processed using Cellranger (10× Genomics version 3.0.2) using hg19 reference provided by 10× Genomics | Preliminary analysis and visualization of the single cell datasets were performed using Seurat. We performed integrated analysis of the 12 datasets from 3 sites, normalizing separately for each dataset, selected 2000 informative features, and performed integration using the FindIntegrationAnchors function. | Assembly: hg19 | Supplementary files format and content: TAR file containing Cell Ranger outputs for each dataset. Contains filtered feature-barcode matrix in MEX format and tsv files of cell barcodes and features | data_row_count=0 | extract_protocol_ch1=Generation of single-cell suspensions for scRNA-seq was performed as previously described (Gudjonsson et. al. (2020), JCI insight). Dermal and epidermal fractions were either combined or sequenced independently. | Libraries were constructed by the University of Michigan Advanced Genomics Core on the 10× Genomics Chromium system and sequenced on the Illumina NovaSeq 6000 sequencer to generate 150 bp paired-end reads. | geo_accession=GSM6111846 | instrument_model=Illumina NovaSeq 6000 | last_update_date=Jan 12 2023 | library_selection=cDNA | library_source=transcriptomic single cell | library_strategy=RNA-Seq | molecule_ch1=total RNA | organism_ch1=Homo sapiens | platform_id=GPL24676 | relation=BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN28104904 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX15182492 | series_id=GSE202352 | source_name_ch1=hip | status=Public on Jan 11 2023 | submission_date=May 05 2022 | supplementary_file_1=ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6111nnn/GSM6111846/suppl/GSM6111846_Sample_721_Subject2_hip.filtered_feature_bc_matrix.tar.gz | taxid_ch1=9606 | title=Subject 2 Hip | type=SRA",TRUE,FALSE,TRUE,TRUE
"GSE202352","GSM6111847","Subject 2 Sole","sole","Homo sapiens","tissue: recombined epidermis + dermis | subject id: Subject 2","RNA-Seq","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6111nnn/GSM6111847/suppl/GSM6111847_Sample_721_Subject2_sole.filtered_feature_bc_matrix.tar.gz","channel_count=1 | characteristics_ch1=tissue: recombined epidermis + dermis | subject id: Subject 2 | contact_address=Sprague Hall | contact_city=Irvine | contact_country=USA | contact_email=wiedemaj@uci.edu | contact_institute=UCI | contact_name=Julie,,Wiedemann | contact_state=California | contact_zip/postal_code=92697 | data_processing=Raw sequencing data were demultiplexed and processed using Cellranger (10× Genomics version 3.0.2) using hg19 reference provided by 10× Genomics | Preliminary analysis and visualization of the single cell datasets were performed using Seurat. We performed integrated analysis of the 12 datasets from 3 sites, normalizing separately for each dataset, selected 2000 informative features, and performed integration using the FindIntegrationAnchors function. | Assembly: hg19 | Supplementary files format and content: TAR file containing Cell Ranger outputs for each dataset. Contains filtered feature-barcode matrix in MEX format and tsv files of cell barcodes and features | data_row_count=0 | extract_protocol_ch1=Generation of single-cell suspensions for scRNA-seq was performed as previously described (Gudjonsson et. al. (2020), JCI insight). Dermal and epidermal fractions were either combined or sequenced independently. | Libraries were constructed by the University of Michigan Advanced Genomics Core on the 10× Genomics Chromium system and sequenced on the Illumina NovaSeq 6000 sequencer to generate 150 bp paired-end reads. | geo_accession=GSM6111847 | instrument_model=Illumina NovaSeq 6000 | last_update_date=Jan 12 2023 | library_selection=cDNA | library_source=transcriptomic single cell | library_strategy=RNA-Seq | molecule_ch1=total RNA | organism_ch1=Homo sapiens | platform_id=GPL24676 | relation=BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN28104903 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX15182493 | series_id=GSE202352 | source_name_ch1=sole | status=Public on Jan 11 2023 | submission_date=May 05 2022 | supplementary_file_1=ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6111nnn/GSM6111847/suppl/GSM6111847_Sample_721_Subject2_sole.filtered_feature_bc_matrix.tar.gz | taxid_ch1=9606 | title=Subject 2 Sole | type=SRA",TRUE,FALSE,TRUE,TRUE
"GSE202352","GSM6111848","Subject 3 Hip Dermis","hip","Homo sapiens","tissue: dermis | subject id: Subject 3","RNA-Seq","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6111nnn/GSM6111848/suppl/GSM6111848_Sample_721_Subject3_hip_dermis.filtered_feature_bc_matrix.tar.gz","channel_count=1 | characteristics_ch1=tissue: dermis | subject id: Subject 3 | contact_address=Sprague Hall | contact_city=Irvine | contact_country=USA | contact_email=wiedemaj@uci.edu | contact_institute=UCI | contact_name=Julie,,Wiedemann | contact_state=California | contact_zip/postal_code=92697 | data_processing=Raw sequencing data were demultiplexed and processed using Cellranger (10× Genomics version 3.0.2) using hg19 reference provided by 10× Genomics | Preliminary analysis and visualization of the single cell datasets were performed using Seurat. We performed integrated analysis of the 12 datasets from 3 sites, normalizing separately for each dataset, selected 2000 informative features, and performed integration using the FindIntegrationAnchors function. | Assembly: hg19 | Supplementary files format and content: TAR file containing Cell Ranger outputs for each dataset. Contains filtered feature-barcode matrix in MEX format and tsv files of cell barcodes and features | data_row_count=0 | extract_protocol_ch1=Generation of single-cell suspensions for scRNA-seq was performed as previously described (Gudjonsson et. al. (2020), JCI insight). Dermal and epidermal fractions were either combined or sequenced independently. | Libraries were constructed by the University of Michigan Advanced Genomics Core on the 10× Genomics Chromium system and sequenced on the Illumina NovaSeq 6000 sequencer to generate 150 bp paired-end reads. | geo_accession=GSM6111848 | instrument_model=Illumina NovaSeq 6000 | last_update_date=Jan 12 2023 | library_selection=cDNA | library_source=transcriptomic single cell | library_strategy=RNA-Seq | molecule_ch1=total RNA | organism_ch1=Homo sapiens | platform_id=GPL24676 | relation=BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN28104902 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX15182494 | series_id=GSE202352 | source_name_ch1=hip | status=Public on Jan 11 2023 | submission_date=May 05 2022 | supplementary_file_1=ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6111nnn/GSM6111848/suppl/GSM6111848_Sample_721_Subject3_hip_dermis.filtered_feature_bc_matrix.tar.gz | taxid_ch1=9606 | title=Subject 3 Hip Dermis | type=SRA",TRUE,FALSE,TRUE,TRUE
"GSE202352","GSM6111849","Subject 3 Palm Dermis","palm","Homo sapiens","tissue: dermis | subject id: Subject 3","RNA-Seq","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6111nnn/GSM6111849/suppl/GSM6111849_Sample_721_Subject3_palm_dermis.filtered_feature_bc_matrix.tar.gz","channel_count=1 | characteristics_ch1=tissue: dermis | subject id: Subject 3 | contact_address=Sprague Hall | contact_city=Irvine | contact_country=USA | contact_email=wiedemaj@uci.edu | contact_institute=UCI | contact_name=Julie,,Wiedemann | contact_state=California | contact_zip/postal_code=92697 | data_processing=Raw sequencing data were demultiplexed and processed using Cellranger (10× Genomics version 3.0.2) using hg19 reference provided by 10× Genomics | Preliminary analysis and visualization of the single cell datasets were performed using Seurat. We performed integrated analysis of the 12 datasets from 3 sites, normalizing separately for each dataset, selected 2000 informative features, and performed integration using the FindIntegrationAnchors function. | Assembly: hg19 | Supplementary files format and content: TAR file containing Cell Ranger outputs for each dataset. Contains filtered feature-barcode matrix in MEX format and tsv files of cell barcodes and features | data_row_count=0 | extract_protocol_ch1=Generation of single-cell suspensions for scRNA-seq was performed as previously described (Gudjonsson et. al. (2020), JCI insight). Dermal and epidermal fractions were either combined or sequenced independently. | Libraries were constructed by the University of Michigan Advanced Genomics Core on the 10× Genomics Chromium system and sequenced on the Illumina NovaSeq 6000 sequencer to generate 150 bp paired-end reads. | geo_accession=GSM6111849 | instrument_model=Illumina NovaSeq 6000 | last_update_date=Jan 12 2023 | library_selection=cDNA | library_source=transcriptomic single cell | library_strategy=RNA-Seq | molecule_ch1=total RNA | organism_ch1=Homo sapiens | platform_id=GPL24676 | relation=BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN28104901 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX15182495 | series_id=GSE202352 | source_name_ch1=palm | status=Public on Jan 11 2023 | submission_date=May 05 2022 | supplementary_file_1=ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6111nnn/GSM6111849/suppl/GSM6111849_Sample_721_Subject3_palm_dermis.filtered_feature_bc_matrix.tar.gz | taxid_ch1=9606 | title=Subject 3 Palm Dermis | type=SRA",TRUE,FALSE,TRUE,TRUE
"GSE202352","GSM6111850","Subject 3 Hip Epidermis","hip","Homo sapiens","tissue: epidermis | subject id: Subject 3","RNA-Seq","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6111nnn/GSM6111850/suppl/GSM6111850_Sample_721_Subject3_hip_epi.filtered_feature_bc_matrix.tar.gz","channel_count=1 | characteristics_ch1=tissue: epidermis | subject id: Subject 3 | contact_address=Sprague Hall | contact_city=Irvine | contact_country=USA | contact_email=wiedemaj@uci.edu | contact_institute=UCI | contact_name=Julie,,Wiedemann | contact_state=California | contact_zip/postal_code=92697 | data_processing=Raw sequencing data were demultiplexed and processed using Cellranger (10× Genomics version 3.0.2) using hg19 reference provided by 10× Genomics | Preliminary analysis and visualization of the single cell datasets were performed using Seurat. We performed integrated analysis of the 12 datasets from 3 sites, normalizing separately for each dataset, selected 2000 informative features, and performed integration using the FindIntegrationAnchors function. | Assembly: hg19 | Supplementary files format and content: TAR file containing Cell Ranger outputs for each dataset. Contains filtered feature-barcode matrix in MEX format and tsv files of cell barcodes and features | data_row_count=0 | extract_protocol_ch1=Generation of single-cell suspensions for scRNA-seq was performed as previously described (Gudjonsson et. al. (2020), JCI insight). Dermal and epidermal fractions were either combined or sequenced independently. | Libraries were constructed by the University of Michigan Advanced Genomics Core on the 10× Genomics Chromium system and sequenced on the Illumina NovaSeq 6000 sequencer to generate 150 bp paired-end reads. | geo_accession=GSM6111850 | instrument_model=Illumina NovaSeq 6000 | last_update_date=Jan 12 2023 | library_selection=cDNA | library_source=transcriptomic single cell | library_strategy=RNA-Seq | molecule_ch1=total RNA | organism_ch1=Homo sapiens | platform_id=GPL24676 | relation=BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN28104900 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX15182496 | series_id=GSE202352 | source_name_ch1=hip | status=Public on Jan 11 2023 | submission_date=May 05 2022 | supplementary_file_1=ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6111nnn/GSM6111850/suppl/GSM6111850_Sample_721_Subject3_hip_epi.filtered_feature_bc_matrix.tar.gz | taxid_ch1=9606 | title=Subject 3 Hip Epidermis | type=SRA",TRUE,FALSE,TRUE,TRUE
"GSE202352","GSM6111851","Subject 3 Palm Epidermis","palm","Homo sapiens","tissue: epidermis | subject id: Subject 3","RNA-Seq","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6111nnn/GSM6111851/suppl/GSM6111851_Sample_721_Subject3_palm_epi.filtered_feature_bc_matrix.tar.gz","channel_count=1 | characteristics_ch1=tissue: epidermis | subject id: Subject 3 | contact_address=Sprague Hall | contact_city=Irvine | contact_country=USA | contact_email=wiedemaj@uci.edu | contact_institute=UCI | contact_name=Julie,,Wiedemann | contact_state=California | contact_zip/postal_code=92697 | data_processing=Raw sequencing data were demultiplexed and processed using Cellranger (10× Genomics version 3.0.2) using hg19 reference provided by 10× Genomics | Preliminary analysis and visualization of the single cell datasets were performed using Seurat. We performed integrated analysis of the 12 datasets from 3 sites, normalizing separately for each dataset, selected 2000 informative features, and performed integration using the FindIntegrationAnchors function. | Assembly: hg19 | Supplementary files format and content: TAR file containing Cell Ranger outputs for each dataset. Contains filtered feature-barcode matrix in MEX format and tsv files of cell barcodes and features | data_row_count=0 | extract_protocol_ch1=Generation of single-cell suspensions for scRNA-seq was performed as previously described (Gudjonsson et. al. (2020), JCI insight). Dermal and epidermal fractions were either combined or sequenced independently. | Libraries were constructed by the University of Michigan Advanced Genomics Core on the 10× Genomics Chromium system and sequenced on the Illumina NovaSeq 6000 sequencer to generate 150 bp paired-end reads. | geo_accession=GSM6111851 | instrument_model=Illumina NovaSeq 6000 | last_update_date=Jan 12 2023 | library_selection=cDNA | library_source=transcriptomic single cell | library_strategy=RNA-Seq | molecule_ch1=total RNA | organism_ch1=Homo sapiens | platform_id=GPL24676 | relation=BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN28104899 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX15182497 | series_id=GSE202352 | source_name_ch1=palm | status=Public on Jan 11 2023 | submission_date=May 05 2022 | supplementary_file_1=ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6111nnn/GSM6111851/suppl/GSM6111851_Sample_721_Subject3_palm_epi.filtered_feature_bc_matrix.tar.gz | taxid_ch1=9606 | title=Subject 3 Palm Epidermis | type=SRA",TRUE,FALSE,TRUE,TRUE
"GSE202352","GSM6111852","Subject 4 Hip Dermis","hip","Homo sapiens","tissue: dermis | subject id: Subject 4","RNA-Seq","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6111nnn/GSM6111852/suppl/GSM6111852_Sample_721_Subject4_hip_dermis.filtered_feature_bc_matrix.tar.gz","channel_count=1 | characteristics_ch1=tissue: dermis | subject id: Subject 4 | contact_address=Sprague Hall | contact_city=Irvine | contact_country=USA | contact_email=wiedemaj@uci.edu | contact_institute=UCI | contact_name=Julie,,Wiedemann | contact_state=California | contact_zip/postal_code=92697 | data_processing=Raw sequencing data were demultiplexed and processed using Cellranger (10× Genomics version 3.0.2) using hg19 reference provided by 10× Genomics | Preliminary analysis and visualization of the single cell datasets were performed using Seurat. We performed integrated analysis of the 12 datasets from 3 sites, normalizing separately for each dataset, selected 2000 informative features, and performed integration using the FindIntegrationAnchors function. | Assembly: hg19 | Supplementary files format and content: TAR file containing Cell Ranger outputs for each dataset. Contains filtered feature-barcode matrix in MEX format and tsv files of cell barcodes and features | data_row_count=0 | extract_protocol_ch1=Generation of single-cell suspensions for scRNA-seq was performed as previously described (Gudjonsson et. al. (2020), JCI insight). Dermal and epidermal fractions were either combined or sequenced independently. | Libraries were constructed by the University of Michigan Advanced Genomics Core on the 10× Genomics Chromium system and sequenced on the Illumina NovaSeq 6000 sequencer to generate 150 bp paired-end reads. | geo_accession=GSM6111852 | instrument_model=Illumina NovaSeq 6000 | last_update_date=Jan 12 2023 | library_selection=cDNA | library_source=transcriptomic single cell | library_strategy=RNA-Seq | molecule_ch1=total RNA | organism_ch1=Homo sapiens | platform_id=GPL24676 | relation=BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN28104898 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX15182498 | series_id=GSE202352 | source_name_ch1=hip | status=Public on Jan 11 2023 | submission_date=May 05 2022 | supplementary_file_1=ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6111nnn/GSM6111852/suppl/GSM6111852_Sample_721_Subject4_hip_dermis.filtered_feature_bc_matrix.tar.gz | taxid_ch1=9606 | title=Subject 4 Hip Dermis | type=SRA",TRUE,FALSE,TRUE,TRUE
"GSE202352","GSM6111853","Subject 4 Palm Dermis","palm","Homo sapiens","tissue: dermis | subject id: Subject 4","RNA-Seq","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6111nnn/GSM6111853/suppl/GSM6111853_Sample_721_Subject4_palm_dermis.filtered_feature_bc_matrix.tar.gz","channel_count=1 | characteristics_ch1=tissue: dermis | subject id: Subject 4 | contact_address=Sprague Hall | contact_city=Irvine | contact_country=USA | contact_email=wiedemaj@uci.edu | contact_institute=UCI | contact_name=Julie,,Wiedemann | contact_state=California | contact_zip/postal_code=92697 | data_processing=Raw sequencing data were demultiplexed and processed using Cellranger (10× Genomics version 3.0.2) using hg19 reference provided by 10× Genomics | Preliminary analysis and visualization of the single cell datasets were performed using Seurat. We performed integrated analysis of the 12 datasets from 3 sites, normalizing separately for each dataset, selected 2000 informative features, and performed integration using the FindIntegrationAnchors function. | Assembly: hg19 | Supplementary files format and content: TAR file containing Cell Ranger outputs for each dataset. Contains filtered feature-barcode matrix in MEX format and tsv files of cell barcodes and features | data_row_count=0 | extract_protocol_ch1=Generation of single-cell suspensions for scRNA-seq was performed as previously described (Gudjonsson et. al. (2020), JCI insight). Dermal and epidermal fractions were either combined or sequenced independently. | Libraries were constructed by the University of Michigan Advanced Genomics Core on the 10× Genomics Chromium system and sequenced on the Illumina NovaSeq 6000 sequencer to generate 150 bp paired-end reads. | geo_accession=GSM6111853 | instrument_model=Illumina NovaSeq 6000 | last_update_date=Jan 12 2023 | library_selection=cDNA | library_source=transcriptomic single cell | library_strategy=RNA-Seq | molecule_ch1=total RNA | organism_ch1=Homo sapiens | platform_id=GPL24676 | relation=BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN28104897 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX15182499 | series_id=GSE202352 | source_name_ch1=palm | status=Public on Jan 11 2023 | submission_date=May 05 2022 | supplementary_file_1=ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6111nnn/GSM6111853/suppl/GSM6111853_Sample_721_Subject4_palm_dermis.filtered_feature_bc_matrix.tar.gz | taxid_ch1=9606 | title=Subject 4 Palm Dermis | type=SRA",TRUE,FALSE,TRUE,TRUE
