"source_accession","filename","direct_url","is_metadata_or_document","download_status","next_action"
"GSE175817","GSE175817_meta_donorlesional.csv.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE175nnn/GSE175817/suppl/GSE175817_meta_donorlesional.csv.gz",FALSE,"not_downloaded_metadata_only","metadata_or_small_matrix_review"
"GSE175817","GSE175817_meta_endothelial.csv.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE175nnn/GSE175817/suppl/GSE175817_meta_endothelial.csv.gz",FALSE,"not_downloaded_metadata_only","metadata_or_small_matrix_review"
"GSE175817","GSE175817_meta_fibroblast.csv.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE175nnn/GSE175817/suppl/GSE175817_meta_fibroblast.csv.gz",FALSE,"not_downloaded_metadata_only","metadata_or_small_matrix_review"
"GSE175817","GSE175817_meta_keratinocyte.csv.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE175nnn/GSE175817/suppl/GSE175817_meta_keratinocyte.csv.gz",FALSE,"not_downloaded_metadata_only","metadata_or_small_matrix_review"
"GSE175817","GSE175817_meta_lymphocyte.csv.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE175nnn/GSE175817/suppl/GSE175817_meta_lymphocyte.csv.gz",FALSE,"not_downloaded_metadata_only","metadata_or_small_matrix_review"
"GSE175817","GSE175817_meta_myeloid.csv.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE175nnn/GSE175817/suppl/GSE175817_meta_myeloid.csv.gz",FALSE,"not_downloaded_metadata_only","metadata_or_small_matrix_review"
"GSE175817","filelist.txt","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE175nnn/GSE175817/suppl/filelist.txt",FALSE,"not_downloaded_metadata_only","metadata_or_small_matrix_review"
"GSE130973","GSE130973_barcodes_filtered.tsv.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE130nnn/GSE130973/suppl/GSE130973_barcodes_filtered.tsv.gz",FALSE,"not_downloaded_metadata_only","metadata_or_small_matrix_review"
"GSE130973","GSE130973_genes_filtered.tsv.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE130nnn/GSE130973/suppl/GSE130973_genes_filtered.tsv.gz",FALSE,"not_downloaded_metadata_only","metadata_or_small_matrix_review"
"GSE130973","GSE130973_matrix_filtered.mtx.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE130nnn/GSE130973/suppl/GSE130973_matrix_filtered.mtx.gz",FALSE,"not_downloaded_metadata_only","manual_object_format_audit_before_download"
"GSE130973","GSE130973_seurat_analysis_lyko.rds.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE130nnn/GSE130973/suppl/GSE130973_seurat_analysis_lyko.rds.gz",FALSE,"not_downloaded_metadata_only","manual_object_format_audit_before_download"
"GSE202352","filelist.txt","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE202nnn/GSE202352/suppl/filelist.txt",FALSE,"not_downloaded_metadata_only","metadata_or_small_matrix_review"
"GSE228421","filelist.txt","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE228nnn/GSE228421/suppl/filelist.txt",FALSE,"not_downloaded_metadata_only","metadata_or_small_matrix_review"
"GSE138669","filelist.txt","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE138nnn/GSE138669/suppl/filelist.txt",FALSE,"not_downloaded_metadata_only","metadata_or_small_matrix_review"
