"source_accession","filename","direct_url","is_processed_object","is_raw_archive","is_metadata_or_document"
"GSE175817","GSE175817_RAW.tar","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE175nnn/GSE175817/suppl/GSE175817_RAW.tar",TRUE,TRUE,FALSE
"GSE175817","GSE175817_meta_donorlesional.csv.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE175nnn/GSE175817/suppl/GSE175817_meta_donorlesional.csv.gz",TRUE,FALSE,FALSE
"GSE175817","GSE175817_meta_endothelial.csv.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE175nnn/GSE175817/suppl/GSE175817_meta_endothelial.csv.gz",TRUE,FALSE,FALSE
"GSE175817","GSE175817_meta_fibroblast.csv.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE175nnn/GSE175817/suppl/GSE175817_meta_fibroblast.csv.gz",TRUE,FALSE,FALSE
"GSE175817","GSE175817_meta_keratinocyte.csv.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE175nnn/GSE175817/suppl/GSE175817_meta_keratinocyte.csv.gz",TRUE,FALSE,FALSE
"GSE175817","GSE175817_meta_lymphocyte.csv.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE175nnn/GSE175817/suppl/GSE175817_meta_lymphocyte.csv.gz",TRUE,FALSE,FALSE
"GSE175817","GSE175817_meta_myeloid.csv.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE175nnn/GSE175817/suppl/GSE175817_meta_myeloid.csv.gz",TRUE,FALSE,FALSE
"GSE175817","filelist.txt","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE175nnn/GSE175817/suppl/filelist.txt",TRUE,FALSE,FALSE
"GSE175817","https://www.hhs.gov/vulnerability-disclosure-policy/index.html","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE175nnn/GSE175817/suppl/https://www.hhs.gov/vulnerability-disclosure-policy/index.html",FALSE,FALSE,FALSE
"GSE130973","GSE130973_barcodes_filtered.tsv.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE130nnn/GSE130973/suppl/GSE130973_barcodes_filtered.tsv.gz",TRUE,FALSE,FALSE
"GSE130973","GSE130973_barcodes_raw.tsv.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE130nnn/GSE130973/suppl/GSE130973_barcodes_raw.tsv.gz",TRUE,TRUE,FALSE
"GSE130973","GSE130973_genes_filtered.tsv.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE130nnn/GSE130973/suppl/GSE130973_genes_filtered.tsv.gz",TRUE,FALSE,FALSE
"GSE130973","GSE130973_genes_raw.tsv.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE130nnn/GSE130973/suppl/GSE130973_genes_raw.tsv.gz",TRUE,TRUE,FALSE
"GSE130973","GSE130973_matrix_filtered.mtx.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE130nnn/GSE130973/suppl/GSE130973_matrix_filtered.mtx.gz",TRUE,FALSE,FALSE
"GSE130973","GSE130973_matrix_raw.mtx.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE130nnn/GSE130973/suppl/GSE130973_matrix_raw.mtx.gz",TRUE,TRUE,FALSE
"GSE130973","GSE130973_seurat_analysis_lyko.rds.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE130nnn/GSE130973/suppl/GSE130973_seurat_analysis_lyko.rds.gz",TRUE,FALSE,FALSE
"GSE130973","https://www.hhs.gov/vulnerability-disclosure-policy/index.html","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE130nnn/GSE130973/suppl/https://www.hhs.gov/vulnerability-disclosure-policy/index.html",FALSE,FALSE,FALSE
"GSE202352","GSE202352_RAW.tar","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE202nnn/GSE202352/suppl/GSE202352_RAW.tar",TRUE,TRUE,FALSE
"GSE202352","filelist.txt","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE202nnn/GSE202352/suppl/filelist.txt",TRUE,FALSE,FALSE
"GSE202352","https://www.hhs.gov/vulnerability-disclosure-policy/index.html","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE202nnn/GSE202352/suppl/https://www.hhs.gov/vulnerability-disclosure-policy/index.html",FALSE,FALSE,FALSE
"GSE228421","GSE228421_RAW.tar","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE228nnn/GSE228421/suppl/GSE228421_RAW.tar",TRUE,TRUE,FALSE
"GSE228421","filelist.txt","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE228nnn/GSE228421/suppl/filelist.txt",TRUE,FALSE,FALSE
"GSE228421","https://www.hhs.gov/vulnerability-disclosure-policy/index.html","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE228nnn/GSE228421/suppl/https://www.hhs.gov/vulnerability-disclosure-policy/index.html",FALSE,FALSE,FALSE
"GSE138669","GSE138669_RAW.tar","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE138nnn/GSE138669/suppl/GSE138669_RAW.tar",TRUE,TRUE,FALSE
"GSE138669","filelist.txt","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE138nnn/GSE138669/suppl/filelist.txt",TRUE,FALSE,FALSE
"GSE138669","https://www.hhs.gov/vulnerability-disclosure-policy/index.html","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE138nnn/GSE138669/suppl/https://www.hhs.gov/vulnerability-disclosure-policy/index.html",FALSE,FALSE,FALSE
