"gene","present_in_RNA_data"
"COL1A1",TRUE
"COL1A2",TRUE
"COL3A1",TRUE
"DCN",TRUE
"LUM",TRUE
"COL6A1",TRUE
"COL6A2",TRUE
"COL6A3",TRUE
"PDGFRA",TRUE
"FAP",TRUE
"DPT",TRUE
"CFD",TRUE
"COL5A1",TRUE
"COL5A2",TRUE
"COL14A1",TRUE
"C7",TRUE
"ACTA2",TRUE
"TAGLN",TRUE
"MYL9",TRUE
"CNN1",TRUE
"POSTN",TRUE
"CTHRC1",TRUE
"LRRC15",TRUE
"SFRP4",TRUE
"PTPRC",TRUE
"CD3D",TRUE
"CD3E",TRUE
"LST1",TRUE
"LYZ",TRUE
"KRT14",TRUE
"KRT5",TRUE
"EPCAM",TRUE
"PECAM1",FALSE
"VWF",TRUE
"ITGAV",TRUE
"ITGB1",TRUE
"ITGA2",TRUE
"PARVA",TRUE
"ITGA5",TRUE
"FERMT2",TRUE
"CFL1",TRUE
"LIMK1",TRUE
"CNN2",TRUE
"CDC42",TRUE
"PIEZO2",TRUE
"TMEM63B",TRUE
"PANX1",TRUE
"NF2",TRUE
"TEAD1",TRUE
