"cluster_id","cells","subjects_present","age_labels","fibroblast_marker_mean","myofibroblast_context_mean","excluded_lineage_marker_mean","mechanotransduction_candidate_mean","fibroblast_markers_present","fibroblast_rank"
"9",594,5,"YOUNG;OLD",1.96361066888924,0.482786152275526,0.189763180984014,0.443959354436963,"COL1A1;COL1A2;COL3A1;DCN;LUM;COL6A1;COL6A2;COL6A3;PDGFRA;FAP;DPT;CFD;COL5A1;COL5A2;COL14A1;C7",1
"1",1886,5,"YOUNG;OLD",1.94646946898521,0.376522772252293,0.24469492702865,0.373400623996606,"COL1A1;COL1A2;COL3A1;DCN;LUM;COL6A1;COL6A2;COL6A3;PDGFRA;FAP;DPT;CFD;COL5A1;COL5A2;COL14A1;C7",2
"3",1675,5,"YOUNG;OLD",1.62241595582524,0.202811907744002,0.256646504079522,0.372503348251288,"COL1A1;COL1A2;COL3A1;DCN;LUM;COL6A1;COL6A2;COL6A3;PDGFRA;FAP;DPT;CFD;COL5A1;COL5A2;COL14A1;C7",3
"2",1793,5,"YOUNG;OLD",1.31137444071079,0.190646403364381,0.270940706573587,0.340497257809345,"COL1A1;COL1A2;COL3A1;DCN;LUM;COL6A1;COL6A2;COL6A3;PDGFRA;FAP;DPT;CFD;COL5A1;COL5A2;COL14A1;C7",4
"10",498,5,"YOUNG;OLD",0.745410772954058,0.875302934487563,0.264727562018747,0.380046751472728,"COL1A1;COL1A2;COL3A1;DCN;LUM;COL6A1;COL6A2;COL6A3;PDGFRA;FAP;DPT;CFD;COL5A1;COL5A2;COL14A1;C7",5
"13",227,5,"YOUNG;OLD",0.715761199412445,0.12454770901402,0.646095998525195,0.343354088366349,"COL1A1;COL1A2;COL3A1;DCN;LUM;COL6A1;COL6A2;COL6A3;PDGFRA;FAP;DPT;CFD;COL5A1;COL5A2;COL14A1;C7",6
"15",118,5,"YOUNG;OLD",0.497001908884808,0.156896711491945,0.926356604197685,0.48491682731356,"COL1A1;COL1A2;COL3A1;DCN;LUM;COL6A1;COL6A2;COL6A3;PDGFRA;FAP;DPT;CFD;COL5A1;COL5A2;COL14A1;C7",7
"14",123,5,"YOUNG;OLD",0.462148914530871,0.165602529616828,0.548344117676911,0.498712232109987,"COL1A1;COL1A2;COL3A1;DCN;LUM;COL6A1;COL6A2;COL6A3;PDGFRA;FAP;DPT;CFD;COL5A1;COL5A2;COL14A1;C7",8
"12",294,5,"YOUNG;OLD",0.42633695541823,0.213680415656602,0.391909741726776,0.425883993948984,"COL1A1;COL1A2;COL3A1;DCN;LUM;COL6A1;COL6A2;COL6A3;PDGFRA;FAP;DPT;CFD;COL5A1;COL5A2;COL14A1;C7",9
"16",71,5,"YOUNG;OLD",0.389873928139863,0.0798932851256549,0.865925086704092,0.386938603876269,"COL1A1;COL1A2;COL3A1;DCN;LUM;COL6A1;COL6A2;COL6A3;PDGFRA;FAP;DPT;CFD;COL5A1;COL5A2;COL14A1;C7",10
"8",722,5,"YOUNG;OLD",0.388524815708842,1.38938471925033,0.262903421860222,0.362251149531907,"COL1A1;COL1A2;COL3A1;DCN;LUM;COL6A1;COL6A2;COL6A3;PDGFRA;FAP;DPT;CFD;COL5A1;COL5A2;COL14A1;C7",11
"7",1069,5,"YOUNG;OLD",0.386913046369176,0.187352431774611,1.07692559100455,0.488246174494664,"COL1A1;COL1A2;COL3A1;DCN;LUM;COL6A1;COL6A2;COL6A3;PDGFRA;FAP;DPT;CFD;COL5A1;COL5A2;COL14A1;C7",12
"4",1467,5,"YOUNG;OLD",0.368992908741407,0.191070366704186,0.388231670976947,0.383969755019822,"COL1A1;COL1A2;COL3A1;DCN;LUM;COL6A1;COL6A2;COL6A3;PDGFRA;FAP;DPT;CFD;COL5A1;COL5A2;COL14A1;C7",13
"5",1399,5,"YOUNG;OLD",0.360709861221477,0.0899198156402022,0.631846685467741,0.342307644561106,"COL1A1;COL1A2;COL3A1;DCN;LUM;COL6A1;COL6A2;COL6A3;PDGFRA;FAP;DPT;CFD;COL5A1;COL5A2;COL14A1;C7",14
"0",1930,5,"YOUNG;OLD",0.322111049923053,0.0774049766135757,0.812763769347565,0.318112484825102,"COL1A1;COL1A2;COL3A1;DCN;LUM;COL6A1;COL6A2;COL6A3;PDGFRA;FAP;DPT;CFD;COL5A1;COL5A2;COL14A1;C7",15
"6",1281,5,"YOUNG;OLD",0.26685353215364,0.0795182885162708,0.638653189222643,0.337570740213513,"COL1A1;COL1A2;COL3A1;DCN;LUM;COL6A1;COL6A2;COL6A3;PDGFRA;FAP;DPT;CFD;COL5A1;COL5A2;COL14A1;C7",16
"11",310,5,"YOUNG;OLD",0.152099393648274,0.069771695349631,0.128606923390834,0.0471815360888672,"COL1A1;COL1A2;COL3A1;DCN;LUM;COL6A1;COL6A2;COL6A3;PDGFRA;FAP;DPT;CFD;COL5A1;COL5A2;COL14A1;C7",17
