"sample_id","comparison_group","gene","cells","mean_expression","percent_cells_expressing"
"S1","candidate_fibroblast_state","PIEZO1",1042,0.0766772825515097,5.56621880998081
"S1","candidate_fibroblast_state","PIEZO2",1042,0.046153140112866,3.55086372360845
"S1","candidate_fibroblast_state","TRPV4",1042,0.00707734771329397,0.479846449136276
"S1","candidate_fibroblast_state","TRPA1",1042,0,0
"S1","candidate_fibroblast_state","TRPC1",1042,0.0218669472396626,1.53550863723608
"S1","candidate_fibroblast_state","TRPC3",1042,0.00164107902699352,0.0959692898272553
"S1","candidate_fibroblast_state","TRPC6",1042,0.03327622207563,2.20729366602687
"S1","candidate_fibroblast_state","ASIC1",1042,0.00544094232355412,0.383877159309021
"S1","candidate_fibroblast_state","ASIC2",1042,0.00376005275744664,0.287907869481766
"S1","candidate_fibroblast_state","ASIC3",1042,0.00233837309328002,0.191938579654511
"S1","candidate_fibroblast_state","KCNK2",1042,0.0603329931986986,4.31861804222649
"S1","candidate_fibroblast_state","KCNK4",1042,0.0111827889389235,0.863723608445297
"S1","candidate_fibroblast_state","PKD1",1042,0.212972588270491,15.0671785028791
"S1","candidate_fibroblast_state","PKD2",1042,0.100029535122155,7.38963531669866
"S1","candidate_fibroblast_state","TMEM63A",1042,0.0404410822249738,2.97504798464491
"S1","candidate_fibroblast_state","TMEM63B",1042,0.0443653810969228,3.35892514395394
"S1","candidate_fibroblast_state","TMEM150C",1042,0.0391134044216419,2.68714011516315
"S1","candidate_fibroblast_state","PANX1",1042,0.126808751146111,9.11708253358925
"S1","candidate_fibroblast_state","P2RX4",1042,0.0513936276585356,3.83877159309021
"S1","candidate_fibroblast_state","P2RX7",1042,0.00752722943452604,0.575815738963532
"S1","candidate_fibroblast_state","ITGA1",1042,0.0896887398293501,6.33397312859885
"S1","candidate_fibroblast_state","ITGA2",1042,0.00857932681269213,0.671785028790787
"S1","candidate_fibroblast_state","ITGA5",1042,0.295272249771068,20.6333973128599
"S1","candidate_fibroblast_state","ITGA6",1042,0.0284423743034224,2.20729366602687
"S1","candidate_fibroblast_state","ITGA8",1042,0.0301366497192711,2.11132437619962
"S1","candidate_fibroblast_state","ITGA11",1042,0.0618900234557954,4.22264875239923
"S1","candidate_fibroblast_state","ITGAV",1042,0.268208131977517,18.7140115163148
"S1","candidate_fibroblast_state","ITGB1",1042,1.02549961231815,60.4606525911708
"S1","candidate_fibroblast_state","ITGB3",1042,0.00828052366802648,0.671785028790787
"S1","candidate_fibroblast_state","ITGB5",1042,0.307127027285082,21.2092130518234
"S1","candidate_fibroblast_state","PTK2",1042,0.207858834787591,13.6276391554703
"S1","candidate_fibroblast_state","SRC",1042,0.058957343055588,4.510556621881
"S1","candidate_fibroblast_state","FYN",1042,0.32240665632877,21.7850287907869
"S1","candidate_fibroblast_state","PXN",1042,0.0925807555173245,6.81381957773513
"S1","candidate_fibroblast_state","VCL",1042,0.327548559811447,22.6487523992322
"S1","candidate_fibroblast_state","TLN1",1042,0.262859894261916,18.5220729366603
"S1","candidate_fibroblast_state","TLN2",1042,0.0610069953383678,4.510556621881
"S1","candidate_fibroblast_state","FERMT2",1042,0.411108856821219,28.1190019193858
"S1","candidate_fibroblast_state","ILK",1042,0.402366542134666,27.7351247600768
"S1","candidate_fibroblast_state","PARVA",1042,0.218204885882865,15.7389635316699
"S1","candidate_fibroblast_state","BCAR1",1042,0.125862703174277,9.021113243762
"S1","candidate_fibroblast_state","CAV1",1042,1.21415293290801,61.4203454894434
"S1","candidate_fibroblast_state","DAG1",1042,0.0985805954506593,7.2936660268714
"S1","candidate_fibroblast_state","YAP1",1042,0.281685951428813,19.6737044145873
"S1","candidate_fibroblast_state","WWTR1",1042,0.447382418864871,29.8464491362764
"S1","candidate_fibroblast_state","TEAD1",1042,0.208379869624298,15.0671785028791
"S1","candidate_fibroblast_state","TEAD2",1042,0.086540828859762,6.62188099808061
"S1","candidate_fibroblast_state","TEAD3",1042,0.0733768291797308,5.08637236084453
"S1","candidate_fibroblast_state","TEAD4",1042,0.026002228198364,2.11132437619962
"S1","candidate_fibroblast_state","LATS1",1042,0.037661633698204,2.87907869481766
"S1","candidate_fibroblast_state","LATS2",1042,0.201116276430363,14.3953934740883
"S1","candidate_fibroblast_state","STK3",1042,0.174785737774349,12.6679462571977
"S1","candidate_fibroblast_state","STK4",1042,0.14326645449222,10.3646833013436
"S1","candidate_fibroblast_state","SAV1",1042,0.343637282473248,23.1285988483685
"S1","candidate_fibroblast_state","NF2",1042,0.0547600974704869,4.12667946257198
"S1","candidate_fibroblast_state","AMOTL1",1042,0.172845045934998,12.5719769673704
"S1","candidate_fibroblast_state","AMOTL2",1042,0.191333907767723,13.147792706334
"S1","candidate_fibroblast_state","AJUBA",1042,0.0358937019276448,2.49520153550864
"S1","candidate_fibroblast_state","CTGF",1042,0.760819285442182,39.9232245681382
"S1","candidate_fibroblast_state","CYR61",1042,1.53182355675891,64.2034548944338
"S1","candidate_fibroblast_state","AREG",1042,0.00372677197235385,0.287907869481766
"S1","candidate_fibroblast_state","RHOA",1042,1.07802040069729,62.2840690978887
"S1","candidate_fibroblast_state","RHOB",1042,0.634092201500329,38.6756238003839
"S1","candidate_fibroblast_state","RAC1",1042,1.22734167276473,68.809980806142
"S1","candidate_fibroblast_state","CDC42",1042,0.963936132729162,56.4299424184261
"S1","candidate_fibroblast_state","ROCK1",1042,0.299214673797393,20.9213051823417
"S1","candidate_fibroblast_state","ROCK2",1042,0.179634689128805,13.531669865643
"S1","candidate_fibroblast_state","MYLK",1042,0.258994138907652,16.7946257197697
"S1","candidate_fibroblast_state","MYL9",1042,0.919726309096274,48.2725527831094
"S1","candidate_fibroblast_state","ACTA2",1042,0.390349755522288,20.6333973128599
"S1","candidate_fibroblast_state","TAGLN",1042,0.679500328655175,31.573896353167
"S1","candidate_fibroblast_state","CNN1",1042,0.0416954778548311,2.97504798464491
"S1","candidate_fibroblast_state","CNN2",1042,0.243951637526582,17.7543186180422
"S1","candidate_fibroblast_state","CFL1",1042,1.77434240563516,85.0287907869482
"S1","candidate_fibroblast_state","PFN1",1042,1.78331161015491,83.9731285988484
"S1","candidate_fibroblast_state","TPM1",1042,0.965499915726637,54.2226487523992
"S1","candidate_fibroblast_state","TPM2",1042,0.604701865071027,35.2207293666027
"S1","candidate_fibroblast_state","FLNA",1042,0.697247703375226,43.9539347408829
"S1","candidate_fibroblast_state","GSN",1042,3.3349832271977,96.7370441458733
"S1","candidate_fibroblast_state","DIAPH1",1042,0.148012299236545,11.0364683301344
"S1","candidate_fibroblast_state","LIMK1",1042,0.0327561148380519,2.49520153550864
"S1","candidate_fibroblast_state","COL1A1",1042,2.76227978608145,90.21113243762
"S1","candidate_fibroblast_state","COL1A2",1042,2.99677124520884,93.6660268714012
"S1","candidate_fibroblast_state","COL3A1",1042,2.47916533632826,86.1804222648752
"S1","candidate_fibroblast_state","COL5A1",1042,0.514235730232168,32.6295585412668
"S1","candidate_fibroblast_state","COL5A2",1042,0.615662515681713,36.6602687140115
"S1","candidate_fibroblast_state","COL6A1",1042,2.04150659575357,85.1247600767754
"S1","candidate_fibroblast_state","COL6A2",1042,2.68971853112243,93.8579654510557
