"gene","module","role","filename","identifier_type","matched_symbol","present","audit_error","step10B_role"
"PIEZO2","mechanosensor_channels","primary","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","PIEZO2",TRUE,"","mechanosensor_specificity_candidate"
"PIEZO2","mechanosensor_channels","primary","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","PIEZO2",TRUE,"","mechanosensor_specificity_candidate"
"TMEM63B","mechanosensor_channels","primary","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","TMEM63B",TRUE,"","mechanosensor_specificity_candidate"
"TMEM63B","mechanosensor_channels","primary","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","TMEM63B",TRUE,"","mechanosensor_specificity_candidate"
"PANX1","mechanosensor_channels","primary","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","PANX1",TRUE,"","mechanosensor_specificity_candidate"
"PANX1","mechanosensor_channels","primary","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","PANX1",TRUE,"","mechanosensor_specificity_candidate"
"ITGA2","integrin_focal_adhesion","primary","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","ITGA2",TRUE,"","negative_candidate"
"ITGA2","integrin_focal_adhesion","primary","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","ITGA2",TRUE,"","negative_candidate"
"ITGA5","integrin_focal_adhesion","primary","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","ITGA5",TRUE,"","confirmatory_candidate"
"ITGA5","integrin_focal_adhesion","primary","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","ITGA5",TRUE,"","confirmatory_candidate"
"ITGAV","integrin_focal_adhesion","primary","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","ITGAV",TRUE,"","confirmatory_candidate"
"ITGAV","integrin_focal_adhesion","primary","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","ITGAV",TRUE,"","confirmatory_candidate"
"ITGB1","integrin_focal_adhesion","primary","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","ITGB1",TRUE,"","confirmatory_candidate"
"ITGB1","integrin_focal_adhesion","primary","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","ITGB1",TRUE,"","confirmatory_candidate"
"FERMT2","integrin_focal_adhesion","primary","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","FERMT2",TRUE,"","confirmatory_candidate"
"FERMT2","integrin_focal_adhesion","primary","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","FERMT2",TRUE,"","confirmatory_candidate"
"PARVA","integrin_focal_adhesion","primary","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","PARVA",TRUE,"","confirmatory_candidate"
"PARVA","integrin_focal_adhesion","primary","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","PARVA",TRUE,"","confirmatory_candidate"
"TEAD1","hippo_yap_taz","primary","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","TEAD1",TRUE,"","downstream_mechanotransduction_candidate"
"TEAD1","hippo_yap_taz","primary","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","TEAD1",TRUE,"","downstream_mechanotransduction_candidate"
"NF2","hippo_yap_taz","primary","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","NF2",TRUE,"","downstream_mechanotransduction_candidate"
"NF2","hippo_yap_taz","primary","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","NF2",TRUE,"","downstream_mechanotransduction_candidate"
"CDC42","actomyosin_rho","primary","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","CDC42",TRUE,"","confirmatory_candidate"
"CDC42","actomyosin_rho","primary","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","CDC42",TRUE,"","confirmatory_candidate"
"CNN2","actomyosin_rho","primary","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","CNN2",TRUE,"","confirmatory_candidate"
"CNN2","actomyosin_rho","primary","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","CNN2",TRUE,"","confirmatory_candidate"
"CFL1","actomyosin_rho","primary","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","CFL1",TRUE,"","confirmatory_candidate"
"CFL1","actomyosin_rho","primary","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","CFL1",TRUE,"","confirmatory_candidate"
"LIMK1","actomyosin_rho","primary","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","LIMK1",TRUE,"","confirmatory_candidate"
"LIMK1","actomyosin_rho","primary","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","LIMK1",TRUE,"","confirmatory_candidate"
