"filename","module","role","genes_expected","genes_present","coverage_fraction","identifier_type"
"GSE300230_raw_counts_tension.csv.gz","actomyosin_rho","primary",20,20,1,"gene_symbol_or_mixed"
"GSE300230_raw_counts_tensionTGFb.csv.gz","actomyosin_rho","primary",20,20,1,"gene_symbol_or_mixed"
"GSE300230_raw_counts_tension.csv.gz","cell_cycle","competitor",18,18,1,"gene_symbol_or_mixed"
"GSE300230_raw_counts_tensionTGFb.csv.gz","cell_cycle","competitor",18,18,1,"gene_symbol_or_mixed"
"GSE300230_raw_counts_tension.csv.gz","ecm_remodeling","competitor",23,23,1,"gene_symbol_or_mixed"
"GSE300230_raw_counts_tensionTGFb.csv.gz","ecm_remodeling","competitor",23,23,1,"gene_symbol_or_mixed"
"GSE300230_raw_counts_tension.csv.gz","hippo_yap_taz","primary",19,19,1,"gene_symbol_or_mixed"
"GSE300230_raw_counts_tensionTGFb.csv.gz","hippo_yap_taz","primary",19,19,1,"gene_symbol_or_mixed"
"GSE300230_raw_counts_tension.csv.gz","hypoxia","competitor",18,18,1,"gene_symbol_or_mixed"
"GSE300230_raw_counts_tensionTGFb.csv.gz","hypoxia","competitor",18,18,1,"gene_symbol_or_mixed"
"GSE300230_raw_counts_tension.csv.gz","inflammation_ap1_nfkb","competitor",21,21,1,"gene_symbol_or_mixed"
"GSE300230_raw_counts_tensionTGFb.csv.gz","inflammation_ap1_nfkb","competitor",21,21,1,"gene_symbol_or_mixed"
"GSE300230_raw_counts_tension.csv.gz","integrin_focal_adhesion","primary",23,23,1,"gene_symbol_or_mixed"
"GSE300230_raw_counts_tensionTGFb.csv.gz","integrin_focal_adhesion","primary",23,23,1,"gene_symbol_or_mixed"
"GSE300230_raw_counts_tension.csv.gz","mechanosensor_channels","primary",20,20,1,"gene_symbol_or_mixed"
"GSE300230_raw_counts_tensionTGFb.csv.gz","mechanosensor_channels","primary",20,20,1,"gene_symbol_or_mixed"
"GSE300230_raw_counts_tension.csv.gz","tgf_fibrosis","competitor",20,20,1,"gene_symbol_or_mixed"
"GSE300230_raw_counts_tensionTGFb.csv.gz","tgf_fibrosis","competitor",20,20,1,"gene_symbol_or_mixed"
