"module","role","gene","filename","identifier_type","matched_symbol","present","audit_error"
"mechanosensor_channels","primary","PIEZO1","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","PIEZO1",TRUE,""
"mechanosensor_channels","primary","PIEZO2","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","PIEZO2",TRUE,""
"mechanosensor_channels","primary","TRPV4","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","TRPV4",TRUE,""
"mechanosensor_channels","primary","TRPA1","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","TRPA1",TRUE,""
"mechanosensor_channels","primary","TRPC1","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","TRPC1",TRUE,""
"mechanosensor_channels","primary","TRPC3","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","TRPC3",TRUE,""
"mechanosensor_channels","primary","TRPC6","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","TRPC6",TRUE,""
"mechanosensor_channels","primary","ASIC1","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","ASIC1",TRUE,""
"mechanosensor_channels","primary","ASIC2","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","ASIC2",TRUE,""
"mechanosensor_channels","primary","ASIC3","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","ASIC3",TRUE,""
"mechanosensor_channels","primary","KCNK2","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","KCNK2",TRUE,""
"mechanosensor_channels","primary","KCNK4","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","KCNK4",TRUE,""
"mechanosensor_channels","primary","PKD1","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","PKD1",TRUE,""
"mechanosensor_channels","primary","PKD2","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","PKD2",TRUE,""
"mechanosensor_channels","primary","TMEM63A","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","TMEM63A",TRUE,""
"mechanosensor_channels","primary","TMEM63B","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","TMEM63B",TRUE,""
"mechanosensor_channels","primary","TMEM150C","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","TMEM150C",TRUE,""
"mechanosensor_channels","primary","PANX1","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","PANX1",TRUE,""
"mechanosensor_channels","primary","P2RX4","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","P2RX4",TRUE,""
"mechanosensor_channels","primary","P2RX7","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","P2RX7",TRUE,""
"integrin_focal_adhesion","primary","ITGA1","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","ITGA1",TRUE,""
"integrin_focal_adhesion","primary","ITGA2","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","ITGA2",TRUE,""
"integrin_focal_adhesion","primary","ITGA5","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","ITGA5",TRUE,""
"integrin_focal_adhesion","primary","ITGA6","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","ITGA6",TRUE,""
"integrin_focal_adhesion","primary","ITGA8","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","ITGA8",TRUE,""
"integrin_focal_adhesion","primary","ITGA11","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","ITGA11",TRUE,""
"integrin_focal_adhesion","primary","ITGAV","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","ITGAV",TRUE,""
"integrin_focal_adhesion","primary","ITGB1","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","ITGB1",TRUE,""
"integrin_focal_adhesion","primary","ITGB3","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","ITGB3",TRUE,""
"integrin_focal_adhesion","primary","ITGB5","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","ITGB5",TRUE,""
"integrin_focal_adhesion","primary","PTK2","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","PTK2",TRUE,""
"integrin_focal_adhesion","primary","SRC","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","SRC",TRUE,""
"integrin_focal_adhesion","primary","FYN","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","FYN",TRUE,""
"integrin_focal_adhesion","primary","PXN","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","PXN",TRUE,""
"integrin_focal_adhesion","primary","VCL","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","VCL",TRUE,""
"integrin_focal_adhesion","primary","TLN1","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","TLN1",TRUE,""
"integrin_focal_adhesion","primary","TLN2","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","TLN2",TRUE,""
"integrin_focal_adhesion","primary","FERMT2","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","FERMT2",TRUE,""
"integrin_focal_adhesion","primary","ILK","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","ILK",TRUE,""
"integrin_focal_adhesion","primary","PARVA","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","PARVA",TRUE,""
"integrin_focal_adhesion","primary","BCAR1","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","BCAR1",TRUE,""
"integrin_focal_adhesion","primary","CAV1","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","CAV1",TRUE,""
"integrin_focal_adhesion","primary","DAG1","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","DAG1",TRUE,""
"hippo_yap_taz","primary","YAP1","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","YAP1",TRUE,""
"hippo_yap_taz","primary","WWTR1","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","WWTR1",TRUE,""
"hippo_yap_taz","primary","TEAD1","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","TEAD1",TRUE,""
"hippo_yap_taz","primary","TEAD2","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","TEAD2",TRUE,""
"hippo_yap_taz","primary","TEAD3","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","TEAD3",TRUE,""
"hippo_yap_taz","primary","TEAD4","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","TEAD4",TRUE,""
"hippo_yap_taz","primary","LATS1","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","LATS1",TRUE,""
"hippo_yap_taz","primary","LATS2","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","LATS2",TRUE,""
"hippo_yap_taz","primary","STK3","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","STK3",TRUE,""
"hippo_yap_taz","primary","STK4","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","STK4",TRUE,""
"hippo_yap_taz","primary","SAV1","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","SAV1",TRUE,""
"hippo_yap_taz","primary","NF2","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","NF2",TRUE,""
"hippo_yap_taz","primary","AMOTL1","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","AMOTL1",TRUE,""
"hippo_yap_taz","primary","AMOTL2","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","AMOTL2",TRUE,""
"hippo_yap_taz","primary","AJUBA","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","AJUBA",TRUE,""
"hippo_yap_taz","primary","CTGF","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","CCN2",TRUE,""
"hippo_yap_taz","primary","CYR61","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","CCN1",TRUE,""
"hippo_yap_taz","primary","ANKRD1","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","ANKRD1",TRUE,""
"hippo_yap_taz","primary","AREG","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","AREG",TRUE,""
"actomyosin_rho","primary","RHOA","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","RHOA",TRUE,""
"actomyosin_rho","primary","RHOB","GSE300230_raw_counts_tension.csv.gz","gene_symbol_or_mixed","RHOB",TRUE,""
