"gsm_accession","characteristic_key","characteristic_value","original_text"
"GSM9056047","cell line","GM08401","cell line: GM08401"
"GSM9056047","cell type","primary dermal fibroblast","cell type: primary dermal fibroblast"
"GSM9056047","age","old: 75 years old","age: old: 75 years old"
"GSM9056047","treatment","tension","treatment: tension"
"GSM9056047","batch","1","batch: 1"
"GSM9056048","cell line","GM08401","cell line: GM08401"
"GSM9056048","cell type","primary dermal fibroblast","cell type: primary dermal fibroblast"
"GSM9056048","age","old: 75 years old","age: old: 75 years old"
"GSM9056048","treatment","no tension","treatment: no tension"
"GSM9056048","batch","1","batch: 1"
"GSM9056049","cell line","GM08401","cell line: GM08401"
"GSM9056049","cell type","primary dermal fibroblast","cell type: primary dermal fibroblast"
"GSM9056049","age","old: 75 years old","age: old: 75 years old"
"GSM9056049","treatment","tension","treatment: tension"
"GSM9056049","batch","2","batch: 2"
"GSM9056050","cell line","GM08401","cell line: GM08401"
"GSM9056050","cell type","primary dermal fibroblast","cell type: primary dermal fibroblast"
"GSM9056050","age","old: 75 years old","age: old: 75 years old"
"GSM9056050","treatment","no tension","treatment: no tension"
"GSM9056050","batch","2","batch: 2"
"GSM9056051","cell line","GM09503","cell line: GM09503"
"GSM9056051","cell type","primary dermal fibroblast","cell type: primary dermal fibroblast"
"GSM9056051","age","young: 10 years old","age: young: 10 years old"
"GSM9056051","treatment","tension","treatment: tension"
"GSM9056051","batch","1","batch: 1"
"GSM9056052","cell line","GM09503","cell line: GM09503"
"GSM9056052","cell type","primary dermal fibroblast","cell type: primary dermal fibroblast"
"GSM9056052","age","young: 10 years old","age: young: 10 years old"
"GSM9056052","treatment","no tension","treatment: no tension"
"GSM9056052","batch","1","batch: 1"
"GSM9056053","cell line","GM09503","cell line: GM09503"
"GSM9056053","cell type","primary dermal fibroblast","cell type: primary dermal fibroblast"
"GSM9056053","age","young: 10 years old","age: young: 10 years old"
"GSM9056053","treatment","tension","treatment: tension"
"GSM9056053","batch","2","batch: 2"
"GSM9056054","cell line","GM09503","cell line: GM09503"
"GSM9056054","cell type","primary dermal fibroblast","cell type: primary dermal fibroblast"
"GSM9056054","age","young: 10 years old","age: young: 10 years old"
"GSM9056054","treatment","no tension","treatment: no tension"
"GSM9056054","batch","2","batch: 2"
"GSM9056055","cell line","GM08401","cell line: GM08401"
"GSM9056055","cell type","primary dermal fibroblast","cell type: primary dermal fibroblast"
"GSM9056055","age","old: 75 years old","age: old: 75 years old"
"GSM9056055","treatment","tension without TGFb","treatment: tension without TGFb"
"GSM9056055","batch","1","batch: 1"
"GSM9056056","cell line","GM08401","cell line: GM08401"
"GSM9056056","cell type","primary dermal fibroblast","cell type: primary dermal fibroblast"
"GSM9056056","age","old: 75 years old","age: old: 75 years old"
"GSM9056056","treatment","tension without TGFb","treatment: tension without TGFb"
"GSM9056056","batch","2","batch: 2"
"GSM9056057","cell line","GM08401","cell line: GM08401"
"GSM9056057","cell type","primary dermal fibroblast","cell type: primary dermal fibroblast"
"GSM9056057","age","old: 75 years old","age: old: 75 years old"
"GSM9056057","treatment","tesion with TGFb","treatment: tesion with TGFb"
"GSM9056057","batch","1","batch: 1"
"GSM9056058","cell line","GM08401","cell line: GM08401"
"GSM9056058","cell type","primary dermal fibroblast","cell type: primary dermal fibroblast"
"GSM9056058","age","old: 75 years old","age: old: 75 years old"
"GSM9056058","treatment","tesion with TGFb","treatment: tesion with TGFb"
"GSM9056058","batch","2","batch: 2"
"GSM9056059","cell line","GM08401","cell line: GM08401"
"GSM9056059","cell type","primary dermal fibroblast","cell type: primary dermal fibroblast"
"GSM9056059","age","old: 75 years old","age: old: 75 years old"
