"gse_accession","gsm_accession","title","source_name","organism","molecule","library_strategy","characteristics","description","treatment_protocol","growth_protocol","supplementary_file"
"GSE300230","GSM9056047","Old-Tesion-Replicate1","GM08401","Homo sapiens","total RNA","RNA-Seq","cell line: GM08401 | cell type: primary dermal fibroblast | age: old: 75 years old | treatment: tension | batch: 1","Library name: OR1 | raw_counts_tension.csv","Fibroblasts embedded in the 3D collagen gel, with or without tension, were cultured in complete medium for 24 hours, followed by starvation in serum-free medium for 24 hours. Subsequently, cells were treated with 10 ng/mL TGF-β in serum-free medium for an additional 24 hours.","cells were cultured in complete medium consisting of Minimum Essential Medium supplemented with 15% (vol/vol) heat-inactivated fetal bovine serum, 1% nonessential amino acids, 1% GlutaMAX, and 1% penicillin-streptomycin.",""
"GSE300230","GSM9056048","Old-NoTesion-Replicate1","GM08401","Homo sapiens","total RNA","RNA-Seq","cell line: GM08401 | cell type: primary dermal fibroblast | age: old: 75 years old | treatment: no tension | batch: 1","Library name: ON1 | raw_counts_tension.csv","Fibroblasts embedded in the 3D collagen gel, with or without tension, were cultured in complete medium for 24 hours, followed by starvation in serum-free medium for 24 hours. Subsequently, cells were treated with 10 ng/mL TGF-β in serum-free medium for an additional 24 hours.","cells were cultured in complete medium consisting of Minimum Essential Medium supplemented with 15% (vol/vol) heat-inactivated fetal bovine serum, 1% nonessential amino acids, 1% GlutaMAX, and 1% penicillin-streptomycin.",""
"GSE300230","GSM9056049","Old-Tesion-Replicate2","GM08401","Homo sapiens","total RNA","RNA-Seq","cell line: GM08401 | cell type: primary dermal fibroblast | age: old: 75 years old | treatment: tension | batch: 2","Library name: OR2 | raw_counts_tension.csv","Fibroblasts embedded in the 3D collagen gel, with or without tension, were cultured in complete medium for 24 hours, followed by starvation in serum-free medium for 24 hours. Subsequently, cells were treated with 10 ng/mL TGF-β in serum-free medium for an additional 24 hours.","cells were cultured in complete medium consisting of Minimum Essential Medium supplemented with 15% (vol/vol) heat-inactivated fetal bovine serum, 1% nonessential amino acids, 1% GlutaMAX, and 1% penicillin-streptomycin.",""
"GSE300230","GSM9056050","Old-NoTesion-Replicate2","GM08401","Homo sapiens","total RNA","RNA-Seq","cell line: GM08401 | cell type: primary dermal fibroblast | age: old: 75 years old | treatment: no tension | batch: 2","Library name: ON2 | raw_counts_tension.csv","Fibroblasts embedded in the 3D collagen gel, with or without tension, were cultured in complete medium for 24 hours, followed by starvation in serum-free medium for 24 hours. Subsequently, cells were treated with 10 ng/mL TGF-β in serum-free medium for an additional 24 hours.","cells were cultured in complete medium consisting of Minimum Essential Medium supplemented with 15% (vol/vol) heat-inactivated fetal bovine serum, 1% nonessential amino acids, 1% GlutaMAX, and 1% penicillin-streptomycin.",""
"GSE300230","GSM9056051","Young-Tesion-Replicate1","GM09503","Homo sapiens","total RNA","RNA-Seq","cell line: GM09503 | cell type: primary dermal fibroblast | age: young: 10 years old | treatment: tension | batch: 1","Library name: YR1 | raw_counts_tension.csv","Fibroblasts embedded in the 3D collagen gel, with or without tension, were cultured in complete medium for 24 hours, followed by starvation in serum-free medium for 24 hours. Subsequently, cells were treated with 10 ng/mL TGF-β in serum-free medium for an additional 24 hours.","cells were cultured in complete medium consisting of Minimum Essential Medium supplemented with 15% (vol/vol) heat-inactivated fetal bovine serum, 1% nonessential amino acids, 1% GlutaMAX, and 1% penicillin-streptomycin.",""
"GSE300230","GSM9056052","Young-NoTesion-Replicate1","GM09503","Homo sapiens","total RNA","RNA-Seq","cell line: GM09503 | cell type: primary dermal fibroblast | age: young: 10 years old | treatment: no tension | batch: 1","Library name: YN1 | raw_counts_tension.csv","Fibroblasts embedded in the 3D collagen gel, with or without tension, were cultured in complete medium for 24 hours, followed by starvation in serum-free medium for 24 hours. Subsequently, cells were treated with 10 ng/mL TGF-β in serum-free medium for an additional 24 hours.","cells were cultured in complete medium consisting of Minimum Essential Medium supplemented with 15% (vol/vol) heat-inactivated fetal bovine serum, 1% nonessential amino acids, 1% GlutaMAX, and 1% penicillin-streptomycin.",""
"GSE300230","GSM9056053","Young-Tesion-Replicate2","GM09503","Homo sapiens","total RNA","RNA-Seq","cell line: GM09503 | cell type: primary dermal fibroblast | age: young: 10 years old | treatment: tension | batch: 2","Library name: YR2 | raw_counts_tension.csv","Fibroblasts embedded in the 3D collagen gel, with or without tension, were cultured in complete medium for 24 hours, followed by starvation in serum-free medium for 24 hours. Subsequently, cells were treated with 10 ng/mL TGF-β in serum-free medium for an additional 24 hours.","cells were cultured in complete medium consisting of Minimum Essential Medium supplemented with 15% (vol/vol) heat-inactivated fetal bovine serum, 1% nonessential amino acids, 1% GlutaMAX, and 1% penicillin-streptomycin.",""
"GSE300230","GSM9056054","Young-NoTesion-Replicate2","GM09503","Homo sapiens","total RNA","RNA-Seq","cell line: GM09503 | cell type: primary dermal fibroblast | age: young: 10 years old | treatment: no tension | batch: 2","Library name: YN2 | raw_counts_tension.csv","Fibroblasts embedded in the 3D collagen gel, with or without tension, were cultured in complete medium for 24 hours, followed by starvation in serum-free medium for 24 hours. Subsequently, cells were treated with 10 ng/mL TGF-β in serum-free medium for an additional 24 hours.","cells were cultured in complete medium consisting of Minimum Essential Medium supplemented with 15% (vol/vol) heat-inactivated fetal bovine serum, 1% nonessential amino acids, 1% GlutaMAX, and 1% penicillin-streptomycin.",""
"GSE300230","GSM9056055","Old-Tension-CTRL-Replicate1","GM08401","Homo sapiens","total RNA","RNA-Seq","cell line: GM08401 | cell type: primary dermal fibroblast | age: old: 75 years old | treatment: tension without TGFb | batch: 1","Library name: ORC1 | raw_counts_tensionTGFb.csv","Fibroblasts embedded in the 3D collagen gel, with or without tension, were cultured in complete medium for 24 hours, followed by starvation in serum-free medium for 24 hours. Subsequently, cells were treated with 10 ng/mL TGF-β in serum-free medium for an additional 24 hours.","cells were cultured in complete medium consisting of Minimum Essential Medium supplemented with 15% (vol/vol) heat-inactivated fetal bovine serum, 1% nonessential amino acids, 1% GlutaMAX, and 1% penicillin-streptomycin.",""
"GSE300230","GSM9056056","Old-Tension-CTRL-Replicate2","GM08401","Homo sapiens","total RNA","RNA-Seq","cell line: GM08401 | cell type: primary dermal fibroblast | age: old: 75 years old | treatment: tension without TGFb | batch: 2","Library name: ORC2 | raw_counts_tensionTGFb.csv","Fibroblasts embedded in the 3D collagen gel, with or without tension, were cultured in complete medium for 24 hours, followed by starvation in serum-free medium for 24 hours. Subsequently, cells were treated with 10 ng/mL TGF-β in serum-free medium for an additional 24 hours.","cells were cultured in complete medium consisting of Minimum Essential Medium supplemented with 15% (vol/vol) heat-inactivated fetal bovine serum, 1% nonessential amino acids, 1% GlutaMAX, and 1% penicillin-streptomycin.",""
