"field","value"
"contact_address","Forschungsstrasse 111"
"contact_city","Villigen"
"contact_country","Switzerland"
"contact_department","LNB"
"contact_email","gshivasha@ethz.ch"
"contact_institute","Paul Scherrer Institute"
"contact_laboratory","MGG Group"
"contact_name","G.V.,,Shivashankar"
"contact_state","Aargau"
"contact_zip/postal_code","5232"
"contributor","Yawen,,Liao | Luezhen,,Yuan | Trinadha,R,Sornapudi | G,V,Shivashankar"
"email","geo@ncbi.nlm.nih.gov"
"geo_accession","GSE300230"
"institute","NCBI NLM NIH"
"last_update_date","Jun 26 2026"
"name","Gene Expression Omnibus (GEO)"
"overall_design","RNA-seq profiling of primary dermal fibroblasts from two age groups (old: 75 years old; young: 10 years old) seeded in 3D collagen gel exposed to tension force and TGFβ stimulation"
"platform_id","GPL11154"
"platform_taxid","9606"
"pubmed_id","41886372"
"relation","BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1279935"
"sample_id","GSM9056047 | GSM9056048 | GSM9056049 | GSM9056050 | GSM9056051 | GSM9056052 | GSM9056053 | GSM9056054 | GSM9056055 | GSM9056056 | GSM9056057 | GSM9056058 | GSM9056059 | GSM9056060 | GSM9056061 | GSM9056062 | GSM9056063 | GSM9056064 | GSM9056065 | GSM9056066 | GSM9056067 | GSM9056068 | GSM9056069 | GSM9056070"
"sample_taxid","9606"
"status","Public on Mar 15 2026"
"submission_date","Jun 20 2025"
"summary","The aging process significantly alters the biomechanical properties of fibroblasts, impacting their cytoskeletal and chromatin organization. These changes are pivotal in modulating cellular responses to mechanical and biochemical stimuli. This study investigates the hypothesis that aging leads to fibroblasts’ divergent adaptation mechanisms to external stimuli. Herein, fibroblasts from young and old cohorts were embedded in 3D collagen gels and subjected to tension force alone (tension stimulus) or tension +/- Transforming Growth Factor beta (TGFb) (tension/TGFb stimuli). The study revealed that mechanical forces and aging exert profound effects on chromatin architecture. Young cells adapted more rapidly to mechanical stress and showed a heightened responsiveness to TGFβ compared to older cells. The identification of key transcription factors implicated in age-dependent responses was further examined, assessing their potential in cellular rejuvenation."
"supplementary_file","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE300nnn/GSE300230/suppl/GSE300230_raw_counts_tension.csv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE300nnn/GSE300230/suppl/GSE300230_raw_counts_tensionTGFb.csv.gz"
"title","Age-related gene expression alteration responding to mechanical force and TGFβ signaling"
"type","Expression profiling by high throughput sequencing"
"web_link","http://www.ncbi.nlm.nih.gov/geo"
