"gene","module","step08C2_support","step08C2_interpretation","step10B_role","log2fc","ave_expr","t","p_value","q_genome","cell_line","age_background","contrast","present_after_filter","q_candidate"
"ITGAV","integrin_focal_adhesion",TRUE,"consistent_sample_level_support","confirmatory_candidate",0.0393312777565793,8.54548437790078,0.290316709767813,0.776283773018931,0.913283382247128,"GM09503","young_10y","mechanical_tension_vs_relaxed_tgfb_absent",TRUE,0.938131813729939
"ITGB1","integrin_focal_adhesion",TRUE,"consistent_sample_level_support","confirmatory_candidate",0.254527267070412,11.2221895417477,2.64491945223498,0.0206094975901767,0.135823077862209,"GM09503","young_10y","mechanical_tension_vs_relaxed_tgfb_absent",TRUE,0.103047487950884
"ITGA2","integrin_focal_adhesion",FALSE,"not_supported_in_paired_sample_analysis","negative_candidate",-0.399935423105278,9.90799274558812,-3.94093433948103,0.00178081865666628,0.0253801852619543,"GM09503","young_10y","mechanical_tension_vs_relaxed_tgfb_absent",TRUE,0.0267122798499942
"PARVA","integrin_focal_adhesion",TRUE,"consistent_sample_level_support","confirmatory_candidate",0.190772743182679,8.88244242785277,1.74793159333117,0.10471281454434,0.354357795441815,"GM09503","young_10y","mechanical_tension_vs_relaxed_tgfb_absent",TRUE,0.392673054541275
"ITGA5","integrin_focal_adhesion",TRUE,"consistent_sample_level_support","confirmatory_candidate",-0.138674220733014,8.53639942350322,-1.28531469934512,0.221741869409672,0.519730121935098,"GM09503","young_10y","mechanical_tension_vs_relaxed_tgfb_absent",TRUE,0.415766005143135
"FERMT2","integrin_focal_adhesion",TRUE,"consistent_sample_level_support","confirmatory_candidate",0.183478130078019,7.36316506012958,1.38228155799305,0.190831696604043,0.483861956817294,"GM09503","young_10y","mechanical_tension_vs_relaxed_tgfb_absent",TRUE,0.415766005143135
"CFL1","actomyosin_rho",TRUE,"consistent_sample_level_support","confirmatory_candidate",0.387052220581111,8.98352543688276,3.10857687871449,0.00856012858076349,0.0775609845302887,"GM09503","young_10y","mechanical_tension_vs_relaxed_tgfb_absent",TRUE,0.0642009643557262
"LIMK1","actomyosin_rho",TRUE,"consistent_sample_level_support","confirmatory_candidate",0.015371109256372,7.32004497240032,0.0794000928759715,0.938131813729939,0.979877878150142,"GM09503","young_10y","mechanical_tension_vs_relaxed_tgfb_absent",TRUE,0.938131813729939
"CNN2","actomyosin_rho",TRUE,"consistent_sample_level_support","confirmatory_candidate",0.227678087447574,8.34188750988088,1.43365261168888,0.177447854224623,0.466122365501215,"GM09503","young_10y","mechanical_tension_vs_relaxed_tgfb_absent",TRUE,0.415766005143135
"CDC42","actomyosin_rho",TRUE,"consistent_sample_level_support","confirmatory_candidate",0.530589358643494,1.74178423414139,1.29381818765468,0.218878625721456,0.517267969651084,"GM09503","young_10y","mechanical_tension_vs_relaxed_tgfb_absent",TRUE,0.415766005143135
