"module","role","analysis_use","NGenes","Direction","PValue","FDR","cell_line","age_background","contrast"
"mechanosensor_channels","primary","mechanism_gate",16,"Up",0.118760913140978,0.178141369711468,"GM09503","young_10y","mechanical_tension_vs_relaxed_tgfb_absent"
"integrin_focal_adhesion","primary","core_mechanotransduction_gate",23,"Up",0.0584240280840452,0.115126715469746,"GM09503","young_10y","mechanical_tension_vs_relaxed_tgfb_absent"
"hippo_yap_taz","primary","mechanism_gate",17,"Up",0.822227447079316,0.92500587796423,"GM09503","young_10y","mechanical_tension_vs_relaxed_tgfb_absent"
"actomyosin_rho","primary","core_mechanotransduction_gate",20,"Up",2.66062450488148e-06,1.19728102719667e-05,"GM09503","young_10y","mechanical_tension_vs_relaxed_tgfb_absent"
"ecm_remodeling","competitor","competing_explanation",23,"Down",0.93891283422577,0.93891283422577,"GM09503","young_10y","mechanical_tension_vs_relaxed_tgfb_absent"
"tgf_fibrosis","competitor","competing_explanation",19,"Down",0.0639592863720811,0.115126715469746,"GM09503","young_10y","mechanical_tension_vs_relaxed_tgfb_absent"
"inflammation_ap1_nfkb","competitor","competing_explanation",15,"Down",0.00368189305261464,0.0110456791578439,"GM09503","young_10y","mechanical_tension_vs_relaxed_tgfb_absent"
"hypoxia","competitor","competing_explanation",17,"Up",0.670075760487002,0.861525977769003,"GM09503","young_10y","mechanical_tension_vs_relaxed_tgfb_absent"
"cell_cycle","competitor","competing_explanation",18,"Up",5.69123214858245e-13,5.12210893372421e-12,"GM09503","young_10y","mechanical_tension_vs_relaxed_tgfb_absent"
"mechanosensor_channels","primary","mechanism_gate",16,"Up",0.0116775289289007,0.0525488801800533,"GM09503","young_10y","mechanical_tension_vs_relaxed_tgfb_present"
"integrin_focal_adhesion","primary","core_mechanotransduction_gate",23,"Up",0.627224303734576,0.806431247658741,"GM09503","young_10y","mechanical_tension_vs_relaxed_tgfb_present"
"hippo_yap_taz","primary","mechanism_gate",17,"Up",0.812729924128817,0.863272340914021,"GM09503","young_10y","mechanical_tension_vs_relaxed_tgfb_present"
"actomyosin_rho","primary","core_mechanotransduction_gate",20,"Up",0.0222070183683118,0.0666210551049353,"GM09503","young_10y","mechanical_tension_vs_relaxed_tgfb_present"
"ecm_remodeling","competitor","competing_explanation",23,"Up",0.205087931388173,0.30763189708226,"GM09503","young_10y","mechanical_tension_vs_relaxed_tgfb_present"
"tgf_fibrosis","competitor","competing_explanation",19,"Down",0.117559674408464,0.211607413935234,"GM09503","young_10y","mechanical_tension_vs_relaxed_tgfb_present"
"inflammation_ap1_nfkb","competitor","competing_explanation",15,"Up",0.863272340914021,0.863272340914021,"GM09503","young_10y","mechanical_tension_vs_relaxed_tgfb_present"
"hypoxia","competitor","competing_explanation",17,"Up",0.0788852662713625,0.177491849110566,"GM09503","young_10y","mechanical_tension_vs_relaxed_tgfb_present"
"cell_cycle","competitor","competing_explanation",18,"Up",0.000441656480042926,0.00397490832038633,"GM09503","young_10y","mechanical_tension_vs_relaxed_tgfb_present"
"mechanosensor_channels","primary","mechanism_gate",16,"Down",0.0912928936019734,0.132124724310175,"GM09503","young_10y","tgfb_present_vs_absent_relaxed"
"integrin_focal_adhesion","primary","core_mechanotransduction_gate",23,"Up",0.00116048174716013,0.0026110839311103,"GM09503","young_10y","tgfb_present_vs_absent_relaxed"
"hippo_yap_taz","primary","mechanism_gate",17,"Up",0.102763674463469,0.132124724310175,"GM09503","young_10y","tgfb_present_vs_absent_relaxed"
"actomyosin_rho","primary","core_mechanotransduction_gate",20,"Up",1.78356747247236e-09,8.02605362612561e-09,"GM09503","young_10y","tgfb_present_vs_absent_relaxed"
"ecm_remodeling","competitor","competing_explanation",23,"Up",7.99677674620374e-14,7.19709907158337e-13,"GM09503","young_10y","tgfb_present_vs_absent_relaxed"
"tgf_fibrosis","competitor","competing_explanation",19,"Up",0.00333829182748974,0.00600892528948152,"GM09503","young_10y","tgfb_present_vs_absent_relaxed"
"inflammation_ap1_nfkb","competitor","competing_explanation",15,"Down",0.790140867096533,0.790140867096533,"GM09503","young_10y","tgfb_present_vs_absent_relaxed"
"hypoxia","competitor","competing_explanation",17,"Down",0.762061766707628,0.790140867096533,"GM09503","young_10y","tgfb_present_vs_absent_relaxed"
"cell_cycle","competitor","competing_explanation",18,"Up",1.18810776789797e-06,3.5643233036939e-06,"GM09503","young_10y","tgfb_present_vs_absent_relaxed"
