"gene","module","step10B_role","GM08401_log2fc","GM08401_q_candidate","GM09503_log2fc","GM09503_q_candidate","positive_both_lines","q05_both_lines"
"CDC42","actomyosin_rho","confirmatory_candidate",0.271422672448652,0.509020440752753,0.530589358643494,0.415766005143135,TRUE,FALSE
"CFL1","actomyosin_rho","confirmatory_candidate",0.404724842465596,9.08105676854453e-05,0.387052220581111,0.0642009643557262,TRUE,FALSE
"CNN2","actomyosin_rho","confirmatory_candidate",0.487905341539836,6.14984513513092e-05,0.227678087447574,0.415766005143135,TRUE,FALSE
"FERMT2","integrin_focal_adhesion","confirmatory_candidate",0.471954663818108,8.92269705847842e-05,0.183478130078019,0.415766005143135,TRUE,FALSE
"ITGA2","integrin_focal_adhesion","negative_candidate",-0.10853926742976,0.358165528203558,-0.399935423105278,0.0267122798499942,FALSE,FALSE
"ITGA5","integrin_focal_adhesion","confirmatory_candidate",-0.0200048201489356,0.772932477969024,-0.138674220733014,0.415766005143135,FALSE,FALSE
"ITGAV","integrin_focal_adhesion","confirmatory_candidate",0.27897815311162,0.00400681219327734,0.0393312777565793,0.938131813729939,TRUE,FALSE
"ITGB1","integrin_focal_adhesion","confirmatory_candidate",0.111213485506099,0.271455031615166,0.254527267070412,0.103047487950884,TRUE,FALSE
"LIMK1","actomyosin_rho","confirmatory_candidate",-0.349900977311044,0.00400681219327734,0.015371109256372,0.938131813729939,FALSE,FALSE
"NF2","hippo_yap_taz","downstream_mechanotransduction_candidate",0.137366700275948,0.192721086140651,0.132557242628305,0.437839434586882,TRUE,FALSE
"PANX1","mechanosensor_channels","mechanosensor_specificity_candidate",-0.421572529370246,0.00134216445168511,0.225637246536014,0.437839434586882,FALSE,FALSE
"PARVA","integrin_focal_adhesion","confirmatory_candidate",0.0779497085152467,0.358165528203558,0.190772743182679,0.392673054541275,TRUE,FALSE
"PIEZO2","mechanosensor_channels","mechanosensor_specificity_candidate",0.441195206937898,0.346793730031927,-0.0303229924789798,0.938131813729939,FALSE,FALSE
"TEAD1","hippo_yap_taz","downstream_mechanotransduction_candidate",-0.0286560035160317,0.72950939244984,-0.0459814123435276,0.938131813729939,FALSE,FALSE
"TMEM63B","mechanosensor_channels","mechanosensor_specificity_candidate",0.223461185041237,0.0553989569640605,-0.013482843092282,0.938131813729939,FALSE,FALSE
