"module","cell_line","min_primary_effect","max_primary_effect","positive_fraction"
"actomyosin_rho","GM08401",0.691629838514558,0.899770556841485,1
"cell_cycle","GM08401",0.322697421168197,0.398548417885041,1
"ecm_remodeling","GM08401",0.0591021353095542,0.215311282888856,1
"hippo_yap_taz","GM08401",0.0865915460867412,0.287789322129299,1
"hypoxia","GM08401",-0.0810802998354402,0.164398530746647,0.647058823529412
"inflammation_ap1_nfkb","GM08401",-0.424065384304312,-0.248983197882209,0
"integrin_focal_adhesion","GM08401",0.327246265086866,0.514007115619414,1
"mechanosensor_channels","GM08401",0.0175126050296767,0.134657950322737,1
"tgf_fibrosis","GM08401",-0.471904587419061,-0.253022151524489,0
"actomyosin_rho","GM09503",0.638319581450908,0.820652922388661,1
"cell_cycle","GM09503",1.44655030522937,1.5337879408389,1
"ecm_remodeling","GM09503",-0.439936317557345,-0.22634130331155,0
"hippo_yap_taz","GM09503",-0.107962152418502,0.116252701221235,0.529411764705882
"hypoxia","GM09503",0.0126124337527796,0.241036148311352,1
"inflammation_ap1_nfkb","GM09503",-0.853039646288412,-0.647499156576851,0
"integrin_focal_adhesion","GM09503",0.0524605640340823,0.278311648919685,1
"mechanosensor_channels","GM09503",0.00655162066939008,0.211408208821292,1
"tgf_fibrosis","GM09503",-0.549313415857865,-0.366598082967237,0
