"module","omitted_gene","cell_line","primary_effect"
"mechanosensor_channels","PIEZO1","GM09503",0.0311373622526434
"mechanosensor_channels","PIEZO1","GM08401",0.0454195292278702
"mechanosensor_channels","PIEZO2","GM09503",0.130017509458086
"mechanosensor_channels","PIEZO2","GM08401",0.0564285416798185
"mechanosensor_channels","TRPV4","GM09503",0.201542382954729
"mechanosensor_channels","TRPV4","GM08401",0.121918635123455
"mechanosensor_channels","TRPC1","GM09503",0.103891417579973
"mechanosensor_channels","TRPC1","GM08401",0.0746292669811732
"mechanosensor_channels","TRPC3","GM09503",0.200816942880385
"mechanosensor_channels","TRPC3","GM08401",0.13114789706134
"mechanosensor_channels","TRPC6","GM09503",0.00655162066939008
"mechanosensor_channels","TRPC6","GM08401",0.02587866427556
"mechanosensor_channels","ASIC1","GM09503",0.0842160473260374
"mechanosensor_channels","ASIC1","GM08401",0.0523678498398347
"mechanosensor_channels","ASIC2","GM09503",0.0842434538655282
"mechanosensor_channels","ASIC2","GM08401",0.0997252689072391
"mechanosensor_channels","KCNK2","GM09503",0.0066374366105782
"mechanosensor_channels","KCNK2","GM08401",0.0242777423626533
"mechanosensor_channels","PKD1","GM09503",0.123310492512997
"mechanosensor_channels","PKD1","GM08401",0.0284440014834941
"mechanosensor_channels","PKD2","GM09503",0.140987932167748
"mechanosensor_channels","PKD2","GM08401",0.0742146123129226
"mechanosensor_channels","TMEM63A","GM09503",0.211408208821292
"mechanosensor_channels","TMEM63A","GM08401",0.134567786480623
"mechanosensor_channels","TMEM63B","GM09503",0.136057557986476
"mechanosensor_channels","TMEM63B","GM08401",0.0175126050296767
"mechanosensor_channels","PANX1","GM09503",0.094323170678657
"mechanosensor_channels","PANX1","GM08401",0.134657950322737
"mechanosensor_channels","P2RX4","GM09503",0.132198517322016
"mechanosensor_channels","P2RX4","GM08401",0.102327232540567
"mechanosensor_channels","P2RX7","GM09503",0.137242942643795
"mechanosensor_channels","P2RX7","GM08401",0.119674648910331
"integrin_focal_adhesion","ITGA1","GM09503",0.126299238505523
"integrin_focal_adhesion","ITGA1","GM08401",0.384125610701613
"integrin_focal_adhesion","ITGA2","GM09503",0.180910044533042
"integrin_focal_adhesion","ITGA2","GM08401",0.450363660459055
"integrin_focal_adhesion","ITGA5","GM09503",0.184571503811938
"integrin_focal_adhesion","ITGA5","GM08401",0.44703393224772
"integrin_focal_adhesion","ITGA6","GM09503",0.0897822109969836
"integrin_focal_adhesion","ITGA6","GM08401",0.411925203631271
"integrin_focal_adhesion","ITGA8","GM09503",0.0795776681374035
"integrin_focal_adhesion","ITGA8","GM08401",0.404728011525554
"integrin_focal_adhesion","ITGA11","GM09503",0.135665613385056
"integrin_focal_adhesion","ITGA11","GM08401",0.388188695624518
"integrin_focal_adhesion","ITGAV","GM09503",0.147281082538487
"integrin_focal_adhesion","ITGAV","GM08401",0.418322203461561
"integrin_focal_adhesion","ITGB1","GM09503",0.123643063585123
"integrin_focal_adhesion","ITGB1","GM08401",0.430271726635016
"integrin_focal_adhesion","ITGB3","GM09503",0.224856582327131
"integrin_focal_adhesion","ITGB3","GM08401",0.514007115619414
"integrin_focal_adhesion","ITGB5","GM09503",0.158929930064614
"integrin_focal_adhesion","ITGB5","GM08401",0.441769220042909
"integrin_focal_adhesion","PTK2","GM09503",0.177472807521117
"integrin_focal_adhesion","PTK2","GM08401",0.485124034080665
"integrin_focal_adhesion","SRC","GM09503",0.186308982388463
"integrin_focal_adhesion","SRC","GM08401",0.41318751713512
"integrin_focal_adhesion","FYN","GM09503",0.174308189755454
