"module","role","method","cell_line","contrast","contrast_value"
"mechanosensor_channels","primary","zmean","GM09503","mechanical_tension_vs_relaxed_tgfb_absent",0.114036437233146
"mechanosensor_channels","primary","zmean","GM09503","mechanical_tension_vs_relaxed_tgfb_present",0.8407592153197
"mechanosensor_channels","primary","zmean","GM09503","mechanical_x_tgfb",0.726722778086554
"mechanosensor_channels","primary","zmean","GM08401","mechanical_tension_vs_relaxed_tgfb_absent",0.0776995145337061
"mechanosensor_channels","primary","zmean","GM08401","mechanical_tension_vs_relaxed_tgfb_present",0.205263691047606
"mechanosensor_channels","primary","zmean","GM08401","mechanical_x_tgfb",0.1275641765139
"integrin_focal_adhesion","primary","zmean","GM09503","mechanical_tension_vs_relaxed_tgfb_absent",0.144804634991413
"integrin_focal_adhesion","primary","zmean","GM09503","mechanical_tension_vs_relaxed_tgfb_present",0.014683315180343
"integrin_focal_adhesion","primary","zmean","GM09503","mechanical_x_tgfb",-0.13012131981107
"integrin_focal_adhesion","primary","zmean","GM08401","mechanical_tension_vs_relaxed_tgfb_absent",0.42314464924912
"integrin_focal_adhesion","primary","zmean","GM08401","mechanical_tension_vs_relaxed_tgfb_present",0.0866650628775664
"integrin_focal_adhesion","primary","zmean","GM08401","mechanical_x_tgfb",-0.336479586371554
"hippo_yap_taz","primary","zmean","GM09503","mechanical_tension_vs_relaxed_tgfb_absent",-0.003257494164358
"hippo_yap_taz","primary","zmean","GM09503","mechanical_tension_vs_relaxed_tgfb_present",-0.159565378719335
"hippo_yap_taz","primary","zmean","GM09503","mechanical_x_tgfb",-0.156307884554977
"hippo_yap_taz","primary","zmean","GM08401","mechanical_tension_vs_relaxed_tgfb_absent",0.187873749064754
"hippo_yap_taz","primary","zmean","GM08401","mechanical_tension_vs_relaxed_tgfb_present",-0.112901996538228
"hippo_yap_taz","primary","zmean","GM08401","mechanical_x_tgfb",-0.300775745602981
"actomyosin_rho","primary","zmean","GM09503","mechanical_tension_vs_relaxed_tgfb_absent",0.718490896104289
"actomyosin_rho","primary","zmean","GM09503","mechanical_tension_vs_relaxed_tgfb_present",0.347106124588875
"actomyosin_rho","primary","zmean","GM09503","mechanical_x_tgfb",-0.371384771515414
"actomyosin_rho","primary","zmean","GM08401","mechanical_tension_vs_relaxed_tgfb_absent",0.760726205018646
"actomyosin_rho","primary","zmean","GM08401","mechanical_tension_vs_relaxed_tgfb_present",0.492813597061035
"actomyosin_rho","primary","zmean","GM08401","mechanical_x_tgfb",-0.267912607957611
"ecm_remodeling","competitor","zmean","GM09503","mechanical_tension_vs_relaxed_tgfb_absent",-0.328937963014289
"ecm_remodeling","competitor","zmean","GM09503","mechanical_tension_vs_relaxed_tgfb_present",0.111023373214462
"ecm_remodeling","competitor","zmean","GM09503","mechanical_x_tgfb",0.439961336228751
"ecm_remodeling","competitor","zmean","GM08401","mechanical_tension_vs_relaxed_tgfb_absent",0.139538441414549
"ecm_remodeling","competitor","zmean","GM08401","mechanical_tension_vs_relaxed_tgfb_present",0.0145162888474998
"ecm_remodeling","competitor","zmean","GM08401","mechanical_x_tgfb",-0.12502215256705
"tgf_fibrosis","competitor","zmean","GM09503","mechanical_tension_vs_relaxed_tgfb_absent",-0.470935963967484
"tgf_fibrosis","competitor","zmean","GM09503","mechanical_tension_vs_relaxed_tgfb_present",-0.641305989494767
"tgf_fibrosis","competitor","zmean","GM09503","mechanical_x_tgfb",-0.170370025527283
"tgf_fibrosis","competitor","zmean","GM08401","mechanical_tension_vs_relaxed_tgfb_absent",-0.366304884277504
"tgf_fibrosis","competitor","zmean","GM08401","mechanical_tension_vs_relaxed_tgfb_present",-0.520007131145927
"tgf_fibrosis","competitor","zmean","GM08401","mechanical_x_tgfb",-0.153702246868424
"inflammation_ap1_nfkb","competitor","zmean","GM09503","mechanical_tension_vs_relaxed_tgfb_absent",-0.737152747465629
"inflammation_ap1_nfkb","competitor","zmean","GM09503","mechanical_tension_vs_relaxed_tgfb_present",0.0440286415005688
"inflammation_ap1_nfkb","competitor","zmean","GM09503","mechanical_x_tgfb",0.781181388966198
"inflammation_ap1_nfkb","competitor","zmean","GM08401","mechanical_tension_vs_relaxed_tgfb_absent",-0.334274426308237
"inflammation_ap1_nfkb","competitor","zmean","GM08401","mechanical_tension_vs_relaxed_tgfb_present",0.057792538898171
"inflammation_ap1_nfkb","competitor","zmean","GM08401","mechanical_x_tgfb",0.392066965206408
"hypoxia","competitor","zmean","GM09503","mechanical_tension_vs_relaxed_tgfb_absent",0.122387518392888
"hypoxia","competitor","zmean","GM09503","mechanical_tension_vs_relaxed_tgfb_present",0.46192514324931
"hypoxia","competitor","zmean","GM09503","mechanical_x_tgfb",0.339537624856422
