"source","gene","is_frozen_candidate","present_in_existing_targeted_extract","retrieval_status"
"PRJNA607098","ACTA2",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","ADM",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","AJUBA",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","AMOTL1",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","AMOTL2",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","ANKRD1",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","AREG",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","ASIC1",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","ASIC2",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","ASIC3",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","ATF3",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","BCAR1",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","BIRC5",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","BNIP3",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","CA9",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","CAV1",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","CCL2",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","CCNA2",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","CCNB1",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","CCNB2",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","CDC20",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","CDC42",TRUE,TRUE,"available_from_existing_targeted_extract"
"PRJNA607098","CDK1",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","CDK2",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","CENPF",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","CFL1",TRUE,TRUE,"available_from_existing_targeted_extract"
"PRJNA607098","CNN1",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","CNN2",TRUE,TRUE,"available_from_existing_targeted_extract"
"PRJNA607098","COL1A1",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","COL1A2",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","COL3A1",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","COL5A1",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","COL5A2",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","COL6A1",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","COL6A2",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","COL6A3",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","CTGF",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","CTHRC1",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","CXCL1",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","CXCL2",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","CXCL3",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","CXCL8",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","CYR61",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","DAG1",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","DDIT4",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","DIAPH1",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","EGLN1",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","EGLN2",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","EGLN3",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","ENO1",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","EPAS1",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","FAP",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","FERMT2",TRUE,TRUE,"available_from_existing_targeted_extract"
"PRJNA607098","FLNA",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","FN1",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","FOS",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","FOSB",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","FOSL2",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","FYN",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","GSN",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","HIF1A",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","HK2",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","ICAM1",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","IL1B",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","IL6",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","ILK",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","INHBA",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","ITGA1",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","ITGA11",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","ITGA2",TRUE,TRUE,"available_from_existing_targeted_extract"
"PRJNA607098","ITGA5",TRUE,TRUE,"available_from_existing_targeted_extract"
"PRJNA607098","ITGA6",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","ITGA8",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","ITGAV",TRUE,TRUE,"available_from_existing_targeted_extract"
"PRJNA607098","ITGB1",TRUE,TRUE,"available_from_existing_targeted_extract"
"PRJNA607098","ITGB3",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","ITGB5",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","JUN",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","JUND",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","KCNK2",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","KCNK4",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","LATS1",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","LATS2",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","LDHA",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","LIMK1",TRUE,TRUE,"available_from_existing_targeted_extract"
"PRJNA607098","LOX",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","LOXL2",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","MCM2",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","MCM3",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","MCM4",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","MCM5",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","MCM6",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","MCM7",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","MKI67",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","MMP14",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","MMP2",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","MYL9",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","MYLK",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","NDRG1",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","NF2",TRUE,TRUE,"available_from_existing_targeted_extract"
"PRJNA607098","NFKB1",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","NFKB2",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","P2RX4",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","P2RX7",FALSE,FALSE,"requires_new_targeted_cell_level_stream"
"PRJNA607098","PANX1",TRUE,TRUE,"available_from_existing_targeted_extract"
"PRJNA607098","PARVA",TRUE,TRUE,"available_from_existing_targeted_extract"
