"source","sample_id","target_state","gene","cells","detected_cells","detection_rate","library_size_field"
"GSE130973","S1","candidate_fibroblast_state","CDC42",1042,588,0.564299424184261,"nFeature_RNA"
"GSE130973","S1","candidate_fibroblast_state","CFL1",1042,886,0.850287907869482,"nFeature_RNA"
"GSE130973","S1","candidate_fibroblast_state","CNN2",1042,185,0.177543186180422,"nFeature_RNA"
"GSE130973","S1","candidate_fibroblast_state","FERMT2",1042,293,0.281190019193858,"nFeature_RNA"
"GSE130973","S1","candidate_fibroblast_state","ITGA2",1042,7,0.00671785028790787,"nFeature_RNA"
"GSE130973","S1","candidate_fibroblast_state","ITGA5",1042,215,0.206333973128599,"nFeature_RNA"
"GSE130973","S1","candidate_fibroblast_state","ITGAV",1042,195,0.187140115163148,"nFeature_RNA"
"GSE130973","S1","candidate_fibroblast_state","ITGB1",1042,630,0.604606525911708,"nFeature_RNA"
"GSE130973","S1","candidate_fibroblast_state","LIMK1",1042,26,0.0249520153550864,"nFeature_RNA"
"GSE130973","S1","candidate_fibroblast_state","NF2",1042,43,0.0412667946257198,"nFeature_RNA"
"GSE130973","S1","candidate_fibroblast_state","PANX1",1042,95,0.0911708253358925,"nFeature_RNA"
"GSE130973","S1","candidate_fibroblast_state","PARVA",1042,164,0.157389635316699,"nFeature_RNA"
"GSE130973","S1","candidate_fibroblast_state","PIEZO2",1042,37,0.0355086372360845,"nFeature_RNA"
"GSE130973","S1","candidate_fibroblast_state","TEAD1",1042,157,0.150671785028791,"nFeature_RNA"
"GSE130973","S1","candidate_fibroblast_state","TMEM63B",1042,35,0.0335892514395393,"nFeature_RNA"
"GSE130973","S2","candidate_fibroblast_state","CDC42",1060,659,0.621698113207547,"nFeature_RNA"
"GSE130973","S2","candidate_fibroblast_state","CFL1",1060,887,0.836792452830189,"nFeature_RNA"
"GSE130973","S2","candidate_fibroblast_state","CNN2",1060,157,0.14811320754717,"nFeature_RNA"
"GSE130973","S2","candidate_fibroblast_state","FERMT2",1060,246,0.232075471698113,"nFeature_RNA"
"GSE130973","S2","candidate_fibroblast_state","ITGA2",1060,8,0.00754716981132075,"nFeature_RNA"
"GSE130973","S2","candidate_fibroblast_state","ITGA5",1060,131,0.123584905660377,"nFeature_RNA"
"GSE130973","S2","candidate_fibroblast_state","ITGAV",1060,142,0.133962264150943,"nFeature_RNA"
"GSE130973","S2","candidate_fibroblast_state","ITGB1",1060,531,0.500943396226415,"nFeature_RNA"
"GSE130973","S2","candidate_fibroblast_state","LIMK1",1060,25,0.0235849056603774,"nFeature_RNA"
"GSE130973","S2","candidate_fibroblast_state","NF2",1060,41,0.0386792452830189,"nFeature_RNA"
"GSE130973","S2","candidate_fibroblast_state","PANX1",1060,62,0.0584905660377358,"nFeature_RNA"
"GSE130973","S2","candidate_fibroblast_state","PARVA",1060,175,0.165094339622642,"nFeature_RNA"
"GSE130973","S2","candidate_fibroblast_state","PIEZO2",1060,31,0.0292452830188679,"nFeature_RNA"
"GSE130973","S2","candidate_fibroblast_state","TEAD1",1060,131,0.123584905660377,"nFeature_RNA"
"GSE130973","S2","candidate_fibroblast_state","TMEM63B",1060,21,0.019811320754717,"nFeature_RNA"
"GSE130973","S3","candidate_fibroblast_state","CDC42",1253,891,0.711093375897845,"nFeature_RNA"
"GSE130973","S3","candidate_fibroblast_state","CFL1",1253,1174,0.936951316839585,"nFeature_RNA"
"GSE130973","S3","candidate_fibroblast_state","CNN2",1253,219,0.174780526735834,"nFeature_RNA"
"GSE130973","S3","candidate_fibroblast_state","FERMT2",1253,406,0.324022346368715,"nFeature_RNA"
"GSE130973","S3","candidate_fibroblast_state","ITGA2",1253,47,0.0375099760574621,"nFeature_RNA"
"GSE130973","S3","candidate_fibroblast_state","ITGA5",1253,250,0.19952114924182,"nFeature_RNA"
"GSE130973","S3","candidate_fibroblast_state","ITGAV",1253,386,0.30806065442937,"nFeature_RNA"
"GSE130973","S3","candidate_fibroblast_state","ITGB1",1253,832,0.664006384676776,"nFeature_RNA"
"GSE130973","S3","candidate_fibroblast_state","LIMK1",1253,40,0.0319233838786911,"nFeature_RNA"
"GSE130973","S3","candidate_fibroblast_state","NF2",1253,57,0.0454908220271349,"nFeature_RNA"
"GSE130973","S3","candidate_fibroblast_state","PANX1",1253,156,0.124501197126895,"nFeature_RNA"
"GSE130973","S3","candidate_fibroblast_state","PARVA",1253,223,0.177972865123703,"nFeature_RNA"
"GSE130973","S3","candidate_fibroblast_state","PIEZO2",1253,28,0.0223463687150838,"nFeature_RNA"
"GSE130973","S3","candidate_fibroblast_state","TEAD1",1253,267,0.213088587390263,"nFeature_RNA"
"GSE130973","S3","candidate_fibroblast_state","TMEM63B",1253,40,0.0319233838786911,"nFeature_RNA"
"GSE130973","S4","candidate_fibroblast_state","CDC42",641,390,0.608424336973479,"nFeature_RNA"
"GSE130973","S4","candidate_fibroblast_state","CFL1",641,522,0.814352574102964,"nFeature_RNA"
"GSE130973","S4","candidate_fibroblast_state","CNN2",641,91,0.141965678627145,"nFeature_RNA"
"GSE130973","S4","candidate_fibroblast_state","FERMT2",641,189,0.294851794071763,"nFeature_RNA"
"GSE130973","S4","candidate_fibroblast_state","ITGA2",641,12,0.0187207488299532,"nFeature_RNA"
"GSE130973","S4","candidate_fibroblast_state","ITGA5",641,104,0.162246489859594,"nFeature_RNA"
"GSE130973","S4","candidate_fibroblast_state","ITGAV",641,112,0.174726989079563,"nFeature_RNA"
"GSE130973","S4","candidate_fibroblast_state","ITGB1",641,354,0.552262090483619,"nFeature_RNA"
"GSE130973","S4","candidate_fibroblast_state","LIMK1",641,6,0.0093603744149766,"nFeature_RNA"
"GSE130973","S4","candidate_fibroblast_state","NF2",641,20,0.031201248049922,"nFeature_RNA"
"GSE130973","S4","candidate_fibroblast_state","PANX1",641,64,0.0998439937597504,"nFeature_RNA"
"GSE130973","S4","candidate_fibroblast_state","PARVA",641,66,0.102964118564743,"nFeature_RNA"
"GSE130973","S4","candidate_fibroblast_state","PIEZO2",641,11,0.0171606864274571,"nFeature_RNA"
"GSE130973","S4","candidate_fibroblast_state","TEAD1",641,74,0.115444617784711,"nFeature_RNA"
"GSE130973","S4","candidate_fibroblast_state","TMEM63B",641,23,0.0358814352574103,"nFeature_RNA"
"GSE130973","S5","candidate_fibroblast_state","CDC42",2450,1198,0.488979591836735,"nFeature_RNA"
"GSE130973","S5","candidate_fibroblast_state","CFL1",2450,1465,0.597959183673469,"nFeature_RNA"
"GSE130973","S5","candidate_fibroblast_state","CNN2",2450,246,0.100408163265306,"nFeature_RNA"
"GSE130973","S5","candidate_fibroblast_state","FERMT2",2450,399,0.162857142857143,"nFeature_RNA"
"GSE130973","S5","candidate_fibroblast_state","ITGA2",2450,7,0.00285714285714286,"nFeature_RNA"
"GSE130973","S5","candidate_fibroblast_state","ITGA5",2450,228,0.0930612244897959,"nFeature_RNA"
"GSE130973","S5","candidate_fibroblast_state","ITGAV",2450,441,0.18,"nFeature_RNA"
"GSE130973","S5","candidate_fibroblast_state","ITGB1",2450,1185,0.483673469387755,"nFeature_RNA"
"GSE130973","S5","candidate_fibroblast_state","LIMK1",2450,34,0.0138775510204082,"nFeature_RNA"
"GSE130973","S5","candidate_fibroblast_state","NF2",2450,40,0.0163265306122449,"nFeature_RNA"
"GSE130973","S5","candidate_fibroblast_state","PANX1",2450,73,0.0297959183673469,"nFeature_RNA"
"GSE130973","S5","candidate_fibroblast_state","PARVA",2450,143,0.0583673469387755,"nFeature_RNA"
"GSE130973","S5","candidate_fibroblast_state","PIEZO2",2450,49,0.02,"nFeature_RNA"
"GSE130973","S5","candidate_fibroblast_state","TEAD1",2450,279,0.113877551020408,"nFeature_RNA"
"GSE130973","S5","candidate_fibroblast_state","TMEM63B",2450,35,0.0142857142857143,"nFeature_RNA"
