source,sample_id,target_state,pair_family,gene_a,gene_b,cells,gene_a_detection_rate,gene_b_detection_rate,observed_co_detection_rate,expected_independence_rate,excess_co_detection_rate,co_detection_enrichment_ratio,permutation_p_one_sided,permutation_reps,library_size_stratified,library_size_field
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_actomyosin,ITGAV,CFL1,3169,0.0,0.8573682549700221,0.0,0.0,0.0,nan,1.0,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_actomyosin,ITGAV,LIMK1,3169,0.0,0.0665825181445251,0.0,0.0,0.0,nan,1.0,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_actomyosin,ITGAV,CNN2,3169,0.0,0.1887030609024929,0.0,0.0,0.0,nan,1.0,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_actomyosin,ITGAV,CDC42,3169,0.0,0.5263490059955822,0.0,0.0,0.0,nan,1.0,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_actomyosin,ITGB1,CFL1,3169,0.8630482802145787,0.8573682549700221,0.7604922688545283,0.739950197962452,0.02054207089207627,1.0277614236047798,0.004975124378109453,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_actomyosin,ITGB1,LIMK1,3169,0.8630482802145787,0.0665825181445251,0.0577469233196592,0.05746392777698836,0.00028299554267084,1.0049247511198525,0.48258706467661694,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_actomyosin,ITGB1,CNN2,3169,0.8630482802145787,0.1887030609024929,0.16661407384032817,0.1628598521831234,0.003754221657204765,1.023051854750448,0.04975124378109453,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_actomyosin,ITGB1,CDC42,3169,0.8630482802145787,0.5263490059955822,0.47301988008835594,0.4542646044171402,0.01875527567121571,1.0412871165590378,0.004975124378109453,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_actomyosin,ITGA2,CFL1,3169,0.010097822656989587,0.8573682549700221,0.009151151782896813,0.008657552590419913,0.0004935991924768998,1.0570137099742363,0.30845771144278605,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_actomyosin,ITGA2,LIMK1,3169,0.010097822656989587,0.0665825181445251,0.0009466708740927738,0.0006723384602792058,0.000274332413813568,1.408027251184834,0.35323383084577115,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_actomyosin,ITGA2,CNN2,3169,0.010097822656989587,0.1887030609024929,0.001577784790154623,0.0019054900438244785,-0.0003277052536698555,0.8280204849498329,0.736318407960199,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_actomyosin,ITGA2,CDC42,3169,0.010097822656989587,0.5263490059955822,0.006942253076680341,0.005314978918226138,0.0016272741584542026,1.306167565947242,0.05970149253731343,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_actomyosin,PARVA,CFL1,3169,0.32691700852003786,0.8573682549700221,0.2940990848848217,0.2802882651148447,0.013810819769977,1.0492736282209967,0.004975124378109453,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_actomyosin,PARVA,LIMK1,3169,0.32691700852003786,0.0665825181445251,0.02492899968444304,0.021766957651539284,0.0031620420329037564,1.145267982945708,0.05970149253731343,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_actomyosin,PARVA,CNN2,3169,0.32691700852003786,0.1887030609024929,0.06437361943830862,0.061690240168817495,0.0026833792694911235,1.0434976304541523,0.21393034825870647,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_actomyosin,PARVA,CDC42,3169,0.32691700852003786,0.5263490059955822,0.19406752918901862,0.1720724424775712,0.021995086711447426,1.1278245743173803,0.004975124378109453,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_actomyosin,ITGA5,CFL1,3169,0.35531713474282106,0.8573682549700221,0.3108236036604607,0.3046376317754007,0.006185971885059982,1.0203060004406175,0.029850746268656716,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_actomyosin,ITGA5,LIMK1,3169,0.35531713474282106,0.0665825181445251,0.023982328810350267,0.02365790957107455,0.0003244192392757167,1.0137129292130007,0.5024875621890548,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_actomyosin,ITGA5,CNN2,3169,0.35531713474282106,0.1887030609024929,0.0732092142631745,0.06704943091707384,0.006159783346100664,1.091869286015552,0.05970149253731343,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_actomyosin,ITGA5,CDC42,3169,0.35531713474282106,0.5263490059955822,0.19312085831492584,0.18702082068508222,0.006100037629843624,1.032616890501808,0.1044776119402985,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_actomyosin,FERMT2,CFL1,3169,0.5739981066582518,0.8573682549700221,0.5074155885137267,0.492127755061682,0.015287833452044708,1.0310647657946637,0.004975124378109453,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_actomyosin,FERMT2,LIMK1,3169,0.5739981066582518,0.0665825181445251,0.04133796150205112,0.0382182393514961,0.003119722150555025,1.081629143662603,0.07960199004975124,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_actomyosin,FERMT2,CNN2,3169,0.5739981066582518,0.1887030609024929,0.11454717576522562,0.1083151996786477,0.006231976086577926,1.0575355638457677,0.03482587064676617,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_actomyosin,FERMT2,CDC42,3169,0.5739981066582518,0.5263490059955822,0.3218680971915431,0.30212333288291704,0.01974476430862604,1.0653533248167821,0.004975124378109453,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_mechanosensor,ITGAV,PIEZO2,3169,0.0,0.12369832754812243,0.0,0.0,0.0,nan,1.0,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_mechanosensor,ITGAV,TMEM63B,3169,0.0,0.061533606816030297,0.0,0.0,0.0,nan,1.0,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_mechanosensor,ITGAV,PANX1,3169,0.0,0.052698011991164403,0.0,0.0,0.0,nan,1.0,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_mechanosensor,ITGB1,PIEZO2,3169,0.8630482802145787,0.12369832754812243,0.10602713789839066,0.10675762885582671,-0.0007304909574360474,0.9931574823713765,0.7014925373134329,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_mechanosensor,ITGB1,TMEM63B,3169,0.8630482802145787,0.061533606816030297,0.05490691069738088,0.05310647353797502,0.0018004371594058585,1.033902404725074,0.13930348258706468,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_mechanosensor,ITGB1,PANX1,3169,0.8630482802145787,0.052698011991164403,0.04764910066266961,0.04548092861970168,0.0021681720429679308,1.0476721146372705,0.07462686567164178,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_mechanosensor,ITGA2,PIEZO2,3169,0.010097822656989587,0.12369832754812243,0.0012622278321236984,0.00124908377454715,1.3144057576548436e-05,1.0105229591836735,0.5671641791044776,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_mechanosensor,ITGA2,TMEM63B,3169,0.010097822656989587,0.061533606816030297,0.0,0.0006213554490731996,-0.0006213554490731996,0.0,1.0,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_mechanosensor,ITGA2,PANX1,3169,0.010097822656989587,0.052698011991164403,0.0012622278321236984,0.0005321351794626888,0.0007300926526610095,2.372005988023952,0.06467661691542288,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_mechanosensor,PARVA,PIEZO2,3169,0.32691700852003786,0.12369832754812243,0.03818239192174187,0.04043908720096397,-0.0022566952792221,0.944195197383973,0.7711442786069652,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_mechanosensor,PARVA,TMEM63B,3169,0.32691700852003786,0.061533606816030297,0.02272010097822657,0.020116382663744835,0.0026037183144817337,1.1294327294327293,0.0845771144278607,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_mechanosensor,PARVA,PANX1,3169,0.32691700852003786,0.052698011991164403,0.0192489744398864,0.01722787643510455,0.002021098004781851,1.1173155619263406,0.1890547263681592,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_mechanosensor,ITGA5,PIEZO2,3169,0.35531713474282106,0.12369832754812243,0.049226885452824234,0.04395213531687783,0.005274750135946402,1.1200112371769313,0.05970149253731343,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_mechanosensor,ITGA5,TMEM63B,3169,0.35531713474282106,0.061533606816030297,0.027137898390659516,0.021863944864263213,0.005273953526396303,1.2412169239877942,0.01990049751243781,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_mechanosensor,ITGA5,PANX1,3169,0.35531713474282106,0.052698011991164403,0.017986746607762703,0.018724506627343363,-0.0007377600195806605,0.9605992278320802,0.681592039800995,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_mechanosensor,FERMT2,PIEZO2,3169,0.5739981066582518,0.12369832754812243,0.06879141685074155,0.07100260580941455,-0.002211188958672991,0.968857636512549,0.7611940298507462,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_mechanosensor,FERMT2,TMEM63B,3169,0.5739981066582518,0.061533606816030297,0.037866834963710946,0.03532017380825469,0.0025466611554562577,1.0721021694083814,0.14925373134328357,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_mechanosensor,FERMT2,PANX1,3169,0.5739981066582518,0.052698011991164403,0.03313348059324708,0.03024855910758222,0.0028849214856648646,1.09537384823536,0.0845771144278607,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_hippo,ITGAV,NF2,3169,0.0,0.09719154307352477,0.0,0.0,0.0,nan,1.0,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_hippo,ITGAV,TEAD1,3169,0.0,0.24076995897759546,0.0,0.0,0.0,nan,1.0,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_hippo,ITGB1,NF2,3169,0.8630482802145787,0.09719154307352477,0.08898706216472073,0.08388099410100672,0.0051060680637140116,1.0608727652603336,0.004975124378109453,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_hippo,ITGB1,TEAD1,3169,0.8630482802145787,0.24076995897759546,0.22120542757967812,0.20779609902294843,0.013409328556729688,1.0645311852329278,0.004975124378109453,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_hippo,ITGA2,NF2,3169,0.010097822656989587,0.09719154307352477,0.0012622278321236984,0.0009814229657156177,0.00028080486640808065,1.28612012987013,0.31840796019900497,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_hippo,ITGA2,TEAD1,3169,0.010097822656989587,0.24076995897759546,0.002208898706216472,0.002431252346886417,-0.00022235364066994483,0.9085435779816513,0.6616915422885572,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_hippo,PARVA,NF2,3169,0.32691700852003786,0.09719154307352477,0.03565793625749448,0.03177356851504312,0.003884367742451357,1.1222515418943992,0.07462686567164178,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_hippo,PARVA,TEAD1,3169,0.32691700852003786,0.24076995897759546,0.09687598611549385,0.07871179473044773,0.018164191385046116,1.23076835494922,0.004975124378109453,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_hippo,ITGA5,NF2,3169,0.35531713474282106,0.09719154307352477,0.037866834963710946,0.0345338206061183,0.003333014357592645,1.0965144979354569,0.0945273631840796,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_hippo,ITGA5,TEAD1,3169,0.35531713474282106,0.24076995897759546,0.08961817608078258,0.08554969195606578,0.0040684841247168035,1.0475569698930791,0.12437810945273632,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_hippo,FERMT2,NF2,3169,0.5739981066582518,0.09719154307352477,0.05964026506784475,0.05578776170739715,0.0038525033604475956,1.0690564246089258,0.08955223880597014,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155880,F7: Fascia-like myofibroblast,integrin_x_hippo,FERMT2,TEAD1,3169,0.5739981066582518,0.24076995897759546,0.15146733985484379,0.13820150059332476,0.01326583926151903,1.0959891115839286,0.004975124378109453,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155881,F7: Fascia-like myofibroblast,integrin_x_actomyosin,ITGAV,CFL1,1290,0.0,0.7178294573643411,0.0,0.0,0.0,nan,1.0,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155881,F7: Fascia-like myofibroblast,integrin_x_actomyosin,ITGAV,LIMK1,1290,0.0,0.12248062015503876,0.0,0.0,0.0,nan,1.0,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155881,F7: Fascia-like myofibroblast,integrin_x_actomyosin,ITGAV,CNN2,1290,0.0,0.28837209302325584,0.0,0.0,0.0,nan,1.0,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155881,F7: Fascia-like myofibroblast,integrin_x_actomyosin,ITGAV,CDC42,1290,0.0,0.5728682170542636,0.0,0.0,0.0,nan,1.0,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155881,F7: Fascia-like myofibroblast,integrin_x_actomyosin,ITGB1,CFL1,1290,0.8813953488372093,0.7178294573643411,0.6728682170542636,0.632691544979268,0.040176672074995534,1.0635011995874104,0.004975124378109453,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155881,F7: Fascia-like myofibroblast,integrin_x_actomyosin,ITGB1,LIMK1,1290,0.8813953488372093,0.12248062015503876,0.11317829457364341,0.10795384892734812,0.005224445646295289,1.0483951771817908,0.029850746268656716,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155881,F7: Fascia-like myofibroblast,integrin_x_actomyosin,ITGB1,CNN2,1290,0.8813953488372093,0.28837209302325584,0.27674418604651163,0.2541698215251487,0.02257436452136291,1.0888160694527194,0.004975124378109453,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155881,F7: Fascia-like myofibroblast,integrin_x_actomyosin,ITGB1,CDC42,1290,0.8813953488372093,0.5728682170542636,0.5426356589147286,0.5049233820082928,0.03771227690643586,1.0746891077938168,0.004975124378109453,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155881,F7: Fascia-like myofibroblast,integrin_x_actomyosin,ITGA2,CFL1,1290,0.024806201550387597,0.7178294573643411,0.020155038759689922,0.017806622198185205,0.0023484165615047167,1.1318844492440605,0.1791044776119403,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155881,F7: Fascia-like myofibroblast,integrin_x_actomyosin,ITGA2,LIMK1,1290,0.024806201550387597,0.12248062015503876,0.0031007751937984496,0.003038278949582357,6.249624421609265e-05,1.0205696202531644,0.5920398009950248,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155881,F7: Fascia-like myofibroblast,integrin_x_actomyosin,ITGA2,CNN2,1290,0.024806201550387597,0.28837209302325584,0.006201550387596899,0.007153416261042005,-0.0009518658734451058,0.8669354838709677,0.7611940298507462,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155881,F7: Fascia-like myofibroblast,integrin_x_actomyosin,ITGA2,CDC42,1290,0.024806201550387597,0.5728682170542636,0.018604651162790697,0.014210684454059251,0.004393966708731446,1.3092016238159674,0.024875621890547265,200,False,NOT_AVAILABLE
