source,gene,found_in_atlas,atlas_gene_index_zero_based,used_in_S1_pair_analysis
PRJNA607098,ACTA2,True,3419,False
PRJNA607098,ADM,True,9041,False
PRJNA607098,AJUBA,True,6074,False
PRJNA607098,AMOTL1,True,11583,False
PRJNA607098,AMOTL2,True,4207,False
PRJNA607098,ANKRD1,True,9012,False
PRJNA607098,AREG,True,3622,False
PRJNA607098,ASIC1,True,3786,False
PRJNA607098,ASIC2,True,3539,False
PRJNA607098,ASIC3,True,18294,False
PRJNA607098,ATF3,True,10685,False
PRJNA607098,BCAR1,True,681,False
PRJNA607098,BIRC5,True,1834,False
PRJNA607098,BNIP3,True,13761,False
PRJNA607098,CA9,True,3362,False
PRJNA607098,CAV1,True,3202,False
PRJNA607098,CCL2,True,3541,False
PRJNA607098,CCNA2,True,8591,False
PRJNA607098,CCNB1,True,6742,False
PRJNA607098,CCNB2,True,9978,False
PRJNA607098,CDC20,True,4661,False
PRJNA607098,CDC42,True,1126,True
PRJNA607098,CDK1,True,12594,False
PRJNA607098,CDK2,True,5324,False
PRJNA607098,CENPF,True,4713,False
PRJNA607098,CFL1,True,13153,True
PRJNA607098,CNN1,True,6147,False
PRJNA607098,CNN2,True,886,True
PRJNA607098,COL1A1,True,3557,False
PRJNA607098,COL1A2,True,11264,False
PRJNA607098,COL3A1,True,12208,False
PRJNA607098,COL5A1,True,6225,False
PRJNA607098,COL5A2,True,17453,False
PRJNA607098,COL6A1,True,8103,False
PRJNA607098,COL6A2,True,8106,False
PRJNA607098,COL6A3,True,10834,False
PRJNA607098,CTGF,False,,False
PRJNA607098,CTHRC1,True,11325,False
PRJNA607098,CXCL1,True,10968,False
PRJNA607098,CXCL2,True,1508,False
PRJNA607098,CXCL3,True,10963,False
PRJNA607098,CXCL8,True,12405,False
PRJNA607098,CYR61,False,,False
PRJNA607098,DAG1,True,13278,False
PRJNA607098,DDIT4,True,12125,False
PRJNA607098,DIAPH1,True,6386,False
PRJNA607098,EGLN1,True,7056,False
PRJNA607098,EGLN2,True,31223,False
PRJNA607098,EGLN3,True,6081,False
PRJNA607098,ENO1,True,1266,False
PRJNA607098,EPAS1,True,4478,False
PRJNA607098,FAP,True,1399,False
PRJNA607098,FERMT2,True,1227,True
PRJNA607098,FLNA,True,16603,False
PRJNA607098,FN1,True,4383,False
PRJNA607098,FOS,True,12601,False
PRJNA607098,FOSB,True,5635,False
PRJNA607098,FOSL2,True,1300,False
PRJNA607098,FYN,True,270,False
PRJNA607098,GSN,True,8947,False
PRJNA607098,HIF1A,True,2345,False
PRJNA607098,HK2,True,10217,False
PRJNA607098,ICAM1,True,1859,False
PRJNA607098,IL1B,True,5609,False
PRJNA607098,IL6,True,7156,False
PRJNA607098,ILK,True,11662,False
PRJNA607098,INHBA,True,5238,False
PRJNA607098,ITGA1,True,18389,False
PRJNA607098,ITGA11,True,7446,False
PRJNA607098,ITGA2,True,11125,True
PRJNA607098,ITGA5,True,10478,True
PRJNA607098,ITGA6,True,1911,False
PRJNA607098,ITGA8,True,1391,False
PRJNA607098,ITGAV,True,7579,True
PRJNA607098,ITGB1,True,9172,True
PRJNA607098,ITGB3,True,28205,False
PRJNA607098,ITGB5,True,1566,False
PRJNA607098,JUN,True,14027,False
PRJNA607098,JUND,True,6207,False
PRJNA607098,KCNK2,True,1557,False
PRJNA607098,KCNK4,True,14819,False
PRJNA607098,LATS1,True,6308,False
PRJNA607098,LATS2,True,9189,False
PRJNA607098,LDHA,True,6801,False
PRJNA607098,LIMK1,True,3319,True
PRJNA607098,LOX,True,4099,False
PRJNA607098,LOXL2,True,6733,False
PRJNA607098,MCM2,True,1210,False
PRJNA607098,MCM3,True,3966,False
PRJNA607098,MCM4,True,2931,False
PRJNA607098,MCM5,True,2232,False
PRJNA607098,MCM6,True,1322,False
PRJNA607098,MCM7,True,11713,False
PRJNA607098,MKI67,True,9024,False
PRJNA607098,MMP14,True,9954,False
PRJNA607098,MMP2,True,1719,False
PRJNA607098,MYL9,True,2481,False
PRJNA607098,MYLK,True,926,False
PRJNA607098,NDRG1,True,2896,False
PRJNA607098,NF2,True,15739,True
PRJNA607098,NFKB1,True,3621,False
PRJNA607098,NFKB2,True,1360,False
PRJNA607098,P2RX4,True,6933,False
PRJNA607098,P2RX7,True,1795,False
PRJNA607098,PANX1,True,3722,True
PRJNA607098,PARVA,True,16819,True
PRJNA607098,PCNA,True,6549,False
PRJNA607098,PDGFA,True,16754,False
PRJNA607098,PDGFB,True,2239,False
PRJNA607098,PDGFC,True,8600,False
PRJNA607098,PDGFRA,True,6884,False
PRJNA607098,PDGFRB,True,4181,False
PRJNA607098,PDK1,True,9399,False
PRJNA607098,PFKFB3,True,12651,False
PRJNA607098,PFN1,True,3511,False
PRJNA607098,PGK1,True,2615,False
PRJNA607098,PIEZO1,True,2781,False
PRJNA607098,PIEZO2,True,9694,True
PRJNA607098,PKD1,True,223,False
PRJNA607098,PKD2,True,4802,False
PRJNA607098,POSTN,True,6634,False
PRJNA607098,PTGS2,True,1231,False
PRJNA607098,PTK2,True,12398,False
PRJNA607098,PXN,True,1810,False
PRJNA607098,RAC1,True,7153,False
PRJNA607098,RELA,True,13209,False
PRJNA607098,RELB,True,2955,False
PRJNA607098,RHOA,True,1005,False
PRJNA607098,RHOB,True,8385,False
PRJNA607098,ROCK1,True,1016,False
PRJNA607098,ROCK2,True,6795,False
PRJNA607098,SAV1,True,9339,False
PRJNA607098,SERPINE1,True,3270,False
PRJNA607098,SLC2A1,True,4659,False
PRJNA607098,SMAD2,True,13631,False
PRJNA607098,SMAD3,True,11821,False
PRJNA607098,SMAD4,True,8059,False
PRJNA607098,SMAD7,True,2541,False
PRJNA607098,SNAI1,True,5428,False
PRJNA607098,SOCS3,True,15278,False
PRJNA607098,SPARC,True,4104,False
PRJNA607098,SRC,True,16659,False
PRJNA607098,STAT3,True,12219,False
PRJNA607098,STK3,True,2889,False
PRJNA607098,STK4,True,2421,False
PRJNA607098,TAGLN,True,9127,False
PRJNA607098,TEAD1,True,15843,True
PRJNA607098,TEAD2,True,1245,False
PRJNA607098,TEAD3,True,189,False
PRJNA607098,TEAD4,True,16882,False
PRJNA607098,TGFB1,True,3053,False
PRJNA607098,TGFB2,True,1977,False
PRJNA607098,TGFB3,True,4898,False
PRJNA607098,TGFBR1,True,3333,False
PRJNA607098,TGFBR2,True,10880,False
PRJNA607098,THBS1,True,7441,False
PRJNA607098,THBS2,True,15687,False
PRJNA607098,TIMP1,True,2633,False
PRJNA607098,TIMP2,True,519,False
PRJNA607098,TIMP3,True,2210,False
PRJNA607098,TLN1,True,7313,False
PRJNA607098,TLN2,True,12969,False
PRJNA607098,TMEM150C,True,24898,False
PRJNA607098,TMEM63A,True,16381,False
PRJNA607098,TMEM63B,True,7343,True
PRJNA607098,TNC,True,573,False
PRJNA607098,TNF,True,21807,False
PRJNA607098,TOP2A,True,6413,False
PRJNA607098,TPM1,True,7868,False
PRJNA607098,TPM2,True,17035,False
PRJNA607098,TRPA1,True,2875,False
PRJNA607098,TRPC1,True,8539,False
PRJNA607098,TRPC3,True,7629,False
PRJNA607098,TRPC6,True,7413,False
PRJNA607098,TRPV4,True,3818,False
PRJNA607098,UBE2C,True,13564,False
PRJNA607098,VCL,True,513,False
PRJNA607098,VEGFA,True,4062,False
PRJNA607098,WWTR1,True,377,False
PRJNA607098,YAP1,True,7419,False
PRJNA607098,ZEB1,True,8999,False
