"source","sample_id","target_state","pair_family","gene_a","gene_b","cells","gene_a_detection_rate","gene_b_detection_rate","observed_co_detection_rate","expected_independence_rate","excess_co_detection_rate","co_detection_enrichment_ratio","permutation_p_one_sided","permutation_reps","library_size_stratified","library_size_field"
"PRJNA607098","SRS6155880","F7: Fascia-like myofibroblast","integrin_x_actomyosin","ITGAV","CFL1",3169,0,0.857368254970022,0,0,0,NA,1,200,"False","NOT_AVAILABLE"
"PRJNA607098","SRS6155880","F7: Fascia-like myofibroblast","integrin_x_actomyosin","ITGAV","LIMK1",3169,0,0.0665825181445251,0,0,0,NA,1,200,"False","NOT_AVAILABLE"
"PRJNA607098","SRS6155880","F7: Fascia-like myofibroblast","integrin_x_actomyosin","ITGAV","CNN2",3169,0,0.188703060902493,0,0,0,NA,1,200,"False","NOT_AVAILABLE"
"PRJNA607098","SRS6155880","F7: Fascia-like myofibroblast","integrin_x_actomyosin","ITGAV","CDC42",3169,0,0.526349005995582,0,0,0,NA,1,200,"False","NOT_AVAILABLE"
"PRJNA607098","SRS6155880","F7: Fascia-like myofibroblast","integrin_x_actomyosin","ITGB1","CFL1",3169,0.863048280214579,0.857368254970022,0.760492268854528,0.739950197962452,0.0205420708920763,1.02776142360478,0.00497512437810945,200,"False","NOT_AVAILABLE"
"PRJNA607098","SRS6155880","F7: Fascia-like myofibroblast","integrin_x_actomyosin","ITGB1","LIMK1",3169,0.863048280214579,0.0665825181445251,0.0577469233196592,0.0574639277769884,0.00028299554267084,1.00492475111985,0.482587064676617,200,"False","NOT_AVAILABLE"
"PRJNA607098","SRS6155880","F7: Fascia-like myofibroblast","integrin_x_actomyosin","ITGB1","CNN2",3169,0.863048280214579,0.188703060902493,0.166614073840328,0.162859852183123,0.00375422165720476,1.02305185475045,0.0497512437810945,200,"False","NOT_AVAILABLE"
"PRJNA607098","SRS6155880","F7: Fascia-like myofibroblast","integrin_x_actomyosin","ITGB1","CDC42",3169,0.863048280214579,0.526349005995582,0.473019880088356,0.45426460441714,0.0187552756712157,1.04128711655904,0.00497512437810945,200,"False","NOT_AVAILABLE"
"PRJNA607098","SRS6155880","F7: Fascia-like myofibroblast","integrin_x_actomyosin","ITGA2","CFL1",3169,0.0100978226569896,0.857368254970022,0.00915115178289681,0.00865755259041991,0.0004935991924769,1.05701370997424,0.308457711442786,200,"False","NOT_AVAILABLE"
"PRJNA607098","SRS6155880","F7: Fascia-like myofibroblast","integrin_x_actomyosin","ITGA2","LIMK1",3169,0.0100978226569896,0.0665825181445251,0.000946670874092774,0.000672338460279206,0.000274332413813568,1.40802725118483,0.353233830845771,200,"False","NOT_AVAILABLE"
"PRJNA607098","SRS6155880","F7: Fascia-like myofibroblast","integrin_x_actomyosin","ITGA2","CNN2",3169,0.0100978226569896,0.188703060902493,0.00157778479015462,0.00190549004382448,-0.000327705253669855,0.828020484949833,0.736318407960199,200,"False","NOT_AVAILABLE"
"PRJNA607098","SRS6155880","F7: Fascia-like myofibroblast","integrin_x_actomyosin","ITGA2","CDC42",3169,0.0100978226569896,0.526349005995582,0.00694225307668034,0.00531497891822614,0.0016272741584542,1.30616756594724,0.0597014925373134,200,"False","NOT_AVAILABLE"
"PRJNA607098","SRS6155880","F7: Fascia-like myofibroblast","integrin_x_actomyosin","PARVA","CFL1",3169,0.326917008520038,0.857368254970022,0.294099084884822,0.280288265114845,0.013810819769977,1.049273628221,0.00497512437810945,200,"False","NOT_AVAILABLE"
"PRJNA607098","SRS6155880","F7: Fascia-like myofibroblast","integrin_x_actomyosin","PARVA","LIMK1",3169,0.326917008520038,0.0665825181445251,0.024928999684443,0.0217669576515393,0.00316204203290376,1.14526798294571,0.0597014925373134,200,"False","NOT_AVAILABLE"
"PRJNA607098","SRS6155880","F7: Fascia-like myofibroblast","integrin_x_actomyosin","PARVA","CNN2",3169,0.326917008520038,0.188703060902493,0.0643736194383086,0.0616902401688175,0.00268337926949112,1.04349763045415,0.213930348258706,200,"False","NOT_AVAILABLE"
"PRJNA607098","SRS6155880","F7: Fascia-like myofibroblast","integrin_x_actomyosin","PARVA","CDC42",3169,0.326917008520038,0.526349005995582,0.194067529189019,0.172072442477571,0.0219950867114474,1.12782457431738,0.00497512437810945,200,"False","NOT_AVAILABLE"
"PRJNA607098","SRS6155880","F7: Fascia-like myofibroblast","integrin_x_actomyosin","ITGA5","CFL1",3169,0.355317134742821,0.857368254970022,0.310823603660461,0.304637631775401,0.00618597188505998,1.02030600044062,0.0298507462686567,200,"False","NOT_AVAILABLE"
"PRJNA607098","SRS6155880","F7: Fascia-like myofibroblast","integrin_x_actomyosin","ITGA5","LIMK1",3169,0.355317134742821,0.0665825181445251,0.0239823288103503,0.0236579095710746,0.000324419239275717,1.013712929213,0.502487562189055,200,"False","NOT_AVAILABLE"
"PRJNA607098","SRS6155880","F7: Fascia-like myofibroblast","integrin_x_actomyosin","ITGA5","CNN2",3169,0.355317134742821,0.188703060902493,0.0732092142631745,0.0670494309170738,0.00615978334610066,1.09186928601555,0.0597014925373134,200,"False","NOT_AVAILABLE"
"PRJNA607098","SRS6155880","F7: Fascia-like myofibroblast","integrin_x_actomyosin","ITGA5","CDC42",3169,0.355317134742821,0.526349005995582,0.193120858314926,0.187020820685082,0.00610003762984362,1.03261689050181,0.104477611940299,200,"False","NOT_AVAILABLE"
"PRJNA607098","SRS6155880","F7: Fascia-like myofibroblast","integrin_x_actomyosin","FERMT2","CFL1",3169,0.573998106658252,0.857368254970022,0.507415588513727,0.492127755061682,0.0152878334520447,1.03106476579466,0.00497512437810945,200,"False","NOT_AVAILABLE"
"PRJNA607098","SRS6155880","F7: Fascia-like myofibroblast","integrin_x_actomyosin","FERMT2","LIMK1",3169,0.573998106658252,0.0665825181445251,0.0413379615020511,0.0382182393514961,0.00311972215055503,1.0816291436626,0.0796019900497512,200,"False","NOT_AVAILABLE"
"PRJNA607098","SRS6155880","F7: Fascia-like myofibroblast","integrin_x_actomyosin","FERMT2","CNN2",3169,0.573998106658252,0.188703060902493,0.114547175765226,0.108315199678648,0.00623197608657793,1.05753556384577,0.0348258706467662,200,"False","NOT_AVAILABLE"
"PRJNA607098","SRS6155880","F7: Fascia-like myofibroblast","integrin_x_actomyosin","FERMT2","CDC42",3169,0.573998106658252,0.526349005995582,0.321868097191543,0.302123332882917,0.019744764308626,1.06535332481678,0.00497512437810945,200,"False","NOT_AVAILABLE"
"PRJNA607098","SRS6155880","F7: Fascia-like myofibroblast","integrin_x_mechanosensor","ITGAV","PIEZO2",3169,0,0.123698327548122,0,0,0,NA,1,200,"False","NOT_AVAILABLE"
"PRJNA607098","SRS6155880","F7: Fascia-like myofibroblast","integrin_x_mechanosensor","ITGAV","TMEM63B",3169,0,0.0615336068160303,0,0,0,NA,1,200,"False","NOT_AVAILABLE"
