"source","pair_family","gene_a","gene_b","samples","positive_samples","median_excess_co_detection_rate","IQR_excess_co_detection_rate","median_enrichment_ratio","median_permutation_p","wilcoxon_one_sided_p","BH_FDR_within_source_pair_family","descriptive_within_sample_support"
"GSE130973","integrin_x_actomyosin","FERMT2","CDC42",5,3,0.000764906740856303,0.00417276523834487,1.00452337912775,0.512437810945274,0.446369200472174,0.595158933962899,FALSE
"PRJNA607098","integrin_x_actomyosin","FERMT2","CDC42",12,12,0.0329843026154893,0.019412148408948,1.0620508346958,0.00497512437810945,0.00110886073211853,0.00266126575708446,TRUE
"GSE130973","integrin_x_actomyosin","ITGA2","CDC42",5,3,0.00176417369518492,0.00294398536382975,1.24213419485498,0.17910447761194,0.112457942007981,0.385570086884506,FALSE
"PRJNA607098","integrin_x_actomyosin","ITGA2","CDC42",12,10,0.00145322791855208,0.00182305195694567,1.14499718835468,0.308457711442786,0.0206947020045747,0.0275929360060995,TRUE
"GSE130973","integrin_x_actomyosin","ITGA5","CDC42",5,2,-0.00175233981359166,0.0107264016253649,0.978614620202214,0.616915422885572,0.342915217225803,0.548664347561285,FALSE
"PRJNA607098","integrin_x_actomyosin","ITGA5","CDC42",12,12,0.0334085814904957,0.0195410253144918,1.07406610648475,0.00497512437810945,0.00110886073211853,0.00266126575708446,TRUE
"GSE130973","integrin_x_actomyosin","ITGAV","CDC42",5,4,0.00180244892392609,0.00577334187895689,1.00793164414687,0.393034825870647,0.250092128535397,0.461708544988426,FALSE
"PRJNA607098","integrin_x_actomyosin","ITGAV","CDC42",12,0,0,0,NA,1,1,1,FALSE
"GSE130973","integrin_x_actomyosin","ITGB1","CDC42",5,2,-0.00239901285226071,0.0119853099106409,0.990976433228282,0.701492537313433,0.342915217225803,0.548664347561285,FALSE
"PRJNA607098","integrin_x_actomyosin","ITGB1","CDC42",12,12,0.0266772608675497,0.0143678723145804,1.04099768330531,0.00497512437810945,0.00110886073211853,0.00266126575708446,TRUE
"GSE130973","integrin_x_actomyosin","PARVA","CDC42",5,2,-0.00192906318737222,0.00704547823621633,0.973367268989722,0.701492537313433,0.553630799527826,0.664356959433391,FALSE
"PRJNA607098","integrin_x_actomyosin","PARVA","CDC42",12,12,0.0365650862301567,0.0301915716269814,1.1352129264187,0.00497512437810945,0.00110886073211853,0.00266126575708446,TRUE
"GSE130973","integrin_x_actomyosin","FERMT2","CFL1",5,4,0.00133214633325437,0.00172540402481916,1.0118713163652,0.388059701492537,0.17261553588592,0.460308095695787,FALSE
"PRJNA607098","integrin_x_actomyosin","FERMT2","CFL1",12,12,0.0177373101828406,0.0177672930414449,1.03085731131134,0.00497512437810945,0.00110886073211853,0.00266126575708446,TRUE
"GSE130973","integrin_x_actomyosin","ITGA2","CFL1",5,4,0.000444262132725905,0.000605198080372656,1.06254651655754,0.606965174129353,0.0690053687843298,0.276021475137319,FALSE
"PRJNA607098","integrin_x_actomyosin","ITGA2","CFL1",12,11,0.000762113413208677,0.00104951516999752,1.0613862560972,0.420398009950249,0.00481648788629434,0.00679974760418024,TRUE
"GSE130973","integrin_x_actomyosin","ITGA5","CFL1",5,3,0.000218473402100558,0.00260976134598528,1.0020355544175,0.532338308457711,0.446369200472174,0.595158933962899,FALSE
"PRJNA607098","integrin_x_actomyosin","ITGA5","CFL1",12,12,0.0144580949614279,0.0116103208874137,1.03025078712306,0.0174129353233831,0.00110886073211853,0.00266126575708446,TRUE
"GSE130973","integrin_x_actomyosin","ITGAV","CFL1",5,4,0.00327595192035551,0.00263045100562732,1.01121842373029,0.139303482587065,0.0690053687843298,0.276021475137319,FALSE
"PRJNA607098","integrin_x_actomyosin","ITGAV","CFL1",12,0,0,0,NA,1,1,1,FALSE
