"matrix_column","library_name","gsm_accession","tgfb_condition","tead_condition","match_status"
"Gene ID","unresolved","unresolved","unresolved","unresolved","unresolved"
"Yap164-1","unresolved","unresolved","unresolved","unresolved","unresolved"
"Yap164-2","unresolved","unresolved","unresolved","unresolved","unresolved"
"Yap164-3","unresolved","unresolved","unresolved","unresolved","unresolved"
"Yap164-4","unresolved","unresolved","unresolved","unresolved","unresolved"
"Yap164-5","unresolved","unresolved","unresolved","unresolved","unresolved"
"Yap164-6","unresolved","unresolved","unresolved","unresolved","unresolved"
"Yap164-7","unresolved","unresolved","unresolved","unresolved","unresolved"
"Yap164-8","unresolved","unresolved","unresolved","unresolved","unresolved"
"Yap164-9","unresolved","unresolved","unresolved","unresolved","unresolved"
"Yap164-10","unresolved","unresolved","unresolved","unresolved","unresolved"
"Yap164-11","unresolved","unresolved","unresolved","unresolved","unresolved"
"Yap164-12","unresolved","unresolved","unresolved","unresolved","unresolved"
