"source","gene","normalized_gene","is_frozen_candidate","present_in_processed_matrix"
"GSE338388","PIEZO1","PIEZO1",FALSE,TRUE
"GSE338388","PIEZO2","PIEZO2",TRUE,TRUE
"GSE338388","TRPV4","TRPV4",FALSE,TRUE
"GSE338388","TRPA1","TRPA1",FALSE,TRUE
"GSE338388","TRPC1","TRPC1",FALSE,TRUE
"GSE338388","TRPC3","TRPC3",FALSE,TRUE
"GSE338388","TRPC6","TRPC6",FALSE,TRUE
"GSE338388","ASIC1","ASIC1",FALSE,TRUE
"GSE338388","ASIC2","ASIC2",FALSE,TRUE
"GSE338388","ASIC3","ASIC3",FALSE,TRUE
"GSE338388","KCNK2","KCNK2",FALSE,TRUE
"GSE338388","KCNK4","KCNK4",FALSE,TRUE
"GSE338388","PKD1","PKD1",FALSE,TRUE
"GSE338388","PKD2","PKD2",FALSE,TRUE
"GSE338388","TMEM63A","TMEM63A",FALSE,TRUE
"GSE338388","TMEM63B","TMEM63B",TRUE,TRUE
"GSE338388","TMEM150C","TMEM150C",FALSE,TRUE
"GSE338388","PANX1","PANX1",TRUE,TRUE
"GSE338388","P2RX4","P2RX4",FALSE,TRUE
"GSE338388","P2RX7","P2RX7",FALSE,TRUE
"GSE338388","ITGA1","ITGA1",FALSE,TRUE
"GSE338388","ITGA2","ITGA2",TRUE,TRUE
"GSE338388","ITGA5","ITGA5",TRUE,TRUE
"GSE338388","ITGA6","ITGA6",FALSE,TRUE
"GSE338388","ITGA8","ITGA8",FALSE,TRUE
"GSE338388","ITGA11","ITGA11",FALSE,TRUE
"GSE338388","ITGAV","ITGAV",TRUE,TRUE
"GSE338388","ITGB1","ITGB1",TRUE,TRUE
"GSE338388","ITGB3","ITGB3",FALSE,TRUE
"GSE338388","ITGB5","ITGB5",FALSE,TRUE
"GSE338388","PTK2","PTK2",FALSE,TRUE
"GSE338388","SRC","SRC",FALSE,TRUE
"GSE338388","FYN","FYN",FALSE,TRUE
"GSE338388","PXN","PXN",FALSE,TRUE
"GSE338388","VCL","VCL",FALSE,TRUE
"GSE338388","TLN1","TLN1",FALSE,TRUE
"GSE338388","TLN2","TLN2",FALSE,TRUE
"GSE338388","FERMT2","FERMT2",TRUE,TRUE
"GSE338388","ILK","ILK",FALSE,TRUE
"GSE338388","PARVA","PARVA",TRUE,TRUE
"GSE338388","BCAR1","BCAR1",FALSE,TRUE
"GSE338388","CAV1","CAV1",FALSE,TRUE
"GSE338388","DAG1","DAG1",FALSE,TRUE
"GSE338388","YAP1","YAP1",FALSE,TRUE
"GSE338388","WWTR1","WWTR1",FALSE,TRUE
"GSE338388","TEAD1","TEAD1",TRUE,TRUE
"GSE338388","TEAD2","TEAD2",FALSE,TRUE
"GSE338388","TEAD3","TEAD3",FALSE,TRUE
"GSE338388","TEAD4","TEAD4",FALSE,TRUE
"GSE338388","LATS1","LATS1",FALSE,TRUE
"GSE338388","LATS2","LATS2",FALSE,TRUE
"GSE338388","STK3","STK3",FALSE,TRUE
"GSE338388","STK4","STK4",FALSE,TRUE
"GSE338388","SAV1","SAV1",FALSE,TRUE
"GSE338388","NF2","NF2",TRUE,TRUE
"GSE338388","AMOTL1","AMOTL1",FALSE,TRUE
"GSE338388","AMOTL2","AMOTL2",FALSE,TRUE
"GSE338388","AJUBA","AJUBA",FALSE,TRUE
"GSE338388","CTGF","CTGF",FALSE,FALSE
"GSE338388","CYR61","CYR61",FALSE,FALSE
"GSE338388","ANKRD1","ANKRD1",FALSE,TRUE
"GSE338388","AREG","AREG",FALSE,TRUE
"GSE338388","RHOA","RHOA",FALSE,TRUE
"GSE338388","RHOB","RHOB",FALSE,TRUE
"GSE338388","RAC1","RAC1",FALSE,TRUE
"GSE338388","CDC42","CDC42",TRUE,TRUE
"GSE338388","ROCK1","ROCK1",FALSE,TRUE
"GSE338388","ROCK2","ROCK2",FALSE,TRUE
"GSE338388","MYLK","MYLK",FALSE,TRUE
"GSE338388","MYL9","MYL9",FALSE,TRUE
"GSE338388","ACTA2","ACTA2",FALSE,TRUE
"GSE338388","TAGLN","TAGLN",FALSE,TRUE
"GSE338388","CNN1","CNN1",FALSE,TRUE
"GSE338388","CNN2","CNN2",TRUE,TRUE
"GSE338388","CFL1","CFL1",TRUE,TRUE
"GSE338388","PFN1","PFN1",FALSE,TRUE
"GSE338388","TPM1","TPM1",FALSE,TRUE
"GSE338388","TPM2","TPM2",FALSE,TRUE
"GSE338388","FLNA","FLNA",FALSE,TRUE
"GSE338388","GSN","GSN",FALSE,TRUE
"GSE338388","DIAPH1","DIAPH1",FALSE,TRUE
"GSE338388","LIMK1","LIMK1",TRUE,TRUE
"GSE338388","COL1A1","COL1A1",FALSE,TRUE
"GSE338388","COL1A2","COL1A2",FALSE,TRUE
"GSE338388","COL3A1","COL3A1",FALSE,TRUE
"GSE338388","COL5A1","COL5A1",FALSE,TRUE
"GSE338388","COL5A2","COL5A2",FALSE,TRUE
"GSE338388","COL6A1","COL6A1",FALSE,TRUE
"GSE338388","COL6A2","COL6A2",FALSE,TRUE
"GSE338388","COL6A3","COL6A3",FALSE,TRUE
