"matrix_column","matrix_sample_number","library_name","gsm_accession","tgfb_condition","tead_condition","match_status","mapping_rule"
"Yap164-1",1,"Cnt_1","GSM9872750","not_exposed","tead_not_inhibited","matched","Yap164 suffix to official description"
"Yap164-2",2,"Cnt_2","GSM9872751","not_exposed","tead_not_inhibited","matched","Yap164 suffix to official description"
"Yap164-3",3,"Cnt_3","GSM9872752","not_exposed","tead_not_inhibited","matched","Yap164 suffix to official description"
"Yap164-4",4,"K-975_1","GSM9872753","not_exposed","tead_inhibited","matched","Yap164 suffix to official description"
"Yap164-5",5,"K-975_2","GSM9872754","not_exposed","tead_inhibited","matched","Yap164 suffix to official description"
"Yap164-6",6,"K-975_3","GSM9872755","not_exposed","tead_inhibited","matched","Yap164 suffix to official description"
"Yap164-7",7,"TGF_1","GSM9872756","exposed","tead_not_inhibited","matched","Yap164 suffix to official description"
"Yap164-8",8,"TGF_2","GSM9872757","exposed","tead_not_inhibited","matched","Yap164 suffix to official description"
"Yap164-9",9,"TGF_3","GSM9872758","exposed","tead_not_inhibited","matched","Yap164 suffix to official description"
"Yap164-10",10,"TGF_K-975_1","GSM9872759","exposed","tead_inhibited","matched","Yap164 suffix to official description"
"Yap164-11",11,"TGF_K-975_2","GSM9872760","exposed","tead_inhibited","matched","Yap164 suffix to official description"
"Yap164-12",12,"TGF_K-975_3","GSM9872761","exposed","tead_inhibited","matched","Yap164 suffix to official description"
