"gse_accession","gsm_accession","biological_unit","tgfb_condition","tead_condition","design_text"
"GSE338388","GSM9872750","FIBROBLAST","ambiguous","ambiguous","Vocal fold fibroblast, Control, Replicate 1 | HVOX | cell line: HVOX | cell type: Vocal fold fibroblast | treatment: None | Library name: Cnt_1 | Yap164-1_S1_L008 | 10 ng/mL TGF-beta1 and 10 µM K-975, 12 hours"
"GSE338388","GSM9872751","FIBROBLAST","ambiguous","ambiguous","Vocal fold fibroblast, Control, Replicate 2 | HVOX | cell line: HVOX | cell type: Vocal fold fibroblast | treatment: None | Library name: Cnt_2 | Yap164-2_S2_L008 | 10 ng/mL TGF-beta1 and 10 µM K-975, 12 hours"
"GSE338388","GSM9872752","FIBROBLAST","ambiguous","ambiguous","Vocal fold fibroblast, Control, Replicate 3 | HVOX | cell line: HVOX | cell type: Vocal fold fibroblast | treatment: None | Library name: Cnt_3 | Yap164-3_S3_L008 | 10 ng/mL TGF-beta1 and 10 µM K-975, 12 hours"
"GSE338388","GSM9872753","FIBROBLAST","ambiguous","tead_inhibited","Vocal fold fibroblast, K-975, Replicate 1 | HVOX | cell line: HVOX | cell type: Vocal fold fibroblast | treatment: K-975 | Library name: K-975_1 | Yap164-4_S4_L008 | 10 ng/mL TGF-beta1 and 10 µM K-975, 12 hours"
"GSE338388","GSM9872754","FIBROBLAST","ambiguous","tead_inhibited","Vocal fold fibroblast, K-975, Replicate 2 | HVOX | cell line: HVOX | cell type: Vocal fold fibroblast | treatment: K-975 | Library name: K-975_2 | Yap164-5_S5_L008 | 10 ng/mL TGF-beta1 and 10 µM K-975, 12 hours"
"GSE338388","GSM9872755","FIBROBLAST","ambiguous","tead_inhibited","Vocal fold fibroblast, K-975, Replicate 3 | HVOX | cell line: HVOX | cell type: Vocal fold fibroblast | treatment: K-975 | Library name: K-975_3 | Yap164-6_S6_L008 | 10 ng/mL TGF-beta1 and 10 µM K-975, 12 hours"
"GSE338388","GSM9872756","FIBROBLAST","ambiguous","tead_inhibited","Vocal fold fibroblast, TGF-beta1, Replicate 1 | HVOX | cell line: HVOX | cell type: Vocal fold fibroblast | treatment: TGF-beta1 | Library name: TGF_1 | Yap164-7_S7_L008 | 10 ng/mL TGF-beta1 and 10 µM K-975, 12 hours"
"GSE338388","GSM9872757","FIBROBLAST","ambiguous","tead_inhibited","Vocal fold fibroblast, TGF-beta1, Replicate 2 | HVOX | cell line: HVOX | cell type: Vocal fold fibroblast | treatment: TGF-beta1 | Library name: TGF_2 | Yap164-8_S8_L008 | 10 ng/mL TGF-beta1 and 10 µM K-975, 12 hours"
"GSE338388","GSM9872758","FIBROBLAST","ambiguous","tead_inhibited","Vocal fold fibroblast, TGF-beta1, Replicate 3 | HVOX | cell line: HVOX | cell type: Vocal fold fibroblast | treatment: TGF-beta1 | Library name: TGF_3 | Yap164-9_S9_L008 | 10 ng/mL TGF-beta1 and 10 µM K-975, 12 hours"
"GSE338388","GSM9872759","FIBROBLAST","ambiguous","tead_inhibited","Vocal fold fibroblast, TGF-beta1, K-975, Replicate 1 | HVOX | cell line: HVOX | cell type: Vocal fold fibroblast | treatment: TGF-beta-1, K-975 | Library name: TGF_K-975_1 | Yap164-10_S10_L008 | 10 ng/mL TGF-beta1 and 10 µM K-975, 12 hours"
"GSE338388","GSM9872760","FIBROBLAST","ambiguous","tead_inhibited","Vocal fold fibroblast, TGF-beta1, K-975, Replicate 2 | HVOX | cell line: HVOX | cell type: Vocal fold fibroblast | treatment: TGF-beta-1, K-975 | Library name: TGF_K-975_2 | Yap164-11_S11_L008 | 10 ng/mL TGF-beta1 and 10 µM K-975, 12 hours"
"GSE338388","GSM9872761","FIBROBLAST","ambiguous","tead_inhibited","Vocal fold fibroblast, TGF-beta1, K-975, Replicate 3 | HVOX | cell line: HVOX | cell type: Vocal fold fibroblast | treatment: TGF-beta-1, K-975 | Library name: TGF_K-975_3 | Yap164-12_S12_L008 | 10 ng/mL TGF-beta1 and 10 µM K-975, 12 hours"
