"gse_accession","gsm_accession","title","characteristics","tgfb_condition","tead_condition","label_source","generic_treatment_protocol_excluded","condition_code"
"GSE338388","GSM9872750","Vocal fold fibroblast, Control, Replicate 1","cell line: HVOX | cell type: Vocal fold fibroblast | treatment: None","not_exposed","tead_not_inhibited","sample title + sample-level characteristics[treatment]",TRUE,"not_exposed__tead_not_inhibited"
"GSE338388","GSM9872751","Vocal fold fibroblast, Control, Replicate 2","cell line: HVOX | cell type: Vocal fold fibroblast | treatment: None","not_exposed","tead_not_inhibited","sample title + sample-level characteristics[treatment]",TRUE,"not_exposed__tead_not_inhibited"
"GSE338388","GSM9872752","Vocal fold fibroblast, Control, Replicate 3","cell line: HVOX | cell type: Vocal fold fibroblast | treatment: None","not_exposed","tead_not_inhibited","sample title + sample-level characteristics[treatment]",TRUE,"not_exposed__tead_not_inhibited"
"GSE338388","GSM9872753","Vocal fold fibroblast, K-975, Replicate 1","cell line: HVOX | cell type: Vocal fold fibroblast | treatment: K-975","not_exposed","tead_inhibited","sample title + sample-level characteristics[treatment]",TRUE,"not_exposed__tead_inhibited"
"GSE338388","GSM9872754","Vocal fold fibroblast, K-975, Replicate 2","cell line: HVOX | cell type: Vocal fold fibroblast | treatment: K-975","not_exposed","tead_inhibited","sample title + sample-level characteristics[treatment]",TRUE,"not_exposed__tead_inhibited"
"GSE338388","GSM9872755","Vocal fold fibroblast, K-975, Replicate 3","cell line: HVOX | cell type: Vocal fold fibroblast | treatment: K-975","not_exposed","tead_inhibited","sample title + sample-level characteristics[treatment]",TRUE,"not_exposed__tead_inhibited"
"GSE338388","GSM9872756","Vocal fold fibroblast, TGF-beta1, Replicate 1","cell line: HVOX | cell type: Vocal fold fibroblast | treatment: TGF-beta1","exposed","tead_not_inhibited","sample title + sample-level characteristics[treatment]",TRUE,"exposed__tead_not_inhibited"
"GSE338388","GSM9872757","Vocal fold fibroblast, TGF-beta1, Replicate 2","cell line: HVOX | cell type: Vocal fold fibroblast | treatment: TGF-beta1","exposed","tead_not_inhibited","sample title + sample-level characteristics[treatment]",TRUE,"exposed__tead_not_inhibited"
"GSE338388","GSM9872758","Vocal fold fibroblast, TGF-beta1, Replicate 3","cell line: HVOX | cell type: Vocal fold fibroblast | treatment: TGF-beta1","exposed","tead_not_inhibited","sample title + sample-level characteristics[treatment]",TRUE,"exposed__tead_not_inhibited"
"GSE338388","GSM9872759","Vocal fold fibroblast, TGF-beta1, K-975, Replicate 1","cell line: HVOX | cell type: Vocal fold fibroblast | treatment: TGF-beta-1, K-975","exposed","tead_inhibited","sample title + sample-level characteristics[treatment]",TRUE,"exposed__tead_inhibited"
"GSE338388","GSM9872760","Vocal fold fibroblast, TGF-beta1, K-975, Replicate 2","cell line: HVOX | cell type: Vocal fold fibroblast | treatment: TGF-beta-1, K-975","exposed","tead_inhibited","sample title + sample-level characteristics[treatment]",TRUE,"exposed__tead_inhibited"
"GSE338388","GSM9872761","Vocal fold fibroblast, TGF-beta1, K-975, Replicate 3","cell line: HVOX | cell type: Vocal fold fibroblast | treatment: TGF-beta-1, K-975","exposed","tead_inhibited","sample title + sample-level characteristics[treatment]",TRUE,"exposed__tead_inhibited"
