"gsm_accession","characteristic_key","characteristic_value","original_text"
"GSM9872750","cell line","HVOX","cell line: HVOX"
"GSM9872750","cell type","Vocal fold fibroblast","cell type: Vocal fold fibroblast"
"GSM9872750","treatment","None","treatment: None"
"GSM9872751","cell line","HVOX","cell line: HVOX"
"GSM9872751","cell type","Vocal fold fibroblast","cell type: Vocal fold fibroblast"
"GSM9872751","treatment","None","treatment: None"
"GSM9872752","cell line","HVOX","cell line: HVOX"
"GSM9872752","cell type","Vocal fold fibroblast","cell type: Vocal fold fibroblast"
"GSM9872752","treatment","None","treatment: None"
"GSM9872753","cell line","HVOX","cell line: HVOX"
"GSM9872753","cell type","Vocal fold fibroblast","cell type: Vocal fold fibroblast"
"GSM9872753","treatment","K-975","treatment: K-975"
"GSM9872754","cell line","HVOX","cell line: HVOX"
"GSM9872754","cell type","Vocal fold fibroblast","cell type: Vocal fold fibroblast"
"GSM9872754","treatment","K-975","treatment: K-975"
"GSM9872755","cell line","HVOX","cell line: HVOX"
"GSM9872755","cell type","Vocal fold fibroblast","cell type: Vocal fold fibroblast"
"GSM9872755","treatment","K-975","treatment: K-975"
"GSM9872756","cell line","HVOX","cell line: HVOX"
"GSM9872756","cell type","Vocal fold fibroblast","cell type: Vocal fold fibroblast"
"GSM9872756","treatment","TGF-beta1","treatment: TGF-beta1"
"GSM9872757","cell line","HVOX","cell line: HVOX"
"GSM9872757","cell type","Vocal fold fibroblast","cell type: Vocal fold fibroblast"
"GSM9872757","treatment","TGF-beta1","treatment: TGF-beta1"
"GSM9872758","cell line","HVOX","cell line: HVOX"
"GSM9872758","cell type","Vocal fold fibroblast","cell type: Vocal fold fibroblast"
"GSM9872758","treatment","TGF-beta1","treatment: TGF-beta1"
"GSM9872759","cell line","HVOX","cell line: HVOX"
"GSM9872759","cell type","Vocal fold fibroblast","cell type: Vocal fold fibroblast"
"GSM9872759","treatment","TGF-beta-1, K-975","treatment: TGF-beta-1, K-975"
"GSM9872760","cell line","HVOX","cell line: HVOX"
"GSM9872760","cell type","Vocal fold fibroblast","cell type: Vocal fold fibroblast"
"GSM9872760","treatment","TGF-beta-1, K-975","treatment: TGF-beta-1, K-975"
"GSM9872761","cell line","HVOX","cell line: HVOX"
"GSM9872761","cell type","Vocal fold fibroblast","cell type: Vocal fold fibroblast"
"GSM9872761","treatment","TGF-beta-1, K-975","treatment: TGF-beta-1, K-975"
