"gse_accession","gsm_accession","title","source_name","organism","molecule","library_strategy","characteristics","description","treatment_protocol","growth_protocol","supplementary_file"
"GSE338388","GSM9872750","Vocal fold fibroblast, Control, Replicate 1","HVOX","Homo sapiens","total RNA","RNA-Seq","cell line: HVOX | cell type: Vocal fold fibroblast | treatment: None","Library name: Cnt_1 | Yap164-1_S1_L008","10 ng/mL TGF-beta1 and 10 µM K-975, 12 hours","DMEM high glucose supplemented with 10% FBS and 1% antibiotic/antimicotic in humidified atomosphere with 5% CO2 at 37℃.",""
"GSE338388","GSM9872751","Vocal fold fibroblast, Control, Replicate 2","HVOX","Homo sapiens","total RNA","RNA-Seq","cell line: HVOX | cell type: Vocal fold fibroblast | treatment: None","Library name: Cnt_2 | Yap164-2_S2_L008","10 ng/mL TGF-beta1 and 10 µM K-975, 12 hours","DMEM high glucose supplemented with 10% FBS and 1% antibiotic/antimicotic in humidified atomosphere with 5% CO2 at 37℃.",""
"GSE338388","GSM9872752","Vocal fold fibroblast, Control, Replicate 3","HVOX","Homo sapiens","total RNA","RNA-Seq","cell line: HVOX | cell type: Vocal fold fibroblast | treatment: None","Library name: Cnt_3 | Yap164-3_S3_L008","10 ng/mL TGF-beta1 and 10 µM K-975, 12 hours","DMEM high glucose supplemented with 10% FBS and 1% antibiotic/antimicotic in humidified atomosphere with 5% CO2 at 37℃.",""
"GSE338388","GSM9872753","Vocal fold fibroblast, K-975, Replicate 1","HVOX","Homo sapiens","total RNA","RNA-Seq","cell line: HVOX | cell type: Vocal fold fibroblast | treatment: K-975","Library name: K-975_1 | Yap164-4_S4_L008","10 ng/mL TGF-beta1 and 10 µM K-975, 12 hours","DMEM high glucose supplemented with 10% FBS and 1% antibiotic/antimicotic in humidified atomosphere with 5% CO2 at 37℃.",""
"GSE338388","GSM9872754","Vocal fold fibroblast, K-975, Replicate 2","HVOX","Homo sapiens","total RNA","RNA-Seq","cell line: HVOX | cell type: Vocal fold fibroblast | treatment: K-975","Library name: K-975_2 | Yap164-5_S5_L008","10 ng/mL TGF-beta1 and 10 µM K-975, 12 hours","DMEM high glucose supplemented with 10% FBS and 1% antibiotic/antimicotic in humidified atomosphere with 5% CO2 at 37℃.",""
"GSE338388","GSM9872755","Vocal fold fibroblast, K-975, Replicate 3","HVOX","Homo sapiens","total RNA","RNA-Seq","cell line: HVOX | cell type: Vocal fold fibroblast | treatment: K-975","Library name: K-975_3 | Yap164-6_S6_L008","10 ng/mL TGF-beta1 and 10 µM K-975, 12 hours","DMEM high glucose supplemented with 10% FBS and 1% antibiotic/antimicotic in humidified atomosphere with 5% CO2 at 37℃.",""
"GSE338388","GSM9872756","Vocal fold fibroblast, TGF-beta1, Replicate 1","HVOX","Homo sapiens","total RNA","RNA-Seq","cell line: HVOX | cell type: Vocal fold fibroblast | treatment: TGF-beta1","Library name: TGF_1 | Yap164-7_S7_L008","10 ng/mL TGF-beta1 and 10 µM K-975, 12 hours","DMEM high glucose supplemented with 10% FBS and 1% antibiotic/antimicotic in humidified atomosphere with 5% CO2 at 37℃.",""
"GSE338388","GSM9872757","Vocal fold fibroblast, TGF-beta1, Replicate 2","HVOX","Homo sapiens","total RNA","RNA-Seq","cell line: HVOX | cell type: Vocal fold fibroblast | treatment: TGF-beta1","Library name: TGF_2 | Yap164-8_S8_L008","10 ng/mL TGF-beta1 and 10 µM K-975, 12 hours","DMEM high glucose supplemented with 10% FBS and 1% antibiotic/antimicotic in humidified atomosphere with 5% CO2 at 37℃.",""
"GSE338388","GSM9872758","Vocal fold fibroblast, TGF-beta1, Replicate 3","HVOX","Homo sapiens","total RNA","RNA-Seq","cell line: HVOX | cell type: Vocal fold fibroblast | treatment: TGF-beta1","Library name: TGF_3 | Yap164-9_S9_L008","10 ng/mL TGF-beta1 and 10 µM K-975, 12 hours","DMEM high glucose supplemented with 10% FBS and 1% antibiotic/antimicotic in humidified atomosphere with 5% CO2 at 37℃.",""
"GSE338388","GSM9872759","Vocal fold fibroblast, TGF-beta1, K-975, Replicate 1","HVOX","Homo sapiens","total RNA","RNA-Seq","cell line: HVOX | cell type: Vocal fold fibroblast | treatment: TGF-beta-1, K-975","Library name: TGF_K-975_1 | Yap164-10_S10_L008","10 ng/mL TGF-beta1 and 10 µM K-975, 12 hours","DMEM high glucose supplemented with 10% FBS and 1% antibiotic/antimicotic in humidified atomosphere with 5% CO2 at 37℃.",""
"GSE338388","GSM9872760","Vocal fold fibroblast, TGF-beta1, K-975, Replicate 2","HVOX","Homo sapiens","total RNA","RNA-Seq","cell line: HVOX | cell type: Vocal fold fibroblast | treatment: TGF-beta-1, K-975","Library name: TGF_K-975_2 | Yap164-11_S11_L008","10 ng/mL TGF-beta1 and 10 µM K-975, 12 hours","DMEM high glucose supplemented with 10% FBS and 1% antibiotic/antimicotic in humidified atomosphere with 5% CO2 at 37℃.",""
"GSE338388","GSM9872761","Vocal fold fibroblast, TGF-beta1, K-975, Replicate 3","HVOX","Homo sapiens","total RNA","RNA-Seq","cell line: HVOX | cell type: Vocal fold fibroblast | treatment: TGF-beta-1, K-975","Library name: TGF_K-975_3 | Yap164-12_S12_L008","10 ng/mL TGF-beta1 and 10 µM K-975, 12 hours","DMEM high glucose supplemented with 10% FBS and 1% antibiotic/antimicotic in humidified atomosphere with 5% CO2 at 37℃.",""
