"field","value"
"contact_address","435 E 30th Street"
"contact_city","New York"
"contact_country","USA"
"contact_email","nightgenesis83@gmail.com"
"contact_institute","New York University School of Medicine"
"contact_name","Ryosuke,,Nakamura"
"contact_state","NY"
"contact_zip/postal_code","10016"
"contributor","Ryosuke,,Nakamura"
"email","geo@ncbi.nlm.nih.gov"
"geo_accession","GSE338388"
"institute","NCBI NLM NIH"
"last_update_date","Jul 16 2026"
"name","Gene Expression Omnibus (GEO)"
"overall_design","RNA-seq of HVOX human vocal fold fibroblats treated or untreated with TGF-beta1 and a YAP/TAZ inhibitor, K-975."
"platform_id","GPL34284"
"platform_taxid","9606"
"relation","BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1494424"
"sample_id","GSM9872750 | GSM9872751 | GSM9872752 | GSM9872753 | GSM9872754 | GSM9872755 | GSM9872756 | GSM9872757 | GSM9872758 | GSM9872759 | GSM9872760 | GSM9872761"
"sample_taxid","9606"
"status","Public on Jul 16 2026"
"submission_date","Jul 13 2026"
"summary","SMAD2/3 and YAP/TAZ are activated by TGF-beta signaling in human vocal fold fibroblasts. This study provides transcriptomic data regarding altered gene expression following TGF-beta treatment and YAP/TAZ inhibition."
"supplementary_file","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE338nnn/GSE338388/suppl/GSE338388_Cnt-K975-TGF-TGFandK975-12h_normalizedExpression.csv.gz"
"title","Effect of TGF-beta and K-975 in HOVX human vocal fold fibroblasts [RNA-seq]"
"type","Expression profiling by high throughput sequencing"
"web_link","http://www.ncbi.nlm.nih.gov/geo"
