"source","gene","present_in_processed_matrix","present_after_variance_filter"
"GSE338388","ITGAV",TRUE,TRUE
"GSE338388","ITGB1",TRUE,TRUE
"GSE338388","ITGA2",TRUE,TRUE
"GSE338388","PARVA",TRUE,TRUE
"GSE338388","ITGA5",TRUE,TRUE
"GSE338388","FERMT2",TRUE,TRUE
"GSE338388","CFL1",TRUE,TRUE
"GSE338388","LIMK1",TRUE,TRUE
"GSE338388","CNN2",TRUE,TRUE
"GSE338388","CDC42",TRUE,TRUE
"GSE338388","PIEZO2",TRUE,TRUE
"GSE338388","TMEM63B",TRUE,TRUE
"GSE338388","PANX1",TRUE,TRUE
"GSE338388","NF2",TRUE,TRUE
"GSE338388","TEAD1",TRUE,TRUE
