"matrix_column","gsm_accession","tgfb_condition","tead_condition","condition_code"
"Yap164-1","GSM9872750","not_exposed","tead_not_inhibited","not_exposed__tead_not_inhibited"
"Yap164-2","GSM9872751","not_exposed","tead_not_inhibited","not_exposed__tead_not_inhibited"
"Yap164-3","GSM9872752","not_exposed","tead_not_inhibited","not_exposed__tead_not_inhibited"
"Yap164-4","GSM9872753","not_exposed","tead_inhibited","not_exposed__tead_inhibited"
"Yap164-5","GSM9872754","not_exposed","tead_inhibited","not_exposed__tead_inhibited"
"Yap164-6","GSM9872755","not_exposed","tead_inhibited","not_exposed__tead_inhibited"
"Yap164-7","GSM9872756","exposed","tead_not_inhibited","exposed__tead_not_inhibited"
"Yap164-8","GSM9872757","exposed","tead_not_inhibited","exposed__tead_not_inhibited"
"Yap164-9","GSM9872758","exposed","tead_not_inhibited","exposed__tead_not_inhibited"
"Yap164-10","GSM9872759","exposed","tead_inhibited","exposed__tead_inhibited"
"Yap164-11","GSM9872760","exposed","tead_inhibited","exposed__tead_inhibited"
"Yap164-12","GSM9872761","exposed","tead_inhibited","exposed__tead_inhibited"
