"gene","module","step08C2_support","step08C2_interpretation","step10B_role","gene_original","effect_log2","average_expression","t","p_value","q_genome","contrast","present_after_variance_filter","q_candidate"
"ITGAV","integrin_focal_adhesion",TRUE,"consistent_sample_level_support","confirmatory_candidate","ITGAV",0.124520532200272,4.01274082084721,6.76686715305067,9.79435836282547e-05,0.00144043411180912,"tgfb_main_effect",TRUE,0.000489717918141274
"ITGB1","integrin_focal_adhesion",TRUE,"consistent_sample_level_support","confirmatory_candidate","ITGB1",0.0931592841224704,4.19865270820813,3.00695550041409,0.0154170358713485,0.0620933631713745,"tgfb_main_effect",TRUE,0.0256950597855808
"ITGA2","integrin_focal_adhesion",FALSE,"not_supported_in_paired_sample_analysis","negative_candidate","ITGA2",0.112908350783055,3.98720147331507,4.02213638094965,0.0032466686570146,0.0193111694432173,"tgfb_main_effect",TRUE,0.0081166716425365
"PARVA","integrin_focal_adhesion",TRUE,"consistent_sample_level_support","confirmatory_candidate","PARVA",0.0130076993198638,3.9459710663301,0.956982751365163,0.364496860855138,0.514372932606742,"tgfb_main_effect",TRUE,0.390532350916219
"ITGA5","integrin_focal_adhesion",TRUE,"consistent_sample_level_support","confirmatory_candidate","ITGA5",0.00518387742061677,4.05234908285335,0.659262661570999,0.526846849651813,0.662765866135897,"tgfb_main_effect",TRUE,0.526846849651813
"FERMT2","integrin_focal_adhesion",TRUE,"consistent_sample_level_support","confirmatory_candidate","FERMT2",0.178330024166205,3.99591669837334,15.7177950839636,1.13504263448054e-07,1.21989708641691e-05,"tgfb_main_effect",TRUE,1.70256395172081e-06
"CFL1","actomyosin_rho",TRUE,"consistent_sample_level_support","confirmatory_candidate","CFL1",0.0433636277863556,4.06180218535654,2.50310035407117,0.0346182268871373,0.11298167758399,"tgfb_main_effect",TRUE,0.0472066730279145
"LIMK1","actomyosin_rho",TRUE,"consistent_sample_level_support","confirmatory_candidate","LIMK1",0.110994826463593,3.96216169897745,13.2903320443833,4.61072700792982e-07,2.91500407501341e-05,"tgfb_main_effect",TRUE,3.45804525594736e-06
"CNN2","actomyosin_rho",TRUE,"consistent_sample_level_support","confirmatory_candidate","CNN2",0.0597977776292922,3.88494612862186,5.05108411255841,0.000772878464658687,0.00659397673194469,"tgfb_main_effect",TRUE,0.00231863539397606
"CDC42","actomyosin_rho",TRUE,"consistent_sample_level_support","confirmatory_candidate","CDC42",0.0123880776145535,3.99110343777552,1.37041851017641,0.204987360900029,0.378821418099605,"tgfb_main_effect",TRUE,0.236523877961572
"PIEZO2","mechanosensor_channels",FALSE,"opposite_or_weak_sample_level_support","mechanosensor_specificity_candidate","PIEZO2",-0.0937478132560077,3.8129883012848,-3.54308816841265,0.00666704599217598,0.0331864029915221,"tgfb_main_effect",TRUE,0.0127163086463078
"TMEM63B","mechanosensor_channels",FALSE,"not_strictly_supported","mechanosensor_specificity_candidate","TMEM63B",-0.0414716495055598,3.77100003503574,-3.53194181054801,0.00678203127803085,0.0336167912642797,"tgfb_main_effect",TRUE,0.0127163086463078
