"module","role","analysis_use","NGenes","Direction","PValue","FDR","contrast"
"mechanosensor_channels","primary","mechanism_gate",20,"Down",0.0584827090552069,0.0751920544995517,"tgfb_main_effect"
"integrin_focal_adhesion","primary","core_mechanotransduction_gate",23,"Up",0.000219737197678192,0.000659211593034575,"tgfb_main_effect"
"hippo_yap_taz","primary","mechanism_gate",17,"Up",0.0124675855649005,0.0242455968532772,"tgfb_main_effect"
"actomyosin_rho","primary","core_mechanotransduction_gate",20,"Up",0.00010394523728654,0.000659211593034575,"tgfb_main_effect"
"ecm_remodeling","competitor","competing_explanation",23,"Up",0.000162639307997368,0.000659211593034575,"tgfb_main_effect"
"tgf_fibrosis","competitor","competing_explanation",19,"Up",0.0172265929501444,0.0258398894252167,"tgfb_main_effect"
"inflammation_ap1_nfkb","competitor","competing_explanation",19,"Up",0.0134697760295985,0.0242455968532772,"tgfb_main_effect"
"hypoxia","competitor","competing_explanation",18,"Up",0.667307208958761,0.667307208958761,"tgfb_main_effect"
"cell_cycle","competitor","competing_explanation",18,"Down",0.543688465720474,0.611649523935534,"tgfb_main_effect"
"mechanosensor_channels","primary","mechanism_gate",20,"Down",0.691669957381785,0.691669957381785,"tead_main_effect"
"integrin_focal_adhesion","primary","core_mechanotransduction_gate",23,"Down",0.00439837241460716,0.00791707034629289,"tead_main_effect"
"hippo_yap_taz","primary","mechanism_gate",17,"Down",0.000487015874269042,0.00146104762280713,"tead_main_effect"
"actomyosin_rho","primary","core_mechanotransduction_gate",20,"Down",1.5980901161929e-08,7.19140552286804e-08,"tead_main_effect"
"ecm_remodeling","competitor","competing_explanation",23,"Down",5.11184523029275e-10,4.60066070726347e-09,"tead_main_effect"
"tgf_fibrosis","competitor","competing_explanation",19,"Down",0.00293165356834194,0.00659622052876937,"tead_main_effect"
"inflammation_ap1_nfkb","competitor","competing_explanation",19,"Down",0.586641117772748,0.659971257494341,"tead_main_effect"
"hypoxia","competitor","competing_explanation",18,"Up",0.186005752496328,0.239150253209565,"tead_main_effect"
"cell_cycle","competitor","competing_explanation",18,"Down",0.0950909900820418,0.142636485123063,"tead_main_effect"
"mechanosensor_channels","primary","mechanism_gate",20,"Down",0.794976959095106,0.893240469400934,"tgfb_x_tead_interaction"
"integrin_focal_adhesion","primary","core_mechanotransduction_gate",23,"Down",0.000148526519340049,0.000267347734812088,"tgfb_x_tead_interaction"
"hippo_yap_taz","primary","mechanism_gate",17,"Down",0.135786528793941,0.174582679877925,"tgfb_x_tead_interaction"
"actomyosin_rho","primary","core_mechanotransduction_gate",20,"Down",1.34105931278049e-08,1.20695338150244e-07,"tgfb_x_tead_interaction"
"ecm_remodeling","competitor","competing_explanation",23,"Down",6.13989573906481e-07,1.84196872171944e-06,"tgfb_x_tead_interaction"
"tgf_fibrosis","competitor","competing_explanation",19,"Down",4.00465360771531e-08,1.80209412347189e-07,"tgfb_x_tead_interaction"
"inflammation_ap1_nfkb","competitor","competing_explanation",19,"Down",1.92666165921932e-05,4.33498873324346e-05,"tgfb_x_tead_interaction"
"hypoxia","competitor","competing_explanation",18,"Down",0.0566720767220979,0.0850081150831468,"tgfb_x_tead_interaction"
"cell_cycle","competitor","competing_explanation",18,"Down",0.893240469400934,0.893240469400934,"tgfb_x_tead_interaction"
