"source","gene","is_frozen_candidate","present_in_processed_matrix","present_after_variance_filter"
"GSE338388","PIEZO1",FALSE,TRUE,TRUE
"GSE338388","PIEZO2",TRUE,TRUE,TRUE
"GSE338388","TRPV4",FALSE,TRUE,TRUE
"GSE338388","TRPA1",FALSE,TRUE,TRUE
"GSE338388","TRPC1",FALSE,TRUE,TRUE
"GSE338388","TRPC3",FALSE,TRUE,TRUE
"GSE338388","TRPC6",FALSE,TRUE,TRUE
"GSE338388","ASIC1",FALSE,TRUE,TRUE
"GSE338388","ASIC2",FALSE,TRUE,TRUE
"GSE338388","ASIC3",FALSE,TRUE,TRUE
"GSE338388","KCNK2",FALSE,TRUE,TRUE
"GSE338388","KCNK4",FALSE,TRUE,TRUE
"GSE338388","PKD1",FALSE,TRUE,TRUE
"GSE338388","PKD2",FALSE,TRUE,TRUE
"GSE338388","TMEM63A",FALSE,TRUE,TRUE
"GSE338388","TMEM63B",TRUE,TRUE,TRUE
"GSE338388","TMEM150C",FALSE,TRUE,TRUE
"GSE338388","PANX1",TRUE,TRUE,TRUE
"GSE338388","P2RX4",FALSE,TRUE,TRUE
"GSE338388","P2RX7",FALSE,TRUE,TRUE
"GSE338388","ITGA1",FALSE,TRUE,TRUE
"GSE338388","ITGA2",TRUE,TRUE,TRUE
"GSE338388","ITGA5",TRUE,TRUE,TRUE
"GSE338388","ITGA6",FALSE,TRUE,TRUE
"GSE338388","ITGA8",FALSE,TRUE,TRUE
"GSE338388","ITGA11",FALSE,TRUE,TRUE
"GSE338388","ITGAV",TRUE,TRUE,TRUE
"GSE338388","ITGB1",TRUE,TRUE,TRUE
"GSE338388","ITGB3",FALSE,TRUE,TRUE
"GSE338388","ITGB5",FALSE,TRUE,TRUE
"GSE338388","PTK2",FALSE,TRUE,TRUE
"GSE338388","SRC",FALSE,TRUE,TRUE
"GSE338388","FYN",FALSE,TRUE,TRUE
"GSE338388","PXN",FALSE,TRUE,TRUE
"GSE338388","VCL",FALSE,TRUE,TRUE
"GSE338388","TLN1",FALSE,TRUE,TRUE
"GSE338388","TLN2",FALSE,TRUE,TRUE
"GSE338388","FERMT2",TRUE,TRUE,TRUE
"GSE338388","ILK",FALSE,TRUE,TRUE
"GSE338388","PARVA",TRUE,TRUE,TRUE
