"gse_accession","gsm_accession","title","source_name","analysis_role","eligible_for_primary_dose_response","culture_group","culture_duration_days","stiffness_value_kPa","stiffness_label","biological_unit","replicate_structure"
"GSE123100","GSM3495154","A_1.1 kPa","Human trabecular meshwork cells","S3_primary_HTM_stiffness_series",TRUE,"A",3,1.1,"1.1 kPa","culture_group_A","one sample per group x stiffness in most cells"
"GSE123100","GSM3495155","A_2.5 kPa","Human trabecular meshwork cells","S3_primary_HTM_stiffness_series",TRUE,"A",3,2.5,"2.5 kPa","culture_group_A","one sample per group x stiffness in most cells"
"GSE123100","GSM3495156","A_4.2 kPa","Human trabecular meshwork cells","S3_primary_HTM_stiffness_series",TRUE,"A",3,4.2,"4.2 kPa","culture_group_A","one sample per group x stiffness in most cells"
"GSE123100","GSM3495157","A_11.9 kPa","Human trabecular meshwork cells","S3_primary_HTM_stiffness_series",TRUE,"A",3,11.9,"11.9 kPa","culture_group_A","one sample per group x stiffness in most cells"
"GSE123100","GSM3495158","A_34.3 kPa","Human trabecular meshwork cells","S3_primary_HTM_stiffness_series",TRUE,"A",3,34.3,"34.3 kPa","culture_group_A","one sample per group x stiffness in most cells"
"GSE123100","GSM3495159","A_50 kPa","Human trabecular meshwork cells","S3_primary_HTM_stiffness_series",TRUE,"A",3,50,"50 kPa","culture_group_A","one sample per group x stiffness in most cells"
"GSE123100","GSM3495160","C_50 kPa","Human trabecular meshwork cells","S3_primary_HTM_stiffness_series",TRUE,"C",5,50,"50 kPa","culture_group_C","one sample per group x stiffness in most cells"
"GSE123100","GSM3495161","C_1.1 kPa","Human trabecular meshwork cells","S3_primary_HTM_stiffness_series",TRUE,"C",5,1.1,"1.1 kPa","culture_group_C","one sample per group x stiffness in most cells"
"GSE123100","GSM3495162","C_2.5 kPa","Human trabecular meshwork cells","S3_primary_HTM_stiffness_series",TRUE,"C",5,2.5,"2.5 kPa","culture_group_C","one sample per group x stiffness in most cells"
"GSE123100","GSM3495163","C_11.9 kPa","Human trabecular meshwork cells","S3_primary_HTM_stiffness_series",TRUE,"C",5,11.9,"11.9 kPa","culture_group_C","one sample per group x stiffness in most cells"
"GSE123100","GSM3495164","C_34.4 kPa","Human trabecular meshwork cells","S3_primary_HTM_stiffness_series",TRUE,"C",5,34.4,"34.4 kPa","culture_group_C","one sample per group x stiffness in most cells"
"GSE123100","GSM3495165","POAG1","Human trabecular meshwork tissue","excluded_clinical_tissue",FALSE,"clinical",NA,NA,"unresolved","clinical_subject_or_tissue","not applicable"
"GSE123100","GSM3495166","AACG1","Human trabecular meshwork tissue","excluded_clinical_tissue",FALSE,"clinical",NA,NA,"unresolved","clinical_subject_or_tissue","not applicable"
"GSE123100","GSM3495167","CCAG1","Human trabecular meshwork tissue","excluded_clinical_tissue",FALSE,"clinical",NA,NA,"unresolved","clinical_subject_or_tissue","not applicable"
"GSE123100","GSM3495168","AACG4","Human trabecular meshwork tissue","excluded_clinical_tissue",FALSE,"clinical",NA,NA,"unresolved","clinical_subject_or_tissue","not applicable"
"GSE123100","GSM3495169","AACG5","Human trabecular meshwork tissue","excluded_clinical_tissue",FALSE,"clinical",NA,NA,"unresolved","clinical_subject_or_tissue","not applicable"
"GSE123100","GSM3495170","AACG6","Human trabecular meshwork tissue","excluded_clinical_tissue",FALSE,"clinical",NA,NA,"unresolved","clinical_subject_or_tissue","not applicable"
"GSE123100","GSM3495171","CCAG2","Human trabecular meshwork tissue","excluded_clinical_tissue",FALSE,"clinical",NA,NA,"unresolved","clinical_subject_or_tissue","not applicable"
"GSE123100","GSM3495172","CCGA3","Human trabecular meshwork tissue","excluded_clinical_tissue",FALSE,"clinical",NA,NA,"unresolved","clinical_subject_or_tissue","not applicable"
