"cell_model_condition","stiffness_unit","timepoint","samples"
"hTERT","GPa","1",3
"WT","GPa","1",3
"hTERT","kPa","1",12
"WT","kPa","1",12
"hTERT","GPa","2",3
"WT","GPa","2",2
"hTERT","kPa","2",12
"WT","kPa","2",12
"hTERT","GPa","3",3
"WT","GPa","3",3
"hTERT","kPa","3",12
"WT","kPa","3",12
"hTERT","GPa","4",3
"WT","GPa","4",3
"hTERT","kPa","4",12
"WT","kPa","4",12
"hTERT","GPa","5",3
"WT","GPa","5",3
"hTERT","GPa","6",3
"WT","GPa","6",6
"hTERT","kPa","6",12
"WT","GPa","7",2
"WT","kPa","7",3
"hTERT","GPa","8",3
"WT","GPa","8",2
"hTERT","kPa","8",12
"WT","kPa","8",10
